business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bus Stop,Bus Booking Agency,Bus ticket agency,Bus ticket agency,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.1,,"3QF2+82J, SH 25, Kalimela, Odisha 764047",764047,18.0733486,81.7500104,ChIJ_VaM4JHFMDoRCWeL60xYwRc,https://www.google.com/maps/place/?q=place_id:ChIJ_VaM4JHFMDoRCWeL60xYwRc,part_351,2026-09-20 20:18:11,2387
Sagarika Enterprises,Bus Booking Agency,Bus ticket agency,"Bus ticket agency, Offset Printer, Photography studio, Screen printing shop",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94377 48206,N/A,4.3,,"Market Rd, Balimela, Odisha 764051",764047,18.2282243,82.0596936,ChIJQ6LDJ8OiMDoRiUUwcvL5wsA,https://www.google.com/maps/place/?q=place_id:ChIJQ6LDJ8OiMDoRiUUwcvL5wsA,part_351,2026-09-20 20:18:11,2388
KHALIL COUNTER,Bus Booking Agency,Bus ticket agency,Bus ticket agency,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,1.0,,"4457+999, Chitrakonda, lambasingi, Odisha 764052",764047,18.1084018,82.1134747,ChIJdZnVsYelMDoRzbZ_TvW-C44,https://www.google.com/maps/place/?q=place_id:ChIJdZnVsYelMDoRzbZ_TvW-C44,part_351,2026-09-20 20:18:11,2389
Bus Yatri,Bus Booking Agency,Bus ticket agency,Bus ticket agency,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 81121 28112,http://www.busyatri.co.in/,4.9,,"Dharam Vihar, Jagamara, Bhubaneswar, Odisha 751030","Dharam Vihar, Jagamara",20.2616156,85.7940026,ChIJaTerZQCnGToRLNsVoyzme_s,https://www.google.com/maps/place/?q=place_id:ChIJaTerZQCnGToRLNsVoyzme_s,part_351,2026-09-20 20:18:11,2390
Dharmendra Khan,Bus Booking Agency,Taxi service,Taxi service,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,,,"near Bus Station, Malkangiri, Odisha 764045",764047,18.3643309,81.894466,ChIJUYm6tieTMDoRdbibjFiSJVM,https://www.google.com/maps/place/?q=place_id:ChIJUYm6tieTMDoRdbibjFiSJVM,part_351,2026-09-20 20:18:11,2391
NAYAK TEA STALL,Bus Booking Agency,Bus ticket agency,Bus ticket agency,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94383 02902,N/A,3.8,,"near Bus Stand, Kalimela, Odisha 764047",764047,18.069063399999997,81.7462779,ChIJXQJjZI_FMDoROVYd0sUdzvg,https://www.google.com/maps/place/?q=place_id:ChIJXQJjZI_FMDoROVYd0sUdzvg,part_351,2026-09-20 20:18:11,2392
S Kumar travels,Bus Booking Agency,Bus tour agency,"Bus tour agency, Bus company, Bus ticket agency, Service establishment, Transportation service",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 70082 44503,N/A,5.0,3.0,"S Kumar travels, 764047, India",764047,21.0680074,82.7525294,ChIJGWRllfgXIToRfPL_G5KfDAo,https://www.google.com/maps/place/?q=place_id:ChIJGWRllfgXIToRfPL_G5KfDAo,part_351,2026-09-20 20:18:12,2393
Gopinath Travels,Bus Booking Agency,Bus company,Bus company,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 96927 66955,http://www.gopinathtravels.in/,3.0,42.0,"Khandapada Rd, Sriram Nagar, Nayagarh, Odisha 752069",Sriram Nagar,20.1353258,85.1049255,ChIJ88LfHtx7GDoRmGKv4BRJ8Is,https://www.google.com/maps/place/?q=place_id:ChIJ88LfHtx7GDoRmGKv4BRJ8Is,part_351,2026-09-20 20:18:53,7294
Esshaa travels,Bus Booking Agency,Travel agency,Travel agency,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 70198 71495,https://www.esshaatravels.com/,4.9,49.0,"opposite of KSRTC Bustand, Ward No. 18, Tumkur, Tumakur, Karnataka 572101","Ward No. 18, Tumkur",13.3404002,77.1013712,ChIJ9zcF238vsDsRszZzdPhwJJI,https://www.google.com/maps/place/?q=place_id:ChIJ9zcF238vsDsRszZzdPhwJJI,part_351,2026-09-20 20:18:53,7295
Pradeep Travels,Bus Booking Agency,Travel agency,Travel agency,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 96684 14310,N/A,4.8,4.0,"Old, Police station road, Malkangiri, Odisha 764045",764048,18.3603597,81.8854664,ChIJR_ydl6CTMDoRc2ffpOrvZMg,https://www.google.com/maps/place/?q=place_id:ChIJR_ydl6CTMDoRc2ffpOrvZMg,part_351,2026-09-20 20:18:53,7296
Bus Ticket Agency,Bus Booking Agency,Bus ticket agency,Bus ticket agency,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",N/A,N/A,,,"4MMR+CGR, Gandabahali, Odisha 766118",764049,20.133608,82.69125199999999,ChIJq6n3no0JJToRPrnjvrgsXSY,https://www.google.com/maps/place/?q=place_id:ChIJq6n3no0JJToRPrnjvrgsXSY,part_351,2026-09-20 20:19:35,11331
MAIDALPUR BUS STAND,Bus Booking Agency,Bus ticket agency,Bus ticket agency,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",N/A,N/A,3.7,,"FH9F+5MG, Maidalpur, Odisha 764071",764049,19.4679468,82.574192,ChIJTc3Ey5w1JToRi_bEnO75XQ8,https://www.google.com/maps/place/?q=place_id:ChIJTc3Ey5w1JToRi_bEnO75XQ8,part_351,2026-09-20 20:19:35,11332
Maa santoshi travels,Bus Booking Agency,Travel agency,"Travel agency, Bus ticket agency",764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 78943 43353,N/A,5.0,,"At po, Jaipatna, Odisha 766018",764049,19.471501699999997,82.80672779999999,ChIJA_6n_iQtJToRc2C664ednis,https://www.google.com/maps/place/?q=place_id:ChIJA_6n_iQtJToRc2C664ednis,part_351,2026-09-20 20:19:35,11333
KGN Tour & Travel Komn,Bus Booking Agency,Bus ticket agency,Bus ticket agency,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",N/A,N/A,4.5,,"NH 353, komna bus stand, Odisha 766001","Ramsagarpada, Bahadur Bagicha Pada",19.9165235,83.17315669999999,ChIJ_57jbtztJDoRZxmhZCdvlcU,https://www.google.com/maps/place/?q=place_id:ChIJ_57jbtztJDoRZxmhZCdvlcU,part_351,2026-09-20 20:19:35,11334
Bus Stand ABC Chowk,Bus Booking Agency,Bus ticket agency,Bus ticket agency,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 76849 12958,N/A,2.8,,"37R9+82Q, Saria - Kesinga Rd, Saria, Khaichun, Odisha 766101",764049,20.0908305,83.2676236,ChIJxSU7E7yMJDoRX3RYL0J6iEw,https://www.google.com/maps/place/?q=place_id:ChIJxSU7E7yMJDoRX3RYL0J6iEw,part_351,2026-09-20 20:19:35,11335
