business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
TEA HUB MALKANGIRI,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 918221658,N/A,4.6,22.0,"Old Medical Rd, Goreguda, Odisha 764045",764047,18.3511938,81.88786879999999,ChIJpfb70UaTMDoRSuC33t4GZOM,https://www.google.com/maps/place/?q=place_id:ChIJpfb70UaTMDoRSuC33t4GZOM,part_351,2026-09-20 20:17:59,775
Apna Adda,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 82609 84227,N/A,4.5,8.0,"main road, near Canara bank, Malkangiri, Goreguda, Odisha 764045",764047,18.3479728,81.8823713,ChIJQ6wGHQyVMDoRRmqs6ypwfgg,https://www.google.com/maps/place/?q=place_id:ChIJQ6wGHQyVMDoRRmqs6ypwfgg,part_351,2026-09-20 20:17:59,776
Cafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,5.0,2.0,"Collectorate Rd, kumharras, Chhattisgarh 494111",764047,18.389753799999998,81.68176199999999,ChIJm9STZADlMDoRf2WUKU0B1Vg,https://www.google.com/maps/place/?q=place_id:ChIJm9STZADlMDoRf2WUKU0B1Vg,part_351,2026-09-20 20:17:59,777
The Bastar cafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.0,1.0,"Gramin Bank Campus, Samrat Nagar, Sukma, Chhattisgarh 494111",Samrat Nagar,18.4071036,81.66472,ChIJd82XPQDlMDoRYWJkX2Hpz68,https://www.google.com/maps/place/?q=place_id:ChIJd82XPQDlMDoRYWJkX2Hpz68,part_351,2026-09-20 20:17:59,778
Yobapi coffee shop,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 80181 74932,N/A,3.8,17.0,"SH 25, Badali, Odisha 764086",764047,18.215655299999998,81.7996429,ChIJDXmGEJjBMDoRptiMnAnLOe8,https://www.google.com/maps/place/?q=place_id:ChIJDXmGEJjBMDoRptiMnAnLOe8,part_351,2026-09-20 20:17:59,779
Jogi tea shop,Cafe and Coffee Shop,Coffee shop,Coffee shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,5.0,3.0,"3QF2+JCX, Kalimela, Odisha 764047",764047,18.0740333,81.7510744,ChIJ57KCCwDFMDoRs1frYvR-hPw,https://www.google.com/maps/place/?q=place_id:ChIJ57KCCwDFMDoRs1frYvR-hPw,part_351,2026-09-20 20:17:59,780
CAFE VIBES,Cafe and Coffee Shop,Coffee shop,Coffee shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,5.0,12.0,"WHGG+42H, NH157, nearby Indian Oil Petrol Pump, Baunsalundi, Odisha 761126",764047,19.9253067,84.5751059,ChIJi6vvWgDrIjoRJwN3rMLqSE0,https://www.google.com/maps/place/?q=place_id:ChIJi6vvWgDrIjoRJwN3rMLqSE0,part_351,2026-09-20 20:17:59,781
SRIKANT SABAR,Cafe and Coffee Shop,Coffee shop,Coffee shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94386 39333,N/A,,,"Traffic Chowk, DNK Rd, Malkangiri, Goreguda, Odisha 764045",764047,18.352196499999998,81.8837411,ChIJH6EZSN-TMDoRwD078vCuSys,https://www.google.com/maps/place/?q=place_id:ChIJH6EZSN-TMDoRwD078vCuSys,part_351,2026-09-20 20:17:59,782
Sarkar'$ tea point,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Bed & breakfast, Breakfast restaurant, Chocolate shop, Food & Beverage Exporter, Ice cream shop, Meal delivery, Tea store",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,,,"In frront of govt medical, Kalimela, Odisha 764047",764047,18.068547,81.74653719999999,ChIJE92_lBnFMDoRaxE5bqMuqOA,https://www.google.com/maps/place/?q=place_id:ChIJE92_lBnFMDoRaxE5bqMuqOA,part_351,2026-09-20 20:17:59,783
Tea Blends,Cafe and Coffee Shop,Cafe,Cafe,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 78943 91404,N/A,4.5,29.0,"Kalimela, Odisha 764047",764047,18.0665609,81.7453412,ChIJv7vjSgDFMDoRydr2ub2D8DQ,https://www.google.com/maps/place/?q=place_id:ChIJv7vjSgDFMDoRydr2ub2D8DQ,part_351,2026-09-20 20:17:59,784
PADIA Shops,Cafe and Coffee Shop,Coffee shop,Coffee shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,3.5,2.0,"3VC7+FMP, Tekagura, Odisha 764047",764047,18.0712085,81.8641986,ChIJXRJ5GgDHMDoRY7b7KWxtu3c,https://www.google.com/maps/place/?q=place_id:ChIJXRJ5GgDHMDoRY7b7KWxtu3c,part_351,2026-09-20 20:17:59,785
"Mission Shakti Cafe, Podia",Cafe and Coffee Shop,Cafe,Cafe,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.8,16.0,"5H63+VQ9, Podia, Odisha 764047",764047,18.1621612,81.5544738,ChIJC3Wjtq7fMDoRFgnnDOp0ohk,https://www.google.com/maps/place/?q=place_id:ChIJC3Wjtq7fMDoRFgnnDOp0ohk,part_351,2026-09-20 20:17:59,786
Koraput Coffee Café,Cafe and Coffee Shop,Coffee shop,Coffee shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.3,64.0,"QRXP+HJ, Puri, Odisha 752002",764047,19.7988288,85.8359861,ChIJF4o7zmnFGToRidvFocUy5W4,https://www.google.com/maps/place/?q=place_id:ChIJF4o7zmnFGToRidvFocUy5W4,part_351,2026-09-20 20:17:59,787
Sujay,Cafe and Coffee Shop,Coffee shop,Coffee shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,,,"8VVM+C2J, Malkangiri, Gaudaguda, Odisha 764045",764047,18.3435863,81.8825279,ChIJo96bEgCVMDoRq86YEjZNjhg,https://www.google.com/maps/place/?q=place_id:ChIJo96bEgCVMDoRq86YEjZNjhg,part_351,2026-09-20 20:17:59,788
Manwa cafe,Cafe and Coffee Shop,Restaurant,Restaurant,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.7,,"9MP3+GP, Gongla, Chhattisgarh 494111",764047,18.3862488,81.65428519999999,ChIJqT4KC0TlMDoRsGTJ3rpjAh0,https://www.google.com/maps/place/?q=place_id:ChIJqT4KC0TlMDoRsGTJ3rpjAh0,part_351,2026-09-20 20:18:00,789
9Eleven Cafe,Cafe and Coffee Shop,Cafe,Cafe,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 85269 11911,N/A,4.2,,"Eleven cafe, Old bank Chowk, 9, Titilagarh, Odisha 767033",Jagannath Para,20.2923249,83.1531146,ChIJAQAAcOJbJDoR1WY3kdOY95E,https://www.google.com/maps/place/?q=place_id:ChIJAQAAcOJbJDoR1WY3kdOY95E,part_351,2026-09-20 20:18:00,790
Kruti Coffee,Cafe and Coffee Shop,Cafe,"Cafe, Bakery and Cake Shop, Coffee shop",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 97772 82666,N/A,4.6,,"Giri Rd, Tata Benz Square, Ram Nagar, Brahmapur, Odisha 760005","Tata Benz Square, Ram Nagar",19.3049836,84.79989859999999,ChIJYcHDcABRPToR1JYePx5R5OY,https://www.google.com/maps/place/?q=place_id:ChIJYcHDcABRPToR1JYePx5R5OY,part_351,2026-09-20 20:18:00,791
Café Daffodil,Cafe and Coffee Shop,Cafe,Cafe,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 73777 26999,N/A,4.8,,"RR7M+M22, NH316, Badasankha, Puri, Odisha 752002",Badasankha,19.8141615,85.832627,ChIJB81kWgDHGToRjwZ3oHu24uY,https://www.google.com/maps/place/?q=place_id:ChIJB81kWgDHGToRjwZ3oHu24uY,part_351,2026-09-20 20:18:00,792
Hungry Birds Cafe & Restaurant,Cafe and Coffee Shop,Cafe,"Cafe, Restaurant",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 89840 35038,N/A,4.1,,"Infront of little angels's school, Vikram Nagar, Jeypore, Odisha 764003",Vikram Nagar,18.8547913,82.5734026,ChIJlSba71ntOjoRQO1hFm4q9As,https://www.google.com/maps/place/?q=place_id:ChIJlSba71ntOjoRQO1hFm4q9As,part_351,2026-09-20 20:18:00,793
The CAF the coffee shop,Cafe and Coffee Shop,Cafe,Cafe,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.5,,"Kunjakanta, Dhenkanal, Odisha 759001",Kunjakanta,20.650950899999998,85.6069997,ChIJ0etvt-YfGToRT1wJ9trwI2A,https://www.google.com/maps/place/?q=place_id:ChIJ0etvt-YfGToRT1wJ9trwI2A,part_351,2026-09-20 20:18:00,794
