business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Panigrahi amul ice cream parlour,Dairy and Milk Parlour,Dairy store,Dairy store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 76060 89613,https://amul.com/index.php,4.9,,"Near, Main Road, Malkangiri, Goreguda, Odisha 764045",764047,18.3527147,81.8838973,ChIJt30ycyeTMDoR3ZcEYcDFhlI,https://www.google.com/maps/place/?q=place_id:ChIJt30ycyeTMDoR3ZcEYcDFhlI,part_351,2026-09-20 20:17:55,255
Disikha Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94790 05700,N/A,3.0,,"9MR5 MMQ, Mine Road, Sukma, Odisha 494111",764047,18.3915871,81.6590937,ChIJx1y60o7lMDoR6zUIT3SZGAI,https://www.google.com/maps/place/?q=place_id:ChIJx1y60o7lMDoR6zUIT3SZGAI,part_351,2026-09-20 20:17:55,256
S R DAIRY,Dairy and Milk Parlour,Dairy store,"Dairy store, Bakery and Cake Shop",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 82491 57411,https://www.srdairy.com/,4.2,,"Shop No 5, opp. Tahasil Office, Malkangiri, Odisha 764045",764047,18.3627411,81.89013589999999,ChIJIXf1K4eTMDoRbqNZYePNGKM,https://www.google.com/maps/place/?q=place_id:ChIJIXf1K4eTMDoRbqNZYePNGKM,part_351,2026-09-20 20:17:55,257
Samleswari dairy farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 93370 01182,N/A,5.0,,"Mauli gudi lane, Dhankauda New Colony, Dhanakauda, Sambalpur, Odisha 768006","Dhankauda New Colony, Dhanakauda",21.467065599999998,84.0061042,ChIJw9kvsJYXIToRVMg4srMQhn0,https://www.google.com/maps/place/?q=place_id:ChIJw9kvsJYXIToRVMg4srMQhn0,part_351,2026-09-20 20:17:57,258
Odisha Dairy Farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 82803 52525,https://odishadairy.com/,4.5,90.0,"Near OCL Road, Mania, Tangi, Odisha 754022",764047,20.607812,85.9856497,ChIJ2YYPjMJrGToRCjHrdhLW744,https://www.google.com/maps/place/?q=place_id:ChIJ2YYPjMJrGToRCjHrdhLW744,part_351,2026-09-20 20:17:57,259
Samrudhi Dairy,Dairy and Milk Parlour,Dairy farm,Dairy farm,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,5.0,1.0,"Panjia Guda, Jeypore, Odisha 764005",Panjia Guda,18.8501183,82.54698979999999,ChIJ6fIYcVCTOjoR3pG73iTzXkE,https://www.google.com/maps/place/?q=place_id:ChIJ6fIYcVCTOjoR3pG73iTzXkE,part_351,2026-09-20 20:17:57,260
Kalam Dairy,Dairy and Milk Parlour,Dairy farm,Dairy farm,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 99591 30268,N/A,4.9,36.0,"Shivalayam temple back side, 87-16, near Anandhapuram, Visakhapatnam, Andhra Pradesh 530052",764047,17.9088833,83.36001519999999,ChIJk2s59ehZOToRyJLKRMHt45k,https://www.google.com/maps/place/?q=place_id:ChIJk2s59ehZOToRyJLKRMHt45k,part_351,2026-09-20 20:17:57,261
OMFED Keonjhar Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,http://omfed.com/contact.asp?lnk=con,4.2,99.0,"PH3M+RQW, Silisuan, Odisha 758013",764047,21.704623299999998,85.5844544,ChIJ1bfFoPUBHzoRNlaLQkxPdw8,https://www.google.com/maps/place/?q=place_id:ChIJ1bfFoPUBHzoRNlaLQkxPdw8,part_351,2026-09-20 20:17:57,262
"Matapaka, Goreguda, Odisha 764048",Dairy and Milk Parlour,Postal code,Postal code,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,N/A,N/A,,,"Matapaka, Goreguda, Odisha",764048,18.3519532,81.88670859999999,ChIJodt75QvsMDoRglBy1sDrBYI,https://www.google.com/maps/place/?q=place_id:ChIJodt75QvsMDoRglBy1sDrBYI,part_351,2026-09-20 20:18:37,6260
Siri Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 98661 88887,N/A,4.2,332.0,"Jampet Rd, Jampet, Rajamahendravaram, Andhra Pradesh 533104",Jampet,17.009025599999998,81.7787857,ChIJ5U3fhPWjNzoRGBLTCMnaC80,https://www.google.com/maps/place/?q=place_id:ChIJ5U3fhPWjNzoRGBLTCMnaC80,part_351,2026-09-20 20:18:38,6261
RB Milks,Dairy and Milk Parlour,Dairy,Dairy,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 93809 63475,N/A,5.0,4.0,"gowri kaluve, last cross, Chikkamagaluru, Karnataka 577101",764048,13.3348728,75.7631577,ChIJwaJG-F7ZujsRK2o1o-BUvuU,https://www.google.com/maps/place/?q=place_id:ChIJwaJG-F7ZujsRK2o1o-BUvuU,part_351,2026-09-20 20:18:38,6262
Dairy Lounge Amul icecream parlour,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",N/A,N/A,5.0,1.0,"HMP6+8J5, Kondagaon, Chhattisgarh 494226",764049,19.58577,81.6615996,ChIJK8yrQgDPLzoRQ9F5naORDPs,https://www.google.com/maps/place/?q=place_id:ChIJK8yrQgDPLzoRQ9F5naORDPs,part_351,2026-09-20 20:19:21,9176
