business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jeet Family Bazaar - Best Supermarket and Electronics Store in Malkangiri,Organic Food Store,Shopping mall,"Shopping mall, Dairy Products Supplier, Electronics wholesaler, Warehouse store",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 96683 04480,https://jeetsfamilybazaar.in/,4.2,,"Malkangiri, Odisha 764045",764047,18.3607676,81.88814239999999,ChIJMRSG92eTMDoRM0jsol04_WI,https://www.google.com/maps/place/?q=place_id:ChIJMRSG92eTMDoRM0jsol04_WI,part_351,2026-09-20 20:17:55,119
Forever Living Products.Malkangiri,Organic Food Store,Health and beauty shop,Health and beauty shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 89892 34152,https://www.aloestoreindia.in/,5.0,,"Door No- 020, Education Colony, Street No- 74H, Malkangiri, Goreguda, Odisha 764045",764047,18.3542918,81.8976723,ChIJ67qkcOuTMDoRjL7vKk_Rmf0,https://www.google.com/maps/place/?q=place_id:ChIJ67qkcOuTMDoRjL7vKk_Rmf0,part_351,2026-09-20 20:17:55,120
LAXMI BHANDAR,Organic Food Store,Indian grocery store,Indian grocery store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.9,,"Main road, MV 72, Market, Pendikonda, Odisha 764087","MV 72, Market",17.9974065,81.6781926,ChIJIzDfr47RMDoRhHEtwdSKuNg,https://www.google.com/maps/place/?q=place_id:ChIJIzDfr47RMDoRhHEtwdSKuNg,part_351,2026-09-20 20:17:55,121
Patanjali Chikitsalay,Organic Food Store,Health food store,"Health food store, Ayurvedic clinic, Herbal medicine store, Indian grocery store, Outlet mall",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94381 71941,https://patanjalistores.patanjaliayurved.org/patanjali-chikitsalay-sujit-kumar-panigrahi-ayurvedic-clinic-malkan-malkangiri-260877/Home?utm_source=locator&utm_medium=googleplaces,3.9,,"Ground Floor, Old Police Station Road, Malkan, in front of Golden View Hotel, Malkangiri, Odisha 764045",764047,18.359661,81.8853431,ChIJ0dnqHl2TMDoRmtMdiKEqr9M,https://www.google.com/maps/place/?q=place_id:ChIJ0dnqHl2TMDoRmtMdiKEqr9M,part_351,2026-09-20 20:17:55,122
Suddh Organics & Naturals,Organic Food Store,Organic food store,"Organic food store, Organic shop",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 95569 47771,N/A,4.8,,"Niladrivihar, Plot No 165, Main Rd, near Kato's Gym, District Center, Chandrasekharpur, Bhubaneswar, Odisha 751016","District Center, Chandrasekharpur",20.3263499,85.8169879,ChIJ5cP1pCEJGToR_mQbCtmwdjE,https://www.google.com/maps/place/?q=place_id:ChIJ5cP1pCEJGToR_mQbCtmwdjE,part_351,2026-09-20 20:17:55,123
SWARNA AHAR,Organic Food Store,Organic food store,Organic food store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 78489 58484,https://swarnaahar.com/,4.9,,"L-216, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Baramunda Housing Board Colony, Baramunda",20.280006,85.7948067,ChIJKW3lgranGToRbo7VIy9g2Ck,https://www.google.com/maps/place/?q=place_id:ChIJKW3lgranGToRbo7VIy9g2Ck,part_351,2026-09-20 20:17:55,124
Shree Jee Medicine Store,Organic Food Store,Pharmacy,Pharmacy,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 80184 90983,https://www.instagram.com/drx_pradeep_9/,5.0,,"Erakonda, Po-Gampakonda, Ps-kalimela Erakonda, Odisha 764047",764047,18.099096499999998,81.800311,ChIJWYKK42DHMDoRbPTtkPWhxX0,https://www.google.com/maps/place/?q=place_id:ChIJWYKK42DHMDoRbPTtkPWhxX0,part_351,2026-09-20 20:17:55,125
HOMOEOPATHY MEDICAL STORE(M/S SWAPNA HOMOEOPATHY),Organic Food Store,Pharmaceutical Products Wholesaler,Pharmaceutical Products Wholesaler,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 84559 44574,N/A,5.0,,"Old Medical Rd, Malkangiri, Goreguda, Odisha 764045",764047,18.3505459,81.8888949,ChIJG_h_vlGTMDoR5U6W09Pzf9E,https://www.google.com/maps/place/?q=place_id:ChIJG_h_vlGTMDoR5U6W09Pzf9E,part_351,2026-09-20 20:17:55,126
NIMAI GROCERY STORE,Organic Food Store,Grocery store,Grocery store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94382 66713,N/A,,,"Malkangiri, Chalanpoda, Odisha 764045",764047,18.3211007,81.87773399999999,ChIJLX_tDdyVMDoRN1BBOcqNit0,https://www.google.com/maps/place/?q=place_id:ChIJLX_tDdyVMDoRN1BBOcqNit0,part_351,2026-09-20 20:17:55,127
Gunjan Traders,Organic Food Store,Supermarket,Supermarket,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94076 65786,N/A,4.9,,"5G35+R62, NH 30, Dornapal, Chhattisgarh 494122",764047,18.1545146,81.50802039999999,ChIJ90CGD68gMToRXgjr5Z-R7hE,https://www.google.com/maps/place/?q=place_id:ChIJ90CGD68gMToRXgjr5Z-R7hE,part_351,2026-09-20 20:17:55,128
GURU KRUPA,Organic Food Store,General store,"General store, Cosmetics store, Pujari",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94392 86100,N/A,5.0,,"DNK CHWOK, Old Medical Rd, Malkangiri, Goreguda, Odisha 764045",764047,18.3521335,81.8842414,ChIJVetOoaiTMDoRbEW05m7QjM4,https://www.google.com/maps/place/?q=place_id:ChIJVetOoaiTMDoRbEW05m7QjM4,part_351,2026-09-20 20:17:55,129
Patanjali Gramin Arogya Kendra,Organic Food Store,Health food store,"Health food store, Indian grocery store, Herbal medicine store, Outlet mall",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 70676 21144,https://patanjalistores.patanjaliayurved.org/patanjali-gramin-arogya-kendra-charak-arohya-bhandar-indian-grocery-store-dornapal-dantewada-267468/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Ground Floor Kanta, Dornapal, Chhattisgarh 494122",764047,18.156571,81.510018,ChIJ8Swv12ohMToRuBU4p7VjRFA,https://www.google.com/maps/place/?q=place_id:ChIJ8Swv12ohMToRuBU4p7VjRFA,part_351,2026-09-20 20:17:55,130
MV 60 Chwak,Organic Food Store,Grocery store,Grocery store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.2,,"2GRC+HCM, Putumpali, Odisha 764047",764047,18.0414687,81.5210539,ChIJzeWum13XMDoRPjICpKdIM1U,https://www.google.com/maps/place/?q=place_id:ChIJzeWum13XMDoRPjICpKdIM1U,part_351,2026-09-20 20:17:55,131
TULASI NATURALS,Organic Food Store,Organic shop,Organic shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 85009 26591,https://tulasinaturalsvizag.com/,4.8,91.0,"VEPAGUNTA, Vepagunta, Andhra Pradesh 530047",Vepagunta,17.775385099999998,83.21810599999999,ChIJBTv0JD5nOToRGH3OEOttMgI,https://www.google.com/maps/place/?q=place_id:ChIJBTv0JD5nOToRGH3OEOttMgI,part_351,2026-09-20 20:17:56,132
Organic Utpanna,Organic Food Store,Organic shop,Organic shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 97774 57746,https://utpanna.com/,4.8,13.0,"37, Kalinga Vihar Rd, Kalinga Vihar, Kalinga Vihar LIG, Kalinganagar, Bhubaneswar, Odisha 751029","Kalinga Vihar, Kalinga Vihar LIG, Kalinganagar",20.2585254,85.7563239,ChIJ2xGkXbGnGToRXRc9arL85FI,https://www.google.com/maps/place/?q=place_id:ChIJ2xGkXbGnGToRXRc9arL85FI,part_351,2026-09-20 20:17:56,133
Dove friendly mart,Organic Food Store,Grocery store,Grocery store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94408 48164,N/A,4.7,10.0,"Somi reddy palem(street),badrachalem, road, chintoor, Maredumilli, Andhra Pradesh 533295",764047,17.5995734,81.7111972,ChIJtevrbcA7NzoRRTO9Ur5TJZY,https://www.google.com/maps/place/?q=place_id:ChIJtevrbcA7NzoRRTO9Ur5TJZY,part_351,2026-09-20 20:17:56,134
Taste Nature Organics,Organic Food Store,Organic food store,"Organic food store, Health and beauty shop, Indian grocery store, Natural goods store, Naturopathic practitioner, Organic farm",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 73306 80707,N/A,4.9,39.0,"Door No: 1, 113-29/1, Sector 8, MVP Colony, Visakhapatnam, Andhra Pradesh 530017","Sector 8, MVP Colony",17.7380791,83.3363913,ChIJY2HPDhhDOToRvDUXjrQX_Bo,https://www.google.com/maps/place/?q=place_id:ChIJY2HPDhhDOToRvDUXjrQX_Bo,part_351,2026-09-20 20:17:56,135
Orgalife Organic Store,Organic Food Store,Organic food store,Organic food store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 90902 29033,http://www.orgalife.in/,4.6,96.0,"Lower Basement, Magneto The Mall, near Smart Bazar, Jivan Vihar, Raipur, Chhattisgarh 492001",Jivan Vihar,21.240288,81.68418969999999,ChIJsfCrVkXdKDoRreYLX6qiwMY,https://www.google.com/maps/place/?q=place_id:ChIJsfCrVkXdKDoRreYLX6qiwMY,part_351,2026-09-20 20:17:56,136
Ras Baker's & cafe,Organic Food Store,Bakery and Cake Shop,Bakery and Cake Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 86024 24888,N/A,4.4,42.0,"NH 326, Malkangiri, Odisha 764045",764047,18.3637508,81.8970137,ChIJXx-vAWqTMDoRVeOmj39lj8M,https://www.google.com/maps/place/?q=place_id:ChIJXx-vAWqTMDoRVeOmj39lj8M,part_351,2026-09-20 20:17:56,137
Sree SaiRam Organics,Organic Food Store,Organic food store,"Organic food store, Cosmetics store, Indian grocery store, Natural goods store",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 99512 33577,https://sreesairamorganics.com/,4.5,209.0,"Main Rd, beside tipsy topsy, Danavai Peta, Rajamahendravaram, Andhra Pradesh 533103",Danavai Peta,17.0064106,81.7805738,ChIJ__-Qje6jNzoRzkitSssb-eE,https://www.google.com/maps/place/?q=place_id:ChIJ__-Qje6jNzoRzkitSssb-eE,part_351,2026-09-20 20:17:56,138
Vegshoppy Organic Vegetables,Organic Food Store,Organic food store,Organic food store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.7,20.0,"2Q5V+3X8, Jawaharlal Nehru Rd, Srinivas Nagar, Gandhipuram, Rajamahendravaram, Andhra Pradesh 533103","Srinivas Nagar, Gandhipuram",17.0076511,81.7949395,ChIJpSvJoOyjNzoRnNTsxlmcUvg,https://www.google.com/maps/place/?q=place_id:ChIJpSvJoOyjNzoRnNTsxlmcUvg,part_351,2026-09-20 20:17:57,139
Prakruthi Organics & Naturals,Organic Food Store,Organic food store,Organic food store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 96665 14555,N/A,4.5,83.0,"Model Colony, 85-46-9, opp. Lexus Apartments, Venkateswara Nagar, Rajamahendravaram, Andhra Pradesh 533103",Venkateswara Nagar,17.0035983,81.8018467,ChIJQSYoecCjNzoRvUqTHPOfTjQ,https://www.google.com/maps/place/?q=place_id:ChIJQSYoecCjNzoRvUqTHPOfTjQ,part_351,2026-09-20 20:17:57,140
Adrish Zerowaste Organic Store-Warangal,Organic Food Store,Organic shop,"Organic shop, Indian grocery store",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 70131 37100,http://www.adrish.co.in/,4.8,62.0,"2-7-747, KLN Reddy Colony, Subedari, Hanamkonda, Telangana 506001","KLN Reddy Colony, Subedari",17.9975883,79.5449558,ChIJG0ocKXRPMzoRsDYaRexrGSw,https://www.google.com/maps/place/?q=place_id:ChIJG0ocKXRPMzoRsDYaRexrGSw,part_351,2026-09-20 20:17:57,141
KSKT organic Store ( KISAAN SE KITCHEN TAK ),Organic Food Store,Organic shop,"Organic shop, Agricultural service, Natural goods store, Organic farm",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 85128 61018,http://www.kskt.in/,4.8,19.0,"Plot no 8 Housing Board colony, Arvind Vihar, Bagmugaliya, Bhopal, Madhya Pradesh 462043","Arvind Vihar, Bagmugaliya",23.1949342,77.4708094,ChIJmzfpRMxBfDkRW8Cmwl75zsA,https://www.google.com/maps/place/?q=place_id:ChIJmzfpRMxBfDkRW8Cmwl75zsA,part_351,2026-09-20 20:17:57,142
Sankar Photo Lab & stickring,Organic Food Store,Grocery store,Grocery store,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 94399 28924,N/A,3.9,21.0,"3PFX+2QC, SH 25, Kalimela, Odisha 764047",764047,18.0725628,81.7493806,ChIJmYeXJY7FMDoRwzhR7Z1QQT4,https://www.google.com/maps/place/?q=place_id:ChIJmYeXJY7FMDoRwzhR7Z1QQT4,part_351,2026-09-20 20:17:57,143
"Daman Organic Living, Banjara Hills",Organic Food Store,Organic food store,Organic food store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 70320 33366,https://www.damanorganic.com/,4.2,546.0,"ground floor, B S Space, Kimitte Square, 8-2-684/a, Road No. 12, NBT Nagar, Banjara Hills, Hyderabad, Telangana 500034","NBT Nagar, Banjara Hills",17.4117839,78.4343781,ChIJPwEbbSaXyzsR6pQwTxOhshY,https://www.google.com/maps/place/?q=place_id:ChIJPwEbbSaXyzsR6pQwTxOhshY,part_351,2026-09-20 20:18:37,6311
Menmai Natural Products,Organic Food Store,Organic food store,"Organic food store, Health food store, Natural goods store",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 96292 99970,https://menmainatural.in/,5.0,136.0,"8/13, Balamore Rd, Thittuvilai, Nagercoil, Tamil Nadu 629852",764048,8.272887899999999,77.4400228,ChIJh5_INyHxBDsRwerH6ET9QLc,https://www.google.com/maps/place/?q=place_id:ChIJh5_INyHxBDsRwerH6ET9QLc,part_351,2026-09-20 20:18:39,6312
Green Hills - The North East Store,Organic Food Store,Organic food store,Organic food store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 97314 54592,N/A,4.9,46.0,"140, 5th main Nehru Road, Kullappa Circle, Kammanahalli, Bengaluru, Karnataka 560084","Kullappa Circle, Kammanahalli",13.0140041,77.63927439999999,ChIJX5UAs1MXrjsRuZ29eF83nfQ,https://www.google.com/maps/place/?q=place_id:ChIJX5UAs1MXrjsRuZ29eF83nfQ,part_351,2026-09-20 20:18:39,6313
Petrichor Organic Store,Organic Food Store,Organic food store,Organic food store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 81479 98870,http://petrichoragri.com/,4.5,102.0,"Good Earth Malhar Ave, Kengeri, Kambipura, Bengaluru, Karnataka 560074",Kengeri,12.8858173,77.464328,ChIJa5ub2LM4rjsRz6Kd5I4fjbI,https://www.google.com/maps/place/?q=place_id:ChIJa5ub2LM4rjsRz6Kd5I4fjbI,part_351,2026-09-20 20:18:39,6314
Parisara Organic Junction,Organic Food Store,Organic food store,"Organic food store, Fruit and vegetable store, Grocery delivery service, Indian grocery store, Organic shop",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 76762 59800,N/A,4.4,75.0,"No.51, Behind Sri Krishna Sweets, 7th Cross MALLESHWARAM BETWEEN SAMPIGE ROAD AND MARGOSA ROAD, Bengaluru, Karnataka 560003",Malleshwaram,12.998494899999999,77.56985519999999,ChIJq1fOljoWrjsRflmrqGv9i7A,https://www.google.com/maps/place/?q=place_id:ChIJq1fOljoWrjsRflmrqGv9i7A,part_351,2026-09-20 20:18:39,6315
Kaani Organic Products,Organic Food Store,Organic shop,"Organic shop, Farmers' market",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 97907 52220,N/A,4.8,298.0,"152-A, Kumaran Street Thara Mahal, nearby Palladam Road, Pollachi, Tamil Nadu 642001",764048,10.6610564,77.0138796,ChIJG5Fn6BY3qDsRNEKBPfAb5mY,https://www.google.com/maps/place/?q=place_id:ChIJG5Fn6BY3qDsRNEKBPfAb5mY,part_351,2026-09-20 20:18:39,6316
Swaraj Naturals,Organic Food Store,Organic food store,Organic food store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 90002 20777,N/A,4.1,127.0,"Lawsons Bay Colony, Pedda Waltair, Visakhapatnam, Andhra Pradesh 530017","Lawsons Bay Colony, Pedda Waltair",17.7315135,83.3367176,ChIJETkvjKdEOToRE8OPvdOD-bs,https://www.google.com/maps/place/?q=place_id:ChIJETkvjKdEOToRE8OPvdOD-bs,part_351,2026-09-20 20:18:39,6317
Suggi Naturals,Organic Food Store,Organic food store,Organic food store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 78292 92020,N/A,4.5,325.0,"1587/1, 2nd Main Rd, Mysore Bank Colony, Phase 1, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560050","Mysore Bank Colony, Phase 1, Banashankari 1st Stage, Banashankari",12.9387454,77.5536687,ChIJsTHXoSM-rjsR3gu0Yv2z0VY,https://www.google.com/maps/place/?q=place_id:ChIJsTHXoSM-rjsR3gu0Yv2z0VY,part_351,2026-09-20 20:18:39,6318
Araku Natural Millets,Organic Food Store,Grocery store,Grocery store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 88972 23455,https://www.arakumillet.com/,4.3,337.0,"First Floor, 49-53-10/1 4th Town Road, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013","North Extension, Balayya Sastri Layout, Seethammadara",17.7413511,83.3055449,ChIJCwOfNh1DOToR1EnFvenapn4,https://www.google.com/maps/place/?q=place_id:ChIJCwOfNh1DOToR1EnFvenapn4,part_351,2026-09-20 20:18:39,6319
Desi Organics,Organic Food Store,Organic food store,"Organic food store, Organic shop",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,N/A,N/A,4.8,51.0,"279/C, 279c, Thurahalli Rd, Post, Subramanyapura, Bengaluru, Karnataka 560061","Post, Subramanyapura",12.8936704,77.5378027,ChIJe4N_uzc_rjsR9z5DfqxAvi0,https://www.google.com/maps/place/?q=place_id:ChIJe4N_uzc_rjsR9z5DfqxAvi0,part_351,2026-09-20 20:18:39,6320
Ayuh Organic,Organic Food Store,Organic shop,Organic shop,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 96862 02303,N/A,4.8,42.0,"8JJH+6H5 Sharada Complex, #230, 1st Main Rd, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002","Gokulam 2nd Stage, Gokulam",12.3305014,76.6290466,ChIJ9ah3Esh7rzsRY3iJS8wvrfI,https://www.google.com/maps/place/?q=place_id:ChIJ9ah3Esh7rzsRY3iJS8wvrfI,part_351,2026-09-20 20:18:39,6321
Nammura Organic,Organic Food Store,Organic food store,"Organic food store, Clothing store, Cosmetics store, Dry Fruit Store, Handicraft, Organic farm, Organic shop, Vegetable wholesale market",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 90661 99188,N/A,4.4,345.0,"#B 252/1 Shop No-3, 2nd main road, 2nd Sector Sanjay nagar Main road Raj, Mahal Vilas Sanjay nagar, Bengaluru, Karnataka 560094","AECS Layout, Raj Mahal Vilas 2nd Stage, R.M.V. 2nd Stage",13.031927,77.576655,ChIJpfBbV8IXrjsRxgXyWCDU8UY,https://www.google.com/maps/place/?q=place_id:ChIJpfBbV8IXrjsRxgXyWCDU8UY,part_351,2026-09-20 20:18:39,6322
Shree Organic Millet World,Organic Food Store,Organic restaurant,Organic restaurant,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 86186 90790,https://www.sreeorganicmilletworld.com/,4.8,666.0,"8th Cross Rd, near ganesha temple, Yalappa Garden, Malleshwaram, Bengaluru, Karnataka 560003","Yalappa Garden, Malleshwaram",13.000537999999999,77.5723841,ChIJYZr60VEXrjsRMXg1QpIw7bs,https://www.google.com/maps/place/?q=place_id:ChIJYZr60VEXrjsRMXg1QpIw7bs,part_351,2026-09-20 20:18:39,6323
SAVI ORGANICS,Organic Food Store,Organic food store,Organic food store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 93800 49033,N/A,4.5,2.0,"1 main 2 cross, Bombaydying road, behind LG show room, Gokula1 stage, Yeswanthpur, Bengaluru, Karnataka 560022","H Gurumurthy ReddyColony, Gokula1 stage, Yeswanthpur",13.025211299999999,77.5573622,ChIJpfJ18Xg9rjsRa1tDlroWc4Q,https://www.google.com/maps/place/?q=place_id:ChIJpfJ18Xg9rjsRa1tDlroWc4Q,part_351,2026-09-20 20:18:39,6324
Good Old Days Organic Pvt. Ltd,Organic Food Store,Organic food store,Organic food store,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 77609 28539,https://www.organicvalley.co.in/,4.2,127.0,"#32, 5th Cross Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095","KHB Colony, 5th Block, Koramangala",12.935689,77.621813,ChIJ3d1OIUUUrjsR1JZm8Tp0DBA,https://www.google.com/maps/place/?q=place_id:ChIJ3d1OIUUUrjsR1JZm8Tp0DBA,part_351,2026-09-20 20:18:39,6325
