business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jitu and jihan auto parts,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,5.0,,"5Q6X+84J, MV - 64/10, Erabanpali, Odisha 764086",MV - 64/10,18.1608426,81.79777969999999,ChIJWXqgKADBMDoRCRytRHp5WGo,https://www.google.com/maps/place/?q=place_id:ChIJWXqgKADBMDoRCRytRHp5WGo,part_351,2026-09-20 20:18:08,2005
Sujay automobiles 🏍️,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,5.0,,"4JR7+458, Gotanpali, Odisha 764047",764047,18.140427799999998,81.613117,ChIJv5NdPgDbMDoRA5Vurqd-cM0,https://www.google.com/maps/place/?q=place_id:ChIJv5NdPgDbMDoRA5Vurqd-cM0,part_351,2026-09-20 20:18:08,2006
Bijan Mandal,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,3.5,,"VGJH+9H6, NH 326, Rambharam, Sunabeda, Odisha 764087",764047,17.880903999999997,81.5288818,ChIJ_Y34ORnVMDoRrYjEEXZLqno,https://www.google.com/maps/place/?q=place_id:ChIJ_Y34ORnVMDoRrYjEEXZLqno,part_351,2026-09-20 20:18:08,2007
Gotanpali,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,5.0,,"4JR7+57, Gotanpali, Odisha 764047",764047,18.1403605,81.6131924,ChIJd1blUwDbMDoRpvMdmo1YMS4,https://www.google.com/maps/place/?q=place_id:ChIJd1blUwDbMDoRpvMdmo1YMS4,part_351,2026-09-20 20:18:08,2008
Rakash Automotive bike repair modifications & lighting point,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 93818 09716,N/A,5.0,,"MPV-126, near primary school, Kalimela, Nalagunti, Odisha 764047",764047,18.0172925,81.7126067,ChIJSZnXd-TPMDoRcKsQqsWor_w,https://www.google.com/maps/place/?q=place_id:ChIJSZnXd-TPMDoRcKsQqsWor_w,part_351,2026-09-20 20:18:08,2009
Ampere Service Station - Dangarguda - Malkangiri,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Auto repair shop, Car repair and maintenance service, Motor scooter repair shop, Motorcycle parts store, Repair service",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 79 4716 5168,https://ampere-showroom.greaveselectricmobility.com/ampere-service-station-dangarguda-malkangiri-two-wheeler-repair-shop-dangarguda-malkangiri-575422/Home?utm_source=locator&utm_medium=googleplaces,,,"Main Road, opposite Uco Bank, Dangarguda, Malkangiri, Odisha 764045",764047,18.3637409,81.8982482,ChIJbePZdGiTMDoRc67INbsQQv0,https://www.google.com/maps/place/?q=place_id:ChIJbePZdGiTMDoRc67INbsQQv0,part_351,2026-09-20 20:18:08,2010
Inverter Repair Shop Malkangiri,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,,,"9V3M+GQ2, DNK Rd, near bsnl bhaban chowk, Malkangiri, Goreguda, Odisha 764045",764047,18.353773699999998,81.8843888,ChIJWaR5MQCTMDoR_jnb-ZYTCQw,https://www.google.com/maps/place/?q=place_id:ChIJWaR5MQCTMDoR_jnb-ZYTCQw,part_351,2026-09-20 20:18:08,2011
Mv 58,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,,,"4JR7+57, Gotanpali, Odisha 764047",764047,18.1404052,81.6132051,ChIJh-QqcADbMDoRK6taakMrzMw,https://www.google.com/maps/place/?q=place_id:ChIJh-QqcADbMDoRK6taakMrzMw,part_351,2026-09-20 20:18:08,2012
Shiva Auto Bike Garej,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,,,"4V3X+PXQ, Bejangiwada, Brundamamedi, Odisha 764047",764047,18.1043353,81.8999759,ChIJQaUrZwC5MDoR5gO1dNBJjbU,https://www.google.com/maps/place/?q=place_id:ChIJQaUrZwC5MDoR5gO1dNBJjbU,part_351,2026-09-20 20:18:08,2013
PRADHAN House (Bapi Bhai),Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,,,"9V7W+P37, Dangarguda, Malkangiri, Odisha 764045",764047,18.3643772,81.89520089999999,ChIJzT0cVQCTMDoRsXE1R6eiJ7Q,https://www.google.com/maps/place/?q=place_id:ChIJzT0cVQCTMDoRsXE1R6eiJ7Q,part_351,2026-09-20 20:18:08,2014
