business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Little Pearls Play School Daycare Jhalawar,Play School and Daycare,Preschool,Preschool,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 97834 62818,https://www.instagram.com/littlepearlsjhalawar?igsh=aW5uYzJ6cnQwcWk0,5.0,,"House no. 2f-12, Kalka Mata Mandir, Indra Nagar, Housing Board, Jhalawar, Rajasthan 326001","Indra Nagar, Housing Board",24.591435099999998,76.1447841,ChIJGWRMp9k_ZTkR5lLR7_2geuQ,https://www.google.com/maps/place/?q=place_id:ChIJGWRMp9k_ZTkR5lLR7_2geuQ,part_351,2026-09-20 20:19:04
London Kids Preschool Sivaganga,Play School and Daycare,Preschool,Preschool,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,N/A,N/A,5.0,,"49, Gokhale Hall Road, Street, Sivaganga, Tamil Nadu 630561",Street,9.8559126,78.4837639,ChIJLeJGHbz7ADsRrrhvLKsFEz0,https://www.google.com/maps/place/?q=place_id:ChIJLeJGHbz7ADsRrrhvLKsFEz0,part_351,2026-09-20 20:19:04
Sproutling Kids Pre School & Daycare,Play School and Daycare,Preschool,Preschool,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 87503 50055,https://sproutlingkids.co.in/,5.0,,"Maceo, Sector 91, Gurugram, Meoka, Haryana 122505",Sector 91,28.4049105,76.9234163,ChIJI2PyIPc9DTkRomxgfciiAS0,https://www.google.com/maps/place/?q=place_id:ChIJI2PyIPc9DTkRomxgfciiAS0,part_351,2026-09-20 20:19:04
Kids Universe Pre School And Day Care,Play School and Daycare,Preschool,"Preschool, Day care center, Montessori school, Plant nursery, Playgroup",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 70221 97881,http://www.kidsuniverse.in/,4.9,81.0,"No. 44, 2nd Cross St, S S Circle, Ashok Nagar, Tumakur, Karnataka 572102","S S Circle, Ashok Nagar",13.3349564,77.1174944,ChIJxfBJnEQtsDsR5uTZC8fSvWc,https://www.google.com/maps/place/?q=place_id:ChIJxfBJnEQtsDsR5uTZC8fSvWc,part_351,2026-09-20 20:19:05
Buzz Bees fun Play School,Play School and Daycare,Preschool,Preschool,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 90109 38338,N/A,4.9,184.0,"G.P.T.Colony, Suryaraopeta, Andhra Pradesh 533003",G.P.T.Colony,16.9782078,82.22816209999999,ChIJFdZxCz0oODoRv399M5XQ3v4,https://www.google.com/maps/place/?q=place_id:ChIJFdZxCz0oODoRv399M5XQ3v4,part_351,2026-09-20 20:19:05
Matrika Play School,Play School and Daycare,Preschool,Preschool,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,N/A,N/A,4.9,13.0,"GR4C+Q36, Durga Nagar Main Rd, Puranpura, Vidisha, Madhya Pradesh 464001",Puranpura,23.506909099999998,77.82015179999999,ChIJU1VVjJEEfDkRkzkvzxLw7nw,https://www.google.com/maps/place/?q=place_id:ChIJU1VVjJEEfDkRkzkvzxLw7nw,part_351,2026-09-20 20:19:05
"Little Champs Play School , Day Care & Tutions center",Play School and Daycare,Preschool,"Preschool, Day care center, Studying center",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 86977 47668,https://littlechampsplayschool.com/,4.8,96.0,"909, near gurudwara singh saheedan, Sector 80, Sahibzada Ajit Singh Nagar, Punjab 140308",Sector 80,30.671546799999998,76.7175791,ChIJveP-t9rvDzkRS-2Xvou0X28,https://www.google.com/maps/place/?q=place_id:ChIJveP-t9rvDzkRS-2Xvou0X28,part_351,2026-09-20 20:19:05
Kanheya Play School,Play School and Daycare,Preschool,Preschool,764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 93372 96434,N/A,4.9,11.0,"5M6X+HQQ, Ramchandrapur Bazar, Jatni, Khordha, Odisha 752050",Ramchandrapur Bazar,20.1614656,85.6994807,ChIJrRBb2r2uGToRK3Q3vopPS_I,https://www.google.com/maps/place/?q=place_id:ChIJrRBb2r2uGToRK3Q3vopPS_I,part_351,2026-09-20 20:19:05
Peace Lily Pre-School & Day Care,Play School and Daycare,Preschool,"Preschool, Kindergarten School",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 79786 50489,https://wa.me/918144608886?text=Hi+I+contacted+you+through+your+Google!Page,5.0,55.0,"Plot no -535, N5, Indradhanu Market Rd, above ICICI bank, near Lavender Hotel, Block N5, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Block N5, IRC Village, Nayapalli",20.2948633,85.8142919,ChIJ4VCVQVIJGToRcaekIeHpJOc,https://www.google.com/maps/place/?q=place_id:ChIJ4VCVQVIJGToRcaekIeHpJOc,part_351,2026-09-20 20:19:05
Bachpan Play School,Play School and Daycare,Preschool,"Preschool, Kindergarten School, Montessori preschool, Montessori school, Nursery school, Playgroup",764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O,+91 94371 43495,https://bdacolony.bachpanglobal.in/,4.9,163.0,"Kapila Prasad, Bhimatangi Housing Colony, Bhubaneswar, Odisha 751002","Kapila Prasad, Bhimatangi Housing Colony",20.2338758,85.81586879999999,ChIJAQAAAJCmGToRAIsqpbm6S0A,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAJCmGToRAIsqpbm6S0A,part_351,2026-09-20 20:19:05
