business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
𝗭𝗶𝗿𝗮𝗸𝗽𝘂𝗿 𝗣𝗮𝗰𝗸𝗲𝗿𝘀 𝗮𝗻𝗱 𝗠𝗼𝘃𝗲𝗿𝘀,Packers and Movers,Packaging company,"Packaging company, Logistics service, Moving service, Transportation service",764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 98766 04171,https://zirakpurpackersmovers.com/,4.9,233.0,"Shop No. 01, Dev Complex, Ranjan Plaza Road, Jarnail Enclave Phase 1, Utrathiya, Zirakpur, Punjab 140603","Jarnail Enclave Phase 1, Utrathiya",30.657941599999997,76.8195722,ChIJFXoiHo_rDzkRYlfA3K617Vs,https://www.google.com/maps/place/?q=place_id:ChIJFXoiHo_rDzkRYlfA3K617Vs,part_351,2026-09-20 20:19:36
Packers And Movers in Bhubaneswar,Packers and Movers,Packaging company,Packaging company,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 73280 10280,https://all-relocation-care.grexa.site/,4.7,,"Plot No 1705 Lane No 09, Shiv Shakti Nagar, Puri Canal Rd, Balianta, Bhubaneswar, Odisha 752101",Balianta,20.3117004,85.88893209999999,ChIJX7PPjbILGToRHVI1xz6GZDA,https://www.google.com/maps/place/?q=place_id:ChIJX7PPjbILGToRHVI1xz6GZDA,part_351,2026-09-20 20:19:36
Shree Alakh Packers and Movers,Packers and Movers,Packaging company,"Packaging company, Corporate office",764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 86023 52046,https://alakhmovers.com/,4.8,,"PHASE -1, Aadarsh Chowk, HNO 163, near at, C.G, Kabir Nagar, Raipur, Jarway Alias Hirapur, Chhattisgarh 492099","C.G, Kabir Nagar",21.266758199999998,81.5939132,ChIJq6qqaqjgKDoRVZMHaj8kRkE,https://www.google.com/maps/place/?q=place_id:ChIJq6qqaqjgKDoRVZMHaj8kRkE,part_351,2026-09-20 20:19:36
Omm Sai Packers and Movers,Packers and Movers,Transportation service,Transportation service,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 97766 66857,https://www.ommsaipackers.com/,5.0,,"Mancheswar Industrial Estate, Plot No- 485/6082 , 2nd floor, Binayak Complex, near Skill India, Chakeisihani, Bhubaneswar, Odisha 751010",Chakeisihani,20.310208799999998,85.8576217,ChIJJxQm8sgLGToRvvVhyVFCdpw,https://www.google.com/maps/place/?q=place_id:ChIJJxQm8sgLGToRvvVhyVFCdpw,part_351,2026-09-20 20:19:36
STAR RELOCATION SERVICE,Packers and Movers,Packaging company,"Packaging company, Courier service, Delivery service, Import export company, Logistics service, Shipping service, Storage facility, Transportation service, Warehouse",764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 98266 66922,https://starrelocationservice.in/,5.0,,"H/No.422, behind RAJ TRADERS, near MAINA RESTRAURANT, VASUNDHARA COLONY, Changurabhata, Raipur, Chhattisgarh 492001","VASUNDHARA COLONY, Changurabhata",21.2246353,81.5944121,ChIJvdJ-pFLdKDoR_B0-P_oVKdM,https://www.google.com/maps/place/?q=place_id:ChIJvdJ-pFLdKDoR_B0-P_oVKdM,part_351,2026-09-20 20:19:36
Suman International Packers & Movers,Packers and Movers,Transportation service,Transportation service,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 93012 41014,N/A,4.8,,"C-53, near Water Tank, Shankar Nagar, Raipur, Chhattisgarh 492004",Shankar Nagar,21.2545203,81.6616061,ChIJZRURFwfdKDoRaYC1jFpHJIY,https://www.google.com/maps/place/?q=place_id:ChIJZRURFwfdKDoRaYC1jFpHJIY,part_351,2026-09-20 20:19:36
POPULAR PACKERS AND MOVERS,Packers and Movers,Packaging company,"Packaging company, Moving service",764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",N/A,https://www.popularpacker.com/,4.4,,"6 A, Ripon St, Esplanade, Taltala, Kolkata, West Bengal 700016","Esplanade, Taltala",22.553424699999997,88.35717199999999,ChIJn82GajB3AjoR01hQhMeeiOA,https://www.google.com/maps/place/?q=place_id:ChIJn82GajB3AjoR01hQhMeeiOA,part_351,2026-09-20 20:19:36
Naga MM Packers & Movers House Shifting,Packers and Movers,Logistics service,Logistics service,764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 81976 96674,http://www.nagammpackersandmovers.in/,4.8,,"Bus Stand, opposite Vignan Nagar, Vignan Nagar, Malleshpalya, Kaggadasapura, Bengaluru, Karnataka 560075","Vignan Nagar, Malleshpalya, Kaggadasapura",12.9729625,77.6778379,ChIJ23nSB18RrjsReL2_Y24TpCw,https://www.google.com/maps/place/?q=place_id:ChIJ23nSB18RrjsReL2_Y24TpCw,part_351,2026-09-20 20:19:36
Dream Home Packers And Movers,Packers and Movers,Moving and storage service,"Moving and storage service, Moving service, Moving supply store, Transportation service",764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 95633 95000,https://www.dreamhomepackersmovers.com/,4.9,,"A-BLOCK, 2027, 18th Cross, off Hosur Road, near Happy Big Bazaar, Kudlu, AECS Layout - A Block, AECS Layout, Singasandra, Bengaluru, Karnataka 560068","Kudlu, AECS Layout - A Block, AECS Layout, Singasandra",12.8812828,77.6546868,ChIJM-ZxFcMTrjsRzCsu1V03bNc,https://www.google.com/maps/place/?q=place_id:ChIJM-ZxFcMTrjsRzCsu1V03bNc,part_351,2026-09-20 20:19:36
Sharma Packers and Movers-Jeethendra Transport & Logistics Consultant,Packers and Movers,Moving service,"Moving service, Packaging company, Storage facility, Transportation service",764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O",+91 95901 78555,https://www.sharmapackersmovers.com/,3.6,,"Post Hosur, Ananth Nagar Main Road, Bengaluru - Chennai Hwy, Electronic City, Hebbagodi, Karnataka 560100","Kammasandra, Electronic City",12.8352843,77.6813686,ChIJyT3aY2BtrjsRLgaB3wNybKo,https://www.google.com/maps/place/?q=place_id:ChIJyT3aY2BtrjsRLgaB3wNybKo,part_351,2026-09-20 20:19:36
