business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Blue point car service,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",N/A,N/A,5.0,1.0,"WHH6+8CR, Vizianagaram Road, Bana Vihar, Jeypore, Mazurmunda, Odisha 764002",Bana Vihar,18.929015,82.5606995,ChIJPVJjDgCTOjoRbB_26ikljRo,https://www.google.com/maps/place/?q=place_id:ChIJPVJjDgCTOjoRbB_26ikljRo,part_351,2026-09-20 20:21:42
UTKAL AUTO MARUTI GENUINE SPARES PVT LTD,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",N/A,N/A,4.8,4.0,"VH5J+Q6J, IB Rd, near Petrol Pump, Mill Street, Jeypore, Odisha 764001",Mill Street,18.8595048,82.5805249,ChIJ_YJXDwDtOjoR_ajM-iUZlF4,https://www.google.com/maps/place/?q=place_id:ChIJ_YJXDwDtOjoR_ajM-iUZlF4,part_351,2026-09-20 20:21:42
MOBILE WORLD,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 99382 46166,N/A,4.5,2.0,"Main Rd Kundra, Kundura, Odisha 764002",764055,18.926844799999998,82.3892537,ChIJNVb1_pyROjoRLmjJLaAfeHo,https://www.google.com/maps/place/?q=place_id:ChIJNVb1_pyROjoRLmjJLaAfeHo,part_351,2026-09-20 20:21:42
Vijay spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",N/A,N/A,5.0,4.0,"VH7G+QHV, Parabeda, Jeypore, Odisha 764001",Parabeda,18.8644843,82.5764219,ChIJE7hVYKPtOjoR1qB-OrR5zFQ,https://www.google.com/maps/place/?q=place_id:ChIJE7hVYKPtOjoR1qB-OrR5zFQ,part_351,2026-09-20 20:21:42
MAA JASHODA TWO WHEELER SPARE PARTS,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 94383 13460,N/A,,,"MAIN ROAD,KUNDRA, Kundra - Jeypore Rd, Odisha 764002",764055,18.9301522,82.3895113,ChIJ9yXtdqmROjoR2A5fJg_D92Q,https://www.google.com/maps/place/?q=place_id:ChIJ9yXtdqmROjoR2A5fJg_D92Q,part_351,2026-09-20 20:21:42
AVHAY AUTOMOBILE,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 63713 28582,N/A,,,"near Hi School, Borigumma, Odisha 764056",764055,19.0517194,82.548597,ChIJ_Qeg5OS_OjoRzzVm0eGMNbE,https://www.google.com/maps/place/?q=place_id:ChIJ_Qeg5OS_OjoRzzVm0eGMNbE,part_351,2026-09-20 20:21:42
Ramakrushna Traders,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 76315 50555,N/A,5.0,5.0,"Bharat Petroleum, B.singpur road, Borigumma, Dulaguda, Odisha 764056",764055,19.049951,82.55798709999999,ChIJ16-bBR6_OjoR1alpBVIKvz8,https://www.google.com/maps/place/?q=place_id:ChIJ16-bBR6_OjoR1alpBVIKvz8,part_351,2026-09-20 20:21:42
Greaves 3 Wheelers - Jayanagar - Koraput,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Electric motor vehicle dealer, Auto repair shop, Battery Store, Vehicle inspection service",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 80 3783 7785,https://stores.greaveselectricmobility.com/greaves-3-wheelers-jayanagar-koraput-jaga-balia-enterprises-electric-motor-vehicle-dealer-jayanagar-koraput-563276/Home?utm_source=locator&utm_medium=googleplaces,5.0,1.0,"Khata No 30/308, Plot No 130/193/506, near Bhutanath Temple, Jay Nagar, Jeypore, Odisha 764005",Jay Nagar,18.853364499999998,82.5577655,ChIJFwtlgliTOjoRuc8P2y2jKxc,https://www.google.com/maps/place/?q=place_id:ChIJFwtlgliTOjoRuc8P2y2jKxc,part_351,2026-09-20 20:21:42
Nk kirana store,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",N/A,N/A,5.0,4.0,"3F4M+RV, Brahmuniaguda, Odisha 764056",764055,19.0571157,82.48468299999999,ChIJg7E6dAC_OjoRQMq26Fh68hA,https://www.google.com/maps/place/?q=place_id:ChIJg7E6dAC_OjoRQMq26Fh68hA,part_351,2026-09-20 20:21:42
Anil Auto,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 96922 14589,N/A,,,"Nabarangpur Road, Narasimha Nagar, Borigumma, Odisha 764056",Narasimha Nagar,19.0504522,82.5531726,ChIJRW2osmK_OjoR7L9QVI69ZZE,https://www.google.com/maps/place/?q=place_id:ChIJRW2osmK_OjoR7L9QVI69ZZE,part_351,2026-09-20 20:21:42
JAY HUNDI MAA SPARE PARTS SHOP,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",N/A,N/A,,,"2H2P+8XH, Phupugam, Odisha 764056",764055,19.000817899999998,82.5874851,ChIJf53FzbbrOjoRYHxP84AcaMo,https://www.google.com/maps/place/?q=place_id:ChIJf53FzbbrOjoRYHxP84AcaMo,part_351,2026-09-20 20:21:42
Sidharth Motors,Auto Spare Parts Shop,Auto parts store,Auto parts store,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 82498 91062,N/A,,,"Nawrangapur rode, Borigumma, Jhilimili, Odisha 764058",764055,19.0604601,82.5504393,ChIJPdHi3Cu_OjoRG2jA7Z5ta6w,https://www.google.com/maps/place/?q=place_id:ChIJPdHi3Cu_OjoRG2jA7Z5ta6w,part_351,2026-09-20 20:21:42
