business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lalu cycle shop,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 88950 98415,N/A,4.3,3.0,"Banjalaput, Odisha 764038",764055,18.3958673,82.6827033,ChIJc7daRTBEOjoRWVVKW55J98E,https://www.google.com/maps/place/?q=place_id:ChIJc7daRTBEOjoRWVVKW55J98E,part_351,2026-09-20 20:21:43
Lipun cycle store,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",N/A,N/A,4.5,2.0,"4V83+CM4, Mukhiguda, Chapria, Odisha 766036",764055,20.1160155,82.8541876,ChIJ-dZnaIYBJToRzk4vWLgwEas,https://www.google.com/maps/place/?q=place_id:ChIJ-dZnaIYBJToRzk4vWLgwEas,part_351,2026-09-20 20:21:43
Gayatri Cycle Mart,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 63021 09226,N/A,5.0,2.0,"Main Road, opposite Odisha Grameen Bank, Jamunda, Odisha 764055",764055,18.9921838,82.5056908,ChIJk5t3sSyVOjoRxL9_sqVVync,https://www.google.com/maps/place/?q=place_id:ChIJk5t3sSyVOjoRxL9_sqVVync,part_351,2026-09-20 20:21:43
Sri Satyadeva cycle stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 94419 62488,N/A,5.0,19.0,"near thandra paparaya statue, Aguruvidi, Bobbili, Andhra Pradesh 535558",Aguruvidi,18.573801,83.35823289999999,ChIJU4PgaXWbOzoR7zcRKK7q6vc,https://www.google.com/maps/place/?q=place_id:ChIJU4PgaXWbOzoR7zcRKK7q6vc,part_351,2026-09-20 20:21:43
Laxmi Narayan cycles & E-Bike,Bicycle Shop and Repair,Electrical products wholesaler,Electrical products wholesaler,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 70081 44103,N/A,4.9,30.0,"Bhejaput Main Rd, Bhejaput, Damanjodi, Odisha 763008",Bhejaput,18.753794799999998,82.9182836,ChIJCx10PdkBOzoRW0iDByVVtok,https://www.google.com/maps/place/?q=place_id:ChIJCx10PdkBOzoRW0iDByVVtok,part_351,2026-09-20 20:21:43
Laxman cycle repair center,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",N/A,N/A,3.0,1.0,"49GW+397, Miriguda, Batasona, Odisha 764058",764055,19.125168,82.39590679999999,ChIJdxx8Nvm9OjoREYlC6c-O5Z0,https://www.google.com/maps/place/?q=place_id:ChIJdxx8Nvm9OjoREYlC6c-O5Z0,part_351,2026-09-20 20:21:43
Chennai Cycles | Authorized TREK store,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle club, Bicycle rack, Bicycle repair shop, Bicycle wholesaler, Electric bicycle store",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 78679 44555,https://chennaicycles.com/,4.5,348.0,"302, siva Tower, sathy Main Road, Sivanandha Puram, Saravanampatti, Coimbatore, Tamil Nadu 641035","Poompogar Nagar, Saravanampatti",11.0637565,77.0002347,ChIJCQuAlfz3qDsR-f4L_RRpN40,https://www.google.com/maps/place/?q=place_id:ChIJCQuAlfz3qDsR-f4L_RRpN40,part_351,2026-09-20 20:21:43
GURU CYCLES MART,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 86887 50044,https://gurucyclesmart.com/,5.0,873.0,"Seethammapeta, bus stop, opposite side, Ganesh Nagar, Seetamma Peta, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016","Ganesh Nagar, Seetamma Peta, Dwaraka Nagar",17.7318243,83.3069838,ChIJEc4AnMJDOToRqF878Z0c9SU,https://www.google.com/maps/place/?q=place_id:ChIJEc4AnMJDOToRqF878Z0c9SU,part_351,2026-09-20 20:21:43
Sturdy Bikes,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Electric bicycle store",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 81064 77876,N/A,4.7,156.0,"48-3-6B, Day and Hospital Road, opp. Subha Elite Apartment, opposite lane to Pawan showroom, Srinagar, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016","Srinagar, Dwaraka Nagar",17.7287539,83.3082968,ChIJZ0VCsXJDOToRE59h3Q8sdtY,https://www.google.com/maps/place/?q=place_id:ChIJZ0VCsXJDOToRE59h3Q8sdtY,part_351,2026-09-20 20:21:43
Jayakumar Cycle Repair Shop,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 94472 47467,N/A,5.0,7.0,"HX46+795, Kudappanakunnu, Thiruvananthapuram, Keralam 695043",Kudappanakunnu,8.5559775,76.9609924,ChIJdTW4F9G5BTsROZKzba0UkBI,https://www.google.com/maps/place/?q=place_id:ChIJdTW4F9G5BTsROZKzba0UkBI,part_351,2026-09-20 20:21:43
