business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SS Event Management,Event Planners/Wedding Planners,Event management company,Event management company,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 86862 01275,N/A,4.8,,"36-90-2, Gavara Kanchara Palem, Kancharapalem, Visakhapatnam, Andhra Pradesh 530008","Gavara Kanchara Palem, Kancharapalem",17.734975,83.27448799999999,ChIJtYfpB8lCOToRTxK-HBYicks,https://www.google.com/maps/place/?q=place_id:ChIJtYfpB8lCOToRTxK-HBYicks,part_351,2026-09-20 20:21:51
SRI GANPATI EVENTS,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event planner, Wedding service",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 76088 92843,N/A,,,"Main Road Khariar Road, &, Bhawanipatna - Raipur Hwy, Nuapada, Khariar Road, Odisha 766104",Bartansil,20.895982,82.5107587,ChIJHxya8q_hJToRiIhXYBmJAjI,https://www.google.com/maps/place/?q=place_id:ChIJHxya8q_hJToRiIhXYBmJAjI,part_351,2026-09-20 20:21:51
LavishCelebration Events and Entertainment,Event Planners/Wedding Planners,Event planner,Event planner,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 77310 60962,https://www.facebook.com/Lavishcelebration02/,4.8,,"h no.5-49/2,dr no.62a, vsp, Aditya Nagar, Pendurthi, Pendurti, Andhra Pradesh 531173","Aditya Nagar, Pendurthi",17.8262146,83.2105339,ChIJtc83HIlnOToR8RG-A3exTU8,https://www.google.com/maps/place/?q=place_id:ChIJtc83HIlnOToR8RG-A3exTU8,part_351,2026-09-20 20:21:51
EVE19 ENTERTAINMENT,Event Planners/Wedding Planners,Event planner,Event planner,764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 95376 22758,http://www.eve19.co.in/,5.0,,"6-20-16/1, East Point Colony, Pedda Waltair, Visakhapatnam, Andhra Pradesh 530017","East Point Colony, Pedda Waltair",17.7286967,83.3381283,ChIJOU7Wq6RFOToRFzCIlO5SCbE,https://www.google.com/maps/place/?q=place_id:ChIJOU7Wq6RFOToRFzCIlO5SCbE,part_351,2026-09-20 20:21:51
SATYA EVENTS,Event Planners/Wedding Planners,Event planner,"Event planner, Event management company, Event venue",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 96524 59888,https://www.mydigitalsite.in/SATYA-EVENTS,4.8,,"Venugopalnagar, Muthyala Reddy Nagar, Guntur, Andhra Pradesh 522007","Venugopalnagar, Muthyala Reddy Nagar",16.3238578,80.43248439999999,ChIJCQlvfRx1SjoRt1CNsoq_rxo,https://www.google.com/maps/place/?q=place_id:ChIJCQlvfRx1SjoRt1CNsoq_rxo,part_351,2026-09-20 20:21:51
Shirdi Sai Events,Event Planners/Wedding Planners,Event planner,"Event planner, Entertainment agency",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 98482 29961,N/A,4.8,,"4/11, Brodipet, Guntur, Andhra Pradesh 522002",Brodipet,16.302362,80.4338167,ChIJJ3M7YUJ1SjoRzM4OWJAzttU,https://www.google.com/maps/place/?q=place_id:ChIJJ3M7YUJ1SjoRzM4OWJAzttU,part_351,2026-09-20 20:21:51
Ekatra Events and Media Pvt Ltd,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event planner, Event technology service, Event management company",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 99665 76644,N/A,4.9,,"opp. Oxygen Towers In-Gate, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013","TPT Colony, Balayya Sastri Layout, Seethammadara",17.7412091,83.3136577,ChIJ73frzkpDOToRlcDuKzS-BrQ,https://www.google.com/maps/place/?q=place_id:ChIJ73frzkpDOToRlcDuKzS-BrQ,part_351,2026-09-20 20:21:51
Kimpioa events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Dance company, DJ service, Event management company, Event planner, Party planner, Tent House Supplier, Wedding photographer, Wedding service, Wedding venue",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 92683 63150,https://kimpioa.in/,4.9,131.0,"HNO D16 D16, 37, Sector 7, Rohini, Delhi, 110085","Sector 7, Rohini",28.7055904,77.11572629999999,ChIJnyYkNfwDDTkRLZTfb63I6hk,https://www.google.com/maps/place/?q=place_id:ChIJnyYkNfwDDTkRLZTfb63I6hk,part_351,2026-09-20 20:21:52
Freon Events & Wedding Planner Raipur,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 79746 69324,https://www.instagram.com/freon.events?igsh=eDdkNTl3NGV6Mmx1,4.3,50.0,"Great Eastern Rd, Samta Colony, Raipur, Chhattisgarh 492001",Samta Colony,21.2414959,81.6200056,ChIJx4MTsdvdKDoRR62CfKU8jtY,https://www.google.com/maps/place/?q=place_id:ChIJx4MTsdvdKDoRR62CfKU8jtY,part_351,2026-09-20 20:21:52
Whistling Teel,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Audiovisual equipment rental service, Caterer, Entertainment agency, Stage lighting equipment supplier",764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O",+91 98970 52232,https://www.instagram.com/whistlingteel/,5.0,90.0,"44, Indira Nagar Colony Rd, near Asian School, Balliwala, Dehradun, Uttarakhand 248006",Balliwala,30.321900099999997,78.00495889999999,ChIJfdl6qdopCTkRCquDhlsELX8,https://www.google.com/maps/place/?q=place_id:ChIJfdl6qdopCTkRCquDhlsELX8,part_351,2026-09-20 20:21:52
