business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SITARAM TRADERS,Fish Market,Agricultural service,"Agricultural service, Agricultural Product Wholesaler",764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",+91 63701 51402,N/A,5.0,,"W-12, Bondaguda, CHOWK, Kotapad, Odisha 764058",CHOWK,19.1359672,82.3165719,ChIJJebnHAClOjoR7__QpjAhdrU,https://www.google.com/maps/place/?q=place_id:ChIJJebnHAClOjoR7__QpjAhdrU,part_351,2026-09-20 20:23:38
Daily market,Fish Market,Fish & chips restaurant,Fish & chips restaurant,764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",N/A,N/A,4.0,,"65G7+MR5, Aunli, Odisha 764061",764058,19.2266484,82.1646133,ChIJQ6R7HQAHMDoRAru6noBCbbc,https://www.google.com/maps/place/?q=place_id:ChIJQ6R7HQAHMDoRAru6noBCbbc,part_351,2026-09-20 20:23:38
Jindal Panther TMT Dealer - Divyadurga Traders | TMT Rebars & Sariya Supplier,Fish Market,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",+91 80931 52219,https://www.jindalpanther.com/,5.0,,"Panigrahi Apartment, near Honda Showroom, Kotapad, Odisha 764058",764058,19.1390648,82.31365459999999,ChIJsd6OLnGlOjoRdT7aWK140wY,https://www.google.com/maps/place/?q=place_id:ChIJsd6OLnGlOjoRdT7aWK140wY,part_351,2026-09-20 20:23:38
Laxmi bhandar,Fish Market,Fertilizer Store,"Fertilizer Store, Agricultural service",764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",+91 89173 65364,N/A,4.5,,"Dhamanahandi, Odisha 764058",764058,19.1215472,82.283597,ChIJqVtDt0anOjoRQhRgrwZXJV8,https://www.google.com/maps/place/?q=place_id:ChIJqVtDt0anOjoRQhRgrwZXJV8,part_351,2026-09-20 20:23:38
Pilathara Fish Market,Fish Market,Seafood market,"Seafood market, Market",764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",N/A,N/A,3.9,,"37J7+5GG, Cheruthazham - Kuttur - Peringome Rd, Pilathara, Keralam 670504",764058,12.080433099999999,75.2638142,ChIJY9DA13ZrpDsRByqYBguM9mQ,https://www.google.com/maps/place/?q=place_id:ChIJY9DA13ZrpDsRByqYBguM9mQ,part_351,2026-09-20 20:23:38
M/S Faiz Traders,Fish Market,Wholesaler,"Wholesaler, Disposable Items shop, FMCG Goods Wholesaler",764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",N/A,N/A,5.0,,"Bondaguda, near Titan Fitness, Kotapad, Odisha 764058",764058,19.1407667,82.3239116,ChIJ-ZaSJTmlOjoR32pSmAIip3A,https://www.google.com/maps/place/?q=place_id:ChIJ-ZaSJTmlOjoR32pSmAIip3A,part_351,2026-09-20 20:23:38
"Shree Mahavir Traders , Girla",Fish Market,Fertilizer Store,Fertilizer Store,764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",+91 98611 39652,N/A,5.0,,"to Nabrangpur Road, Girla, Odisha 764058",764058,19.165062499999998,82.3853125,ChIJYbEvFgClOjoRmQhDZS3TWio,https://www.google.com/maps/place/?q=place_id:ChIJYbEvFgClOjoRmQhDZS3TWio,part_351,2026-09-20 20:23:38
Maa Sheetala agriseeds,Fish Market,Agricultural Seed Store,"Agricultural Seed Store, Rice wholesaler",764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",N/A,N/A,5.0,,"48VG+VPX Shitala Thakurani Temple, Kotapad, Odisha 764058",764058,19.144683999999998,82.3268293,ChIJt1tLbWelOjoRIIsq3bK6Nyw,https://www.google.com/maps/place/?q=place_id:ChIJt1tLbWelOjoRIIsq3bK6Nyw,part_351,2026-09-20 20:23:38
Jaga Kalia metal store,Fish Market,Manufacturer,Manufacturer,764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",N/A,N/A,,,"OD-KOT-BAS-71D, 051, Anlabhata, Kotapad, Odisha 764058",764058,19.1320584,82.32155379999999,ChIJGTSHSwClOjoRkUceW4K1ObM,https://www.google.com/maps/place/?q=place_id:ChIJGTSHSwClOjoRkUceW4K1ObM,part_351,2026-09-20 20:23:38
Meat and Fish market,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O",N/A,N/A,5.0,1.0,"48MF+C73, kotpad vansuli PMGSY Road, Kotapad, Odisha 764058",764058,19.1335065,82.3231825,ChIJm179eH-lOjoRfQcyGZzT_9w,https://www.google.com/maps/place/?q=place_id:ChIJm179eH-lOjoRfQcyGZzT_9w,part_351,2026-09-20 20:23:39
