business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bamuni Post Office,Courier and Cargo Service,Post office,Post office,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",N/A,N/A,5.0,1.0,"6725+V8V, Bamuni, Kusumapalli, Odisha 764061",764061,19.202243499999998,82.25830979999999,ChIJ82mjTZanOjoRrBTHGUur9Fg,https://www.google.com/maps/place/?q=place_id:ChIJ82mjTZanOjoRrBTHGUur9Fg,part_351,2026-09-20 20:25:31
Post office,Courier and Cargo Service,Post office,Post office,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",N/A,N/A,,,"67CF+R2F, Bonia Rajoda Kodingam Road, Rajoda, Odisha 764061",764061,19.2221551,82.2721444,ChIJNzFs2q6pOjoRrBi_ZAlJ7s4,https://www.google.com/maps/place/?q=place_id:ChIJNzFs2q6pOjoRrBi_ZAlJ7s4,part_351,2026-09-20 20:25:31
TEMERA POST OFFICE,Courier and Cargo Service,Post office,Post office,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",N/A,N/A,,,"76FR+R78, Temera, Kosagumuda, Odisha 764061",Temera,19.2745321,82.2407065,ChIJpxZ2OACpOjoRWGCxJYx3xss,https://www.google.com/maps/place/?q=place_id:ChIJpxZ2OACpOjoRWGCxJYx3xss,part_351,2026-09-20 20:25:31
...,Courier and Cargo Service,Courier service,Courier service,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",N/A,N/A,4.0,4.0,"to, Rajoda Road, near UP School, Kosagumuda, Odisha 764061",764061,19.2746972,82.2383339,ChIJoU3-jKypOjoRTjAGZZoyHpw,https://www.google.com/maps/place/?q=place_id:ChIJoU3-jKypOjoRTjAGZZoyHpw,part_351,2026-09-20 20:25:31
DTDC Courier & Cargo Services,Courier and Cargo Service,Courier service,Courier service,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",+91 88408 02868,N/A,5.0,,"Shop No. 6, Shurayavanshi Complex, opposite Post office, Chhawani, Uttar Pradesh 272127",764061,26.7764262,82.3784625,ChIJTW4qzeWlkDkR2KHyyy8cduw,https://www.google.com/maps/place/?q=place_id:ChIJTW4qzeWlkDkR2KHyyy8cduw,part_351,2026-09-20 20:25:31
DTDC COURIER & CARGO LTD,Courier and Cargo Service,Courier service,"Courier service, Service establishment",764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",N/A,http://dtdc.com/,3.4,,"DTDC COURIER & CARGO LTD, 764061, India",764061,21.0680074,82.7525294,ChIJ1T6M78g_mTkReJJJeYK2kjU,https://www.google.com/maps/place/?q=place_id:ChIJ1T6M78g_mTkReJJJeYK2kjU,part_351,2026-09-20 20:25:31
DTDC COURIER AND CARGO,Courier and Cargo Service,Courier service,Courier service,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",N/A,N/A,4.7,3.0,"GMWW+WFP, Baberu, Uttar Pradesh 210121",764061,25.5473446,80.6962052,ChIJ6XURWOqvnDkR_WmYsoJLTJQ,https://www.google.com/maps/place/?q=place_id:ChIJ6XURWOqvnDkR_WmYsoJLTJQ,part_351,2026-09-20 20:25:32
CARRIERLY COURIER SERVICES PRIVATE LIMITED,Courier and Cargo Service,Courier service,"Courier service, Delivery service, Shipping service, Transportation service",764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",+91 89249 90616,N/A,3.8,18.0,"BANDHAWA BAZAR, Machhali Shahar, Uttar Pradesh 222143",764061,25.6890008,82.4127566,ChIJBWy_MfIRkDkRZyWxPtuvg68,https://www.google.com/maps/place/?q=place_id:ChIJBWy_MfIRkDkRZyWxPtuvg68,part_351,2026-09-20 20:25:32
DTDC - Gangakhed,Courier and Cargo Service,Courier service,Courier service,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",+91 98813 83178,N/A,4.3,8.0,"DTDC COURIER SERVICES, bus stop, roed, Police Colony, Gangakhed, Maharashtra 431514",Police Colony,18.9694474,76.75362609999999,ChIJ_90fohTnzzsRet3Zq2AP88M,https://www.google.com/maps/place/?q=place_id:ChIJ_90fohTnzzsRet3Zq2AP88M,part_351,2026-09-20 20:25:32
Delhivery Courier,Courier and Cargo Service,Courier service,Courier service,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",N/A,https://www.delhivery.com/,3.2,30.0,"RJMG+G2V, Omerga, Maharashtra 413606",764061,17.8338587,76.6250587,ChIJd2YGPo5bzzsRzLqPUxti4rk,https://www.google.com/maps/place/?q=place_id:ChIJd2YGPo5bzzsRzLqPUxti4rk,part_351,2026-09-20 20:25:32
Xpress bees kondagaon,Courier and Cargo Service,Courier service,Courier service,764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O",N/A,N/A,3.0,8.0,"HMQ7+Q47, beside congress bhavan, Kondagaon, Chhattisgarh 494226",764061,19.589407299999998,81.66279829999999,ChIJw-7HIqrPLzoRj34_XsbhKv0,https://www.google.com/maps/place/?q=place_id:ChIJw-7HIqrPLzoRj34_XsbhKv0,part_351,2026-09-20 20:25:32
