business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jay Mobile Solutions,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 73280 40121,N/A,4.5,62.0,"Shanti Chowk, Ambodala, Bijepur, Odisha 765021",764062,19.837814599999998,83.4529977,ChIJq0WKJYCZJDoRBXYQae6a5fc,https://www.google.com/maps/place/?q=place_id:ChIJq0WKJYCZJDoRBXYQae6a5fc,part_351,2026-09-20 20:26:13
MANIKANTA MOBILE'S AND ACCESSORIES,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone store",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 88952 88674,N/A,4.8,16.0,"Opposite by kanyaka parameswari temple, Main Road, Gunupur, Odisha 765022",764062,19.075602999999997,83.8087694,ChIJtQzux22XPDoRyNjht0N8AEw,https://www.google.com/maps/place/?q=place_id:ChIJtQzux22XPDoRyNjht0N8AEw,part_351,2026-09-20 20:26:13
SS MOBILE,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Computer accessories store, Computer store, Mobile home dealer, Mobile phone repair shop, Oldsmobile dealer, Smart shop",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 70080 18056,N/A,5.0,534.0,"Kapilas Road, ADB SBI BANK LINE, near REALME AND MI SERVICE CENTRE, Rayagada, Odisha 765001",New Colony,19.169107699999998,83.4133836,ChIJmcRhURFFOzoRFYpuDi2WoOw,https://www.google.com/maps/place/?q=place_id:ChIJmcRhURFFOzoRFYpuDi2WoOw,part_351,2026-09-20 20:26:13
Vaishno Mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 94377 73766,https://www.instagram.com/vaishno_mobiles/,5.0,1456.0,"Gandhi Nagar Main Rd, Gandhi Nagar, Brahmapur, Odisha 760001",Gandhi Nagar,19.3103587,84.787121,ChIJObQQB8xRPToROpxG7Sb8b8g,https://www.google.com/maps/place/?q=place_id:ChIJObQQB8xRPToROpxG7Sb8b8g,part_351,2026-09-20 20:26:13
Binayak Mobile & Electronic,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 97763 46140,N/A,3.5,6.0,"Madanpur Rampur, Odisha 766102",764062,20.194308,83.51829409999999,ChIJ99A7BbqAJDoRLaNZLf3DD70,https://www.google.com/maps/place/?q=place_id:ChIJ99A7BbqAJDoRLaNZLf3DD70,part_351,2026-09-20 20:26:13
The Mobile Hub,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 72493 40922,N/A,5.0,12.0,"Siddhivinayak Sankul, Infront of New Tilekar Hospital, Kalaram Mandir Rd, Shrirampur, Maharashtra 413709",764062,19.613923399999997,74.6578906,ChIJSQSmD0KL3DsRU4xCljTsI5Y,https://www.google.com/maps/place/?q=place_id:ChIJSQSmD0KL3DsRU4xCljTsI5Y,part_351,2026-09-20 20:26:13
Bittu mobiles and Repairing,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 75048 93038,N/A,4.7,10.0,"Saria - Kesinga Rd, near police station, beside SBI, Ward Number 3, Kesinga, Odisha 766012",Ward Number 3,20.190566399999998,83.2217783,ChIJg_vQQGv1JDoRkaJCtt2_9l0,https://www.google.com/maps/place/?q=place_id:ChIJg_vQQGv1JDoRkaJCtt2_9l0,part_351,2026-09-20 20:26:14
MOBIBELL,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Cell phone store, Computer repair service, Computer store, Oldsmobile dealer, Phone repair service, Repair service, Used computer store",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 99995 35308,http://www.mobibell.com/,4.8,1516.0,"Shop no 96, Huda Market, Sector 46, Gurugram, Haryana 122002","Huda Market, Sector 46",28.435195699999998,77.05926219999999,ChIJiwqXOocZDTkRGVEDEgLMyQA,https://www.google.com/maps/place/?q=place_id:ChIJiwqXOocZDTkRGVEDEgLMyQA,part_351,2026-09-20 20:26:14
Aman Mobiles,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Electronics store",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 97705 10101,N/A,4.4,319.0,"Aman Mobiles, Aman Chowk, Jagdalpur, Chhattisgarh 494001",Aman Chowk,19.086179899999998,82.0268273,ChIJdwFQ1mwSMDoRhGE-v3y20ak,https://www.google.com/maps/place/?q=place_id:ChIJdwFQ1mwSMDoRhGE-v3y20ak,part_351,2026-09-20 20:26:14
Prasad Cell Care,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Cell phone store, Educational testing service, Electronics repair shop, Institute of technology, Phone repair service, Screen repair service, Training center",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 99499 48994,http://prasadcellcare.com/,4.7,1048.0,"30-15-111A, prasadcellcare, woodland show room upstairs, woodland show upstairs, Daba Gardens, Andhra Pradesh 530020","Daba Gardens, Mahaarajupeta",17.7201923,83.30301709999999,ChIJic8AhfZDOToRne2oeIC16Sc,https://www.google.com/maps/place/?q=place_id:ChIJic8AhfZDOToRne2oeIC16Sc,part_351,2026-09-20 20:26:14
Sri Bhavani Mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 72077 75000,N/A,4.9,165.0,"51-13-4, beside Show Fine Tailors, Satyam Junction, Nakkavanipalem, Visakhapatnam, Andhra Pradesh 530013","Satyam Junction, Nakkavanipalem",17.735455299999998,83.312974,ChIJBzJ5vDdDOToRJ-Mpzx65Kkc,https://www.google.com/maps/place/?q=place_id:ChIJBzJ5vDdDOToRJ-Mpzx65Kkc,part_351,2026-09-20 20:26:14
"MEHERS MOBILE, Bhawanipatna",Mobile Phone Sales and Repair,Cell phone store,Cell phone store,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 98532 00607,N/A,5.0,,"Jagannath Mandir Road, near Style Baazar, Chanchara Para, Bhawanipatna, Odisha 766001",Chanchara Para,19.9060292,83.16654179999999,ChIJS42h76frJDoRzV8WXbNivI4,https://www.google.com/maps/place/?q=place_id:ChIJS42h76frJDoRzV8WXbNivI4,part_351,2026-09-20 20:26:15
PARVEZ MOBILE MASTER,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile home dealer, Mobile phone repair shop",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 99175 33143,http://parvezmobilemaster.com/,4.8,,"Chaudhary Complex, Ranikhet Rd, near M P lnter College, TP Nagar, Ramnagar, Uttarakhand 244715",TP Nagar,29.3939639,79.12665919999999,ChIJI0fzp54TCjkRX1pOsj7qYos,https://www.google.com/maps/place/?q=place_id:ChIJI0fzp54TCjkRX1pOsj7qYos,part_351,2026-09-20 20:26:15
Payyappallil Digital,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Computer repair service, Repair service",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 91529 09999,http://www.payyappallil.com/,4.9,,"Riverview Rd, Pala, Keralam 686575",Pala,9.7124606,76.68655609999999,ChIJQypNuszNBzsR3_C67nbsFTI,https://www.google.com/maps/place/?q=place_id:ChIJQypNuszNBzsR3_C67nbsFTI,part_351,2026-09-20 20:26:16
KK Mobile Centre,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Appliance store, Cell phone accessory store, Electronics Accessories Wholesaler, Electronics wholesaler, Mobile phone repair shop, Phone repair service",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 81166 66811,http://kk.mobile.co.in/,4.9,,"Gole Bazar Rd, above BHANDARI CHOWK, New Settlement, Kharagpur, West Bengal 721301",New Settlement,22.3399221,87.30539379999999,ChIJS89w0ENEHToRlATRawkdSSM,https://www.google.com/maps/place/?q=place_id:ChIJS89w0ENEHToRlATRawkdSSM,part_351,2026-09-20 20:26:16
Cover World,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 70085 88714,N/A,4.3,,"Narla, Odisha 766100",764062,20.054937499999998,83.3756875,ChIJ2aB1FnOPJDoRze20MPsziyI,https://www.google.com/maps/place/?q=place_id:ChIJ2aB1FnOPJDoRze20MPsziyI,part_351,2026-09-20 20:26:16
