business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sanjeev Optical Centre,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Optical instrument repair service, Sunglasses store",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 79831 77675,N/A,4.8,17,"Stadium Rd, Phase I, Ram Ganga Vihar, Sonakpur, Moradabad, Uttar Pradesh 244105","Phase I, Ram Ganga Vihar",28.8709977,78.75165129999999,ChIJhdzPKEP5CjkRyzLeyjoEC_0,https://www.google.com/maps/place/?q=place_id:ChIJhdzPKEP5CjkRyzLeyjoEC_0,part_351,2026-09-20 20:25:48
Anand Opticals,Optical Store and Eyewear,Optician,Optician,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 79787 35556,N/A,4.9,13,"opp. Ganesh Temple, near Shiva Temple, Gautam Nagar, Raniguda Farm, Rayagada, Odisha 765001","Gautam Nagar, Raniguda Farm",19.1661155,83.4164687,ChIJKWcjML1FOzoRxvm9Ef2sef4,https://www.google.com/maps/place/?q=place_id:ChIJKWcjML1FOzoRxvm9Ef2sef4,part_351,2026-09-20 20:25:48
Icon Opticals,Optical Store and Eyewear,Optician,"Optician, Sunglasses store",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 96762 27094,N/A,4.9,100,"DR NO.15-673, Mahesh Complex, Raju Rd, near Punjab National Bank, Kamalanagar, Anantapur, Andhra Pradesh 515001",Kamalanagar,14.680579999999999,77.6024544,ChIJnR_QUNlKsTsRlVU-01kzWkE,https://www.google.com/maps/place/?q=place_id:ChIJnR_QUNlKsTsRlVU-01kzWkE,part_351,2026-09-20 20:25:48
The Diivine Opticians,Optical Store and Eyewear,Optician,"Optician, Cleaning products supplier, Contact lenses supplier, Doctor, Eye care center, Optometrist, Sunglasses store",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 98971 04882,http://www.fb.com/thediivine.opticians,4.9,170,"Shop no. 5, Mansarover Complex, Delhi Rd, opposite to Mansarover Paradise Hotel, Hydel Colony, Mansarover Colony, Line Par, Moradabad, Uttar Pradesh 244001","Hydel Colony, Mansarover Colony, Line Par",28.836912299999998,78.75233709999999,ChIJO9Kkufb7CjkRia_k5TNEiYg,https://www.google.com/maps/place/?q=place_id:ChIJO9Kkufb7CjkRia_k5TNEiYg,part_351,2026-09-20 20:25:48
Lensfarm,Optical Store and Eyewear,Optician,"Optician, Eye care center, Sunglasses store",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 70082 01796,https://lensfarm.com/,4.9,121,"New, bus stand road, near Prime mart, Gunupur, Odisha 765022",764062,19.071510099999998,83.81156229999999,ChIJk-GJoziXPDoRqJ8Qfb2k-CU,https://www.google.com/maps/place/?q=place_id:ChIJk-GJoziXPDoRqJ8Qfb2k-CU,part_351,2026-09-20 20:25:48
NICE OPTICALS CENTRE,Optical Store and Eyewear,Optician,Optician,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 98976 76442,N/A,4.9,112,"Rafi house, Galshaheed Rd, Chhajlet, Moradabad, Uttar Pradesh 244001",Chhajlet,28.831016899999998,78.78119629999999,ChIJ6dQ4HLj7CjkR1PNauQCNTCE,https://www.google.com/maps/place/?q=place_id:ChIJ6dQ4HLj7CjkR1PNauQCNTCE,part_351,2026-09-20 20:25:48
Eye vision optical & Eye clinic,Optical Store and Eyewear,Optician,Optician,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 94901 15987,N/A,4.9,70,"Kokapet Gram panchayat office, NEAR, opposite India one atm, Kokapet, Telangana 500075",Kokapet,17.3953526,78.33473099999999,ChIJpdzsx5mVyzsRCldf7gMq0Nc,https://www.google.com/maps/place/?q=place_id:ChIJpdzsx5mVyzsRCldf7gMq0Nc,part_351,2026-09-20 20:25:48
Sanjeev Optical Centre | Ray-Ban Store in Moradabad | zeiss lens | essilor lenses | Sunglasses Shop,Optical Store and Eyewear,Optician,Optician,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 94124 54940,https://www.facebook.com/Sanjeev-Optical-Center-352232351881060/,3.9,56,"Chowk Tari Khana, Moradabad, Uttar Pradesh 244001",Pat Pat Sarai,28.8374974,78.76876539999999,ChIJQVh8y8P7CjkRwfxwr5fISm8,https://www.google.com/maps/place/?q=place_id:ChIJQVh8y8P7CjkRwfxwr5fISm8,part_351,2026-09-20 20:25:48
Deepak Opticals,Optical Store and Eyewear,Optician,Optician,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 99171 86600,https://www.deepakopticals.com/,5.0,71,"Chauraha Gali, opposite Durga Mandir, near Dr Vivek Goyal, Gurhatti, Pat Pat Sarai, Moradabad, Uttar Pradesh 244001","Gurhatti, Pat Pat Sarai",28.8394372,78.77141929999999,ChIJ49EsTFf7CjkR8ZuYCdawHms,https://www.google.com/maps/place/?q=place_id:ChIJ49EsTFf7CjkR8ZuYCdawHms,part_351,2026-09-20 20:25:48
Star Opticals Kattakada,Optical Store and Eyewear,Eye care center,Eye care center,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 81389 71514,N/A,5.0,7,"opp. mamal hospital, Kattakkada, Keralam 695572",764062,8.507173,77.0879521,ChIJoxT-pBSxBTsRgV0NbhFbWxU,https://www.google.com/maps/place/?q=place_id:ChIJoxT-pBSxBTsRgV0NbhFbWxU,part_351,2026-09-20 20:25:48
Lenskart.com at Rayagada,Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist, Repair service, Sunglasses store",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 84479 27671,https://www.lenskart.com/stores/lenskart-com-Rayagada-Mouza-Kapilash-Road-Rayagada-747553/Home,4.9,2129,"Ground Floor, Khata No 1393, Plot No 393/1678 Mobi World Back Side, Mouza, Kapilas Rd, opposite Kapilash Hotel, Rayagada, Odisha 765001",New Colony,19.1690974,83.41212929999999,ChIJa-BK8ANFOzoRoB8ao85V4bw,https://www.google.com/maps/place/?q=place_id:ChIJa-BK8ANFOzoRoB8ao85V4bw,part_351,2026-09-20 20:25:48
A plus opticals,Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 93904 56010,N/A,5.0,41,"Seven Roads Cir, beside khan cycle mart, Maria Puram, Kadapa, Andhra Pradesh 516003","Maria Puram, Kadapa",14.476511599999998,78.8241651,ChIJt4vo7ytzszsRUUNUW7P2zsg,https://www.google.com/maps/place/?q=place_id:ChIJt4vo7ytzszsRUUNUW7P2zsg,part_351,2026-09-20 20:25:49
श्री DAYAL OPTICAL,Optical Store and Eyewear,Optician,Optician,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 91931 29736,N/A,5.0,114,"DHAWAN BUILDING, near DHINGRA TRADERS, opposite JIO OFFICE, Civil Lines, Moradabad, Uttar Pradesh 244001",Civil Lines,28.839088399999998,78.7700632,ChIJ7WCgO937CjkROyPjOKsixzA,https://www.google.com/maps/place/?q=place_id:ChIJ7WCgO937CjkROyPjOKsixzA,part_351,2026-09-20 20:25:49
HKGN OPTIC CARE,Optical Store and Eyewear,Optician,"Optician, Eye care center, Optical Wholesaler",764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 79817 07971,N/A,5.0,828,"2/500, Maria Puram, Nagarajupeta, Kadapa, Andhra Pradesh 516001","Maria Puram, Nagarajupeta",14.470053499999999,78.8233085,ChIJ_8Og4xByszsRwMZmarTFY4c,https://www.google.com/maps/place/?q=place_id:ChIJ_8Og4xByszsRwMZmarTFY4c,part_351,2026-09-20 20:25:49
