business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Prakash Automobile,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",N/A,N/A,4.2,,"59WM+W3F, Takarla, Muding, Odisha 766102",764062,20.1973093,83.3826826,ChIJh1HRFAmJJDoRnJ5npimrI9o,https://www.google.com/maps/place/?q=place_id:ChIJh1HRFAmJJDoRnJ5npimrI9o,part_351,2026-09-20 20:25:53
Sahid garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 94391 64621,N/A,5.0,,"W544+9VC, Pradeshipara, Sambhunagar Pada, Bhawanipatna, Odisha 766001","Pradeshipara, Sambhunagar Pada",19.9059339,83.1571295,ChIJr690aADpJDoRak4s7i3KPxQ,https://www.google.com/maps/place/?q=place_id:ChIJr690aADpJDoRak4s7i3KPxQ,part_351,2026-09-20 20:25:53
Buti daa ଗ୍ୟାରେଜ,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",N/A,N/A,5.0,,"W568+V2J, Naktiguda, Bhawanipatna, Odisha 766001",Naktiguda,19.9120948,83.1650082,ChIJ89QVLwDrJDoRO7ueleV6oUA,https://www.google.com/maps/place/?q=place_id:ChIJ89QVLwDrJDoRO7ueleV6oUA,part_351,2026-09-20 20:25:53
Sriya auto spare,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",N/A,N/A,5.0,,"5WV9+GVQ, Mini Stadium Rd, Balliguda, Bandapanga, Odisha 762103",764062,20.1938365,83.91973879999999,ChIJHYMEbOJ1IzoR7yukSyTW0Ks,https://www.google.com/maps/place/?q=place_id:ChIJHYMEbOJ1IzoR7yukSyTW0Ks,part_351,2026-09-20 20:25:53
Raj Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",N/A,N/A,5.0,,"5W58+3XG, Road, Kendumundi, Ganjiapara, Odisha 766036",764062,20.1576992,82.9174481,ChIJv_-VXQD_JDoRZLwjXzrK2TU,https://www.google.com/maps/place/?q=place_id:ChIJv_-VXQD_JDoRZLwjXzrK2TU,part_351,2026-09-20 20:25:53
ROHIT GARAGE,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",N/A,N/A,5.0,,"Road, Tikarpada, Naniuti, Odisha 765021",764062,19.9372328,83.5024492,ChIJ2VG49Z2bJDoR1FOBB5CfBRE,https://www.google.com/maps/place/?q=place_id:ChIJ2VG49Z2bJDoR1FOBB5CfBRE,part_351,2026-09-20 20:25:53
BikeDost - Zainab Motors,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 80933 95876,https://www.bikedost.co.in/,5.0,,"W58H+G2P, Lane Number 7, in front of Pradhan's Mariage Palace, West, Hilltown, Ramnagar Para, Bhawanipatna, Odisha 766001","West, Hilltown, Ramnagar Para",19.916347299999998,83.1775711,ChIJCzs6ZgDpJDoRr8NOMYkMSsE,https://www.google.com/maps/place/?q=place_id:ChIJCzs6ZgDpJDoRr8NOMYkMSsE,part_351,2026-09-20 20:25:53
Mahaveer Bike Point,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 82491 11127,N/A,4.0,,"MAHAVEER BIKE POINT, Balliguda, Lundrukheta, Odisha 762103",764062,20.1948741,83.9250273,ChIJoURrxjF1IzoRWQgLzD0q_mc,https://www.google.com/maps/place/?q=place_id:ChIJoURrxjF1IzoRWQgLzD0q_mc,part_351,2026-09-20 20:25:53
RAJA BIKE GARAGE,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 97779 44394,N/A,5.0,,"Shop No 33, Paburia, Odisha 762112",764062,20.1671087,84.2531017,ChIJUyOphlIBIzoR3SEyFgtSPtU,https://www.google.com/maps/place/?q=place_id:ChIJUyOphlIBIzoR3SEyFgtSPtU,part_351,2026-09-20 20:25:53
Biranchi Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O",+91 97779 38277,N/A,5.0,,"Ramnagar Para, Bhawanipatna, Odisha 766001",Ramnagar Para,19.9161562,83.1732528,ChIJ7WuoKoXtJDoResEhN1t24Ag,https://www.google.com/maps/place/?q=place_id:ChIJ7WuoKoXtJDoResEhN1t24Ag,part_351,2026-09-20 20:25:53
