business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shri Hari Milk Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 76978 66529,N/A,5.0,1.0,"near Gas Agency, Lakshamanpura, Khojipura, Madhya Pradesh 476337",764088,25.9359242,76.8583008,ChIJayPgVJa3cTkRqA6lR1vbLls,https://www.google.com/maps/place/?q=place_id:ChIJayPgVJa3cTkRqA6lR1vbLls,part_351,2026-09-20 20:36:06
Chirag Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 99029 97887,N/A,4.4,10.0,"9R2C+G53, Aland Rd, Devi Nagar, Manikeshwari Colony, Kalaburagi, Karnataka 585101","Devi Nagar, Manikeshwari Colony",17.351251899999998,76.82043449999999,ChIJCyCFy564yDsRb95fzYNzBEk,https://www.google.com/maps/place/?q=place_id:ChIJCyCFy564yDsRb95fzYNzBEk,part_351,2026-09-20 20:36:06
Nandini Milk Booth,Dairy and Milk Parlour,Dairy store,Dairy store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",N/A,N/A,4.3,36.0,"2nd Main Rd, HIG, Sriramapura 2nd Stage, Sriramapura, Mysuru, Karnataka 570034","HIG, Sriramapura 2nd Stage, Sriramapura",12.2707109,76.6233864,ChIJD0nXZEFlrzsRYU_W6pVuyZo,https://www.google.com/maps/place/?q=place_id:ChIJD0nXZEFlrzsRYU_W6pVuyZo,part_351,2026-09-20 20:36:06
Paavani dairy farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",N/A,N/A,5.0,5.0,"XH8P+GH9, Metikere, Karnataka 573124",764088,12.9651731,76.58687019999999,ChIJ_Y3WTQDxrzsRKDKzyCz_NDo,https://www.google.com/maps/place/?q=place_id:ChIJ_Y3WTQDxrzsRKDKzyCz_NDo,part_351,2026-09-20 20:36:06
Gubbi Dairy Farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 81970 50221,N/A,4.5,10.0,"Kapnoor, Kalaburagi, Karnataka 585104",Kapnoor,17.3772669,76.85284879999999,ChIJy3KH5sPHyDsR_GbToWtKFbE,https://www.google.com/maps/place/?q=place_id:ChIJy3KH5sPHyDsR_GbToWtKFbE,part_351,2026-09-20 20:36:06
Chamunda Dairy,Dairy and Milk Parlour,Dairy Products Supplier,Dairy Products Supplier,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 6355 432 350,N/A,4.5,33.0,"Opp. Sonal Park, Hirawadi Rd, Saijpur Bogha, Ahmedabad, Gujarat 382345","Bhavani Park Society Part 2, Hirawadi, Saijpur Bogha",23.0482953,72.6358971,ChIJW_12tb-GXjkR9mCu--3sl-Y,https://www.google.com/maps/place/?q=place_id:ChIJW_12tb-GXjkR9mCu--3sl-Y,part_351,2026-09-20 20:36:06
ShriKrishna Dairy,Dairy and Milk Parlour,Dairy farm,Dairy farm,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 70130 00845,N/A,4.8,43.0,"beside atamakur kalava, Mangalagiri, Atmakur, Andhra Pradesh 522302",764088,16.4250209,80.5889145,ChIJNXWz7tzxNToRmZoIx7wlvqI,https://www.google.com/maps/place/?q=place_id:ChIJNXWz7tzxNToRmZoIx7wlvqI,part_351,2026-09-20 20:36:06
Sri Kamadhenu Milk Center,Dairy and Milk Parlour,Dairy store,Dairy store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 79891 19279,N/A,5.0,1.0,"near Shushma Theater, opp. Seasons Swimming Pool, Vanasthalipuram, Hyderabad, Telangana 500070",764088,17.334419999999998,78.5737152,ChIJB1RUm_uhyzsRkrUzW8CclWI,https://www.google.com/maps/place/?q=place_id:ChIJB1RUm_uhyzsRkrUzW8CclWI,part_351,2026-09-20 20:36:06
FarmTaste,Dairy and Milk Parlour,Milk delivery service,"Milk delivery service, Dairy, Farm shop",764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 82963 24333,https://farmtaste.in/,4.6,48.0,"11th Main Rd, Varanasi, Bengaluru, Karnataka 560016",Varanasi,13.0298938,77.6800731,ChIJX4iZEn0RrjsRopF97raRal4,https://www.google.com/maps/place/?q=place_id:ChIJX4iZEn0RrjsRopF97raRal4,part_351,2026-09-20 20:36:07
Truly Desi,Dairy and Milk Parlour,Dairy Products Supplier,"Dairy Products Supplier, Dairy, Dairy farm, Milk delivery service, Organic farm",764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 98810 09622,https://www.trulydesi.in/,4.5,111.0,"501, Abhipreet Residency near Krushna medical, Pancard Club Rd, 411045, Baner, Pune, Maharashtra 411069",Baner,18.558621199999997,73.7751945,ChIJk5JYXTa5wjsR79x87uJd9EU,https://www.google.com/maps/place/?q=place_id:ChIJk5JYXTa5wjsR79x87uJd9EU,part_351,2026-09-20 20:36:07
