business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Purana Keut,Shops,Bicycle Shop,Bicycle Shop,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 62643 07718,N/A,5.0,1.0,"Purana Keut Kanadihi, Kundei, Nabarangapur, Odisha 764088",764088,20.049123899999998,81.8995568,ChIJO4yum8aZLzoR6RJH37DL2L0,https://www.google.com/maps/place/?q=place_id:ChIJO4yum8aZLzoR6RJH37DL2L0,part_351,2026-09-20 20:36:48
2N2N MOBILES & ELECTRONICS,Shops,Store,Store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",N/A,N/A,4.3,11.0,"Hatabharandi, Odisha 764088",764088,20.0238302,81.9239939,ChIJ80LpD9GZLzoRANGljQvm5EY,https://www.google.com/maps/place/?q=place_id:ChIJ80LpD9GZLzoRANGljQvm5EY,part_351,2026-09-20 20:36:48
Sanoj Biswas,Shops,Clothing store,Clothing store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",N/A,N/A,,,"2XPJ+886, Kandachuan, Odisha 764088",764088,20.035785999999998,81.9807529,ChIJg0xfXQCbLzoRH3FUl223OqQ,https://www.google.com/maps/place/?q=place_id:ChIJg0xfXQCbLzoRH3FUl223OqQ,part_351,2026-09-20 20:36:48
RADESAYM KUNJAM,Shops,General store,General store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 96926 87117,N/A,4.5,2.0,"Keradihi, Odisha 764088",764088,20.0111727,81.9720181,ChIJoQqZgbGbLzoRmYDKluDaIhs,https://www.google.com/maps/place/?q=place_id:ChIJoQqZgbGbLzoRmYDKluDaIhs,part_351,2026-09-20 20:36:48
DJ BHARAT,Shops,Electronics store,Electronics store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 99370 18823,N/A,3.4,5.0,"Hatabharandi, Odisha 764088",764088,20.0234865,81.9237303,ChIJdZfa4haZLzoRU2ppgdz_GfQ,https://www.google.com/maps/place/?q=place_id:ChIJdZfa4haZLzoRU2ppgdz_GfQ,part_351,2026-09-20 20:36:48
Sanoj Kirana Stor ️,Shops,Store,"Store, Clothing store",764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",N/A,https://www.facebook.com/sanoj.biswas.121,4.4,,"Pourbella 2, Raighar, Pourbel, Odisha 764088",Pourbella 2,19.8822589,81.9371467,ChIJv902ejqXLzoRAF0DJCIAvSo,https://www.google.com/maps/place/?q=place_id:ChIJv902ejqXLzoRAF0DJCIAvSo,part_351,2026-09-20 20:36:49
anil patra foot wear.,Shops,Store,Store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",N/A,N/A,4.1,,"WXXQ+Q63, Jodinga, Odisha 764088",764088,19.949396699999998,81.9880592,ChIJo_5EG8KRLzoRGCPFOckEaM4,https://www.google.com/maps/place/?q=place_id:ChIJo_5EG8KRLzoRGCPFOckEaM4,part_351,2026-09-20 20:36:49
Rahulrajmandal,Shops,Boutique,Boutique,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 70774 04844,N/A,4.0,,"Rahul Raj Mandal, Jodjanga, Odisha 764088",764088,19.918942299999998,81.9014668,ChIJqS5V9n-XLzoR35rs4O-dxPU,https://www.google.com/maps/place/?q=place_id:ChIJqS5V9n-XLzoR35rs4O-dxPU,part_351,2026-09-20 20:36:49
Sourav Gourav Fancy Store,Shops,General store,General store,764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",N/A,N/A,,,"WX84+93, Daspur, Odisha 764088",764088,19.9159631,81.9551625,ChIJ0Z5yBgCRLzoRSU1slnSgtW0,https://www.google.com/maps/place/?q=place_id:ChIJ0Z5yBgCRLzoRSU1slnSgtW0,part_351,2026-09-20 20:36:50
LEEPOOJEE GENERAL STORE,Shops,Indian grocery store,"Indian grocery store, Bakery and Cake Shop, General store, Ice cream shop, Pizza restaurant, Variety store",764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O",+91 63724 05819,N/A,4.6,17.0,"Panchayat Office, Plot No.871,Khata No.550,Mahaveer Chakka At-Narada,Po-Turintira,Via-Balipatna,Bhubaneswar, Nimapara Road, near Turintira, Odisha 752102",764088,20.1490708,85.9721723,ChIJ69JAecSZGToRdkQEv_kPHFI,https://www.google.com/maps/place/?q=place_id:ChIJ69JAecSZGToRdkQEv_kPHFI,part_351,2026-09-20 20:36:50
