business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Rayagada Bus Agency, Rayagada",Bus Booking Agency,Bus ticket agency,Bus ticket agency,765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",N/A,N/A,3.0,9.0,"5C94+7RM, NH 326, Rama Krishna Nagar, Rayagada, Odisha 765001",Rama Krishna Nagar,19.1682044,83.40703769999999,ChIJQc-94KZEOzoRM73R88t04Zw,https://www.google.com/maps/place/?q=place_id:ChIJQc-94KZEOzoRM73R88t04Zw,part_351,2026-09-20 20:37:06
PANIGRAHI TRAVELS,Bus Booking Agency,Travel agency,Travel agency,765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",N/A,N/A,5.0,4.0,"Kasturi Nagar 1st Ln, Line, Kasturi Nagar, Rayagada, Odisha 765001","Line, Kasturi Nagar",19.1787878,83.4171234,ChIJX2J6sw5FOzoRK__TtcaDeLs,https://www.google.com/maps/place/?q=place_id:ChIJX2J6sw5FOzoRK__TtcaDeLs,part_351,2026-09-20 20:37:06
Sabitri Travels,Bus Booking Agency,Taxi service,Taxi service,765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",+91 72056 58414,https://www.instagram.com/sabitri.travels?igsh=MWc4eDV6MWhxdmwxMg==,5.0,51.0,"5th Ln, Kasturi Nagar, Rayagada, Odisha 765001",Kasturi Nagar,19.1750163,83.42096529999999,ChIJKbT3_lhFOzoRUd8jlkb92n4,https://www.google.com/maps/place/?q=place_id:ChIJKbT3_lhFOzoRUd8jlkb92n4,part_351,2026-09-20 20:37:06
Jay Jagannath Travels,Bus Booking Agency,Travel agency,"Travel agency, Leasing service, Taxi service",765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",+91 70082 11164,N/A,5.0,1.0,"Convent Rd, Gautam Nagar, Raniguda Farm, Rayagada, Odisha 765001","Gautam Nagar, Raniguda Farm",19.1680489,83.4198406,ChIJz4Fb1MdFOzoRQ2IjkwGZbAc,https://www.google.com/maps/place/?q=place_id:ChIJz4Fb1MdFOzoRQ2IjkwGZbAc,part_351,2026-09-20 20:37:06
Rayagada Bus Stand,Bus Booking Agency,Bus depot,Bus depot,765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",N/A,N/A,3.7,544.0,"5C94+7V2, Rama Krishna Nagar, Rayagada, Odisha 765001",Rama Krishna Nagar,19.1681411,83.40714129999999,ChIJTQEyzcdFOzoRaVyoZgVyRvQ,https://www.google.com/maps/place/?q=place_id:ChIJTQEyzcdFOzoRaVyoZgVyRvQ,part_351,2026-09-20 20:37:06
Online Service,Bus Booking Agency,Travel agency,Travel agency,765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",N/A,N/A,5.0,14.0,"5th Ln, Gautam Nagar, Raniguda Farm, Rayagada, Odisha 765001","Gautam Nagar, Raniguda Farm",19.1583187,83.4206916,ChIJfd5pqGFDOzoRZwpx1Kx9K5k,https://www.google.com/maps/place/?q=place_id:ChIJfd5pqGFDOzoRZwpx1Kx9K5k,part_351,2026-09-20 20:37:06
RK TRAVEL,Bus Booking Agency,Tour agency,Tour agency,765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",+91 88274 30185,http://rayagadacarrent.com/,,,"Raniguda Farm, Rayagada, Odisha 765001",Raniguda Farm,19.1714391,83.4117261,ChIJw2_xGZJFOzoRwt6fNIJpivU,https://www.google.com/maps/place/?q=place_id:ChIJw2_xGZJFOzoRwt6fNIJpivU,part_351,2026-09-20 20:37:06
Jhankar Info System,Bus Booking Agency,Travel agency,Travel agency,765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",N/A,N/A,3.0,2.0,"New Colony 4th Ln, Panchabati Nagar, New Colony, Rayagada, Odisha 765001","Panchabati Nagar, New Colony",19.1688154,83.41566259999999,ChIJm6nwrupFOzoRikViqAxkAtU,https://www.google.com/maps/place/?q=place_id:ChIJm6nwrupFOzoRikViqAxkAtU,part_351,2026-09-20 20:37:06
"M/s SAI KIRAN HP GAS AGENCY, RAYAGADA",Bus Booking Agency,Gas Agency,Gas Agency,765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",N/A,N/A,4.0,21.0,"Maharishi Vidya Mandir, Near Govt. ITI College, Backside of, School, Rayagada, Odisha 765001",Gayatri Nagar,19.1755447,83.4251637,ChIJ28FzGdRbOzoRcsZHfkP8Oyc,https://www.google.com/maps/place/?q=place_id:ChIJ28FzGdRbOzoRcsZHfkP8Oyc,part_351,2026-09-20 20:37:06
Binayak Online service,Bus Booking Agency,Railway Ticket Agent,"Railway Ticket Agent, Service establishment",765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O",N/A,N/A,,,"Binayak Online service, 765001, India",765001,19.174982399999998,83.409319,ChIJDyqGhgOxW4YRngHSDutqHH4,https://www.google.com/maps/place/?q=place_id:ChIJDyqGhgOxW4YRngHSDutqHH4,part_351,2026-09-20 20:37:06
