business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KALYAAN PHARMA & DIAGNOSTIC,Diagnostic Center,Diagnostic center,Diagnostic center,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 79786 13112,N/A,5.0,,"NH 26, Main road, Utkela, Odisha 766011",766011,20.1050214,83.1756505,ChIJcQWYAxn1JDoRueok12pCZjg,https://www.google.com/maps/place/?q=place_id:ChIJcQWYAxn1JDoRueok12pCZjg,part_352,2026-09-20 20:18:10,1682
Acharya Tulsi Diagnostic Centre,Diagnostic Center,Hospital,Hospital,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 6670 222 088,N/A,5.0,,"56Q9+8JG, Kesinga, Odisha 766012",766011,20.188319,83.2190853,ChIJte4K-G_1JDoRtNjwm7_qs_o,https://www.google.com/maps/place/?q=place_id:ChIJte4K-G_1JDoRtNjwm7_qs_o,part_352,2026-09-20 20:18:10,1683
ADITYA HEALTHCARE & DIAGNOSTICS KESINGA,Diagnostic Center,Diagnostic center,Diagnostic center,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 78736 15932,N/A,1.0,,"56Q9+8W3, Bhawanipatna - Balangir Hwy, Kesinga, Odisha 766012",766011,20.188273,83.21979379999999,ChIJxehN9W_1JDoRLEZoR6udJZo,https://www.google.com/maps/place/?q=place_id:ChIJxehN9W_1JDoRLEZoR6udJZo,part_352,2026-09-20 20:18:10,1684
"Thyrocare Blood Test Lab, Blood Test Centre - Kalahandi, Odisha",Diagnostic Center,Diagnostic center,Diagnostic center,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,https://www.thyrocare.com/,,,"Dhabaleswar Healthcare, Deypur, Dangriguda, Odisha 766002",Deypur,19.972383,83.2616875,ChIJwSMRn3CTJDoRNSEr-nVIORA,https://www.google.com/maps/place/?q=place_id:ChIJwSMRn3CTJDoRNSEr-nVIORA,part_352,2026-09-20 20:18:10,1685
Genix Path Labs & Diagnostic,Diagnostic Center,Diagnostic center,Diagnostic center,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 77499 33263,https://genixlabs.co.in/,4.9,,"Ground Floor, near Balaji Mandir, Radhakrishna Nagar, Naktiguda, Bhawanipatna, Odisha 766001","Radhakrishna Nagar, Naktiguda",19.906310899999998,83.1525348,ChIJP0m8AgDpJDoR-PxvRvxWrKY,https://www.google.com/maps/place/?q=place_id:ChIJP0m8AgDpJDoR-PxvRvxWrKY,part_352,2026-09-20 20:18:10,1686
Devansh Diagnostic centre,Diagnostic Center,Medical laboratory,Medical laboratory,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 95832 45456,N/A,5.0,,"W547+WFH, Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.9073106,83.1637315,ChIJ0dpmDFbpJDoRZRmDN5duokY,https://www.google.com/maps/place/?q=place_id:ChIJ0dpmDFbpJDoRZRmDN5duokY,part_352,2026-09-20 20:18:10,1687
REGIONAL DIAGNOSTIC CENTRE,Diagnostic Center,Pathologist,Pathologist,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.0,,"W526+PFG, Chanchara Para, Bhawanipatna, Odisha 766001",Chanchara Para,19.9018124,83.1611897,ChIJfQXi2N7pJDoRdbP1adXFEA8,https://www.google.com/maps/place/?q=place_id:ChIJfQXi2N7pJDoRdbP1adXFEA8,part_352,2026-09-20 20:18:10,1688
"THYROCARE AUTHORISED COLLECTION CENTRE, KESINGA",Diagnostic Center,Diagnostic center,Diagnostic center,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"56J7+HP3, Jagannath Para, Kesinga, Odisha 766012",Jagannath Para,20.1814012,83.2142667,ChIJHdRT26X1JDoRLuLXkBr1Sas,https://www.google.com/maps/place/?q=place_id:ChIJHdRT26X1JDoRLuLXkBr1Sas,part_352,2026-09-20 20:18:10,1689
"GenX Diagnostics, Bhawanipatna",Diagnostic Center,Diagnostic center,Diagnostic center,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,https://genxlive.in/,5.0,,"Dwaraka City Lane, Plot-170/3511, Road, above South station, Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.9074279,83.1641562,ChIJ40S-J7LpJDoR3jO6n9AIr5Y,https://www.google.com/maps/place/?q=place_id:ChIJ40S-J7LpJDoR3jO6n9AIr5Y,part_352,2026-09-20 20:18:10,1690
Pathkind Labs,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service, Medical laboratory",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 99383 28711,N/A,,,"Khata No 180/1088, Plot No 399/1659/3, near Jaganath Mandir, Kesinga, Odisha 766012",766011,20.1813066,83.2142922,ChIJ71-CMmX1JDoRpjh4Q27YQmA,https://www.google.com/maps/place/?q=place_id:ChIJ71-CMmX1JDoRpjh4Q27YQmA,part_352,2026-09-20 20:18:10,1691
"Thyrocare Diagnostic Lab | Blood Test Centre - Bhawanipatna, Odisha",Diagnostic Center,Laboratory,Laboratory,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94372 93575,N/A,3.0,,"Gandhi Chowk, near Pushpa Lodge, Mahavir Pada, Bazarpada, Bhawanipatna, Odisha 766001","Mahavir Pada, Bazarpada",19.9079056,83.1659999,ChIJhZbMzabrJDoRUlJgpZoLvx4,https://www.google.com/maps/place/?q=place_id:ChIJhZbMzabrJDoRUlJgpZoLvx4,part_352,2026-09-20 20:18:10,1692
