business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MAA PATTAKHANDA ALANKAR,Goldsmith and Jewellery Repair,Jewelry repair service,"Jewelry repair service, Goldsmith, Jewelry store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 63706 62570,N/A,5.0,1.0,"Bajar sahi, Neheru Chak, Balliguda, Odisha 762103",Neheru Chak,20.197183499999998,83.91376319999999,ChIJFcUblDB1IzoRyFblCfoZDK4,https://www.google.com/maps/place/?q=place_id:ChIJFcUblDB1IzoRyFblCfoZDK4,part_352,2026-09-20 20:18:05,1110
Deepak jewellers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94373 61199,N/A,3.5,2.0,"City school chowk, main road, Dharmagarh, Odisha 766015",766011,19.868013899999998,82.7824428,ChIJCcfIRQkZJToRQY65NnIjxRA,https://www.google.com/maps/place/?q=place_id:ChIJCcfIRQkZJToRQY65NnIjxRA,part_352,2026-09-20 20:18:05,1111
Santosh gold workshop,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"Mandar Bagicha Para Rd, Mandar Bagicha Para, Bhawanipatna, Odisha 766001",Mandar Bagicha Para,19.9074785,83.1729735,ChIJwy1c2jXrJDoRLHxt1ajuNC0,https://www.google.com/maps/place/?q=place_id:ChIJwy1c2jXrJDoRLHxt1ajuNC0,part_352,2026-09-20 20:18:05,1112
Jasmin Jewellers,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"railway station, Laxmisagar pada Bypass, Junagarh, Odisha 766014",766011,19.8671516,82.9402509,ChIJc2PGrEThJDoRfJwN8y7CkvE,https://www.google.com/maps/place/?q=place_id:ChIJc2PGrEThJDoRfJwN8y7CkvE,part_352,2026-09-20 20:18:05,1113
Gold making,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 82609 47310,N/A,,,"Moter - Temri Rd, Moter, Odisha 766017",766011,19.715193799999998,82.79465139999999,ChIJyeD7S6kjJToRtC3T2BNgiIw,https://www.google.com/maps/place/?q=place_id:ChIJyeD7S6kjJToRtC3T2BNgiIw,part_352,2026-09-20 20:18:05,1114
SRI SAI ALANKAR WORKSHOP,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70084 26964,N/A,,,"backside of Jagannath temple, Lakshmi Market, Balliguda, Odisha 762103",766011,20.197340699999998,83.9121641,ChIJt714SkF1IzoR-qtxpDCo7SY,https://www.google.com/maps/place/?q=place_id:ChIJt714SkF1IzoR-qtxpDCo7SY,part_352,2026-09-20 20:18:05,1115
VAIBHAV LAXMI JEWELLERY AND WORK SHOP,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,3.0,"Main Road, near Bus Stand, Muniguda, Odisha 765020",766011,19.6253095,83.4919405,ChIJixJJH5evJDoRVO5wQz7XfWI,https://www.google.com/maps/place/?q=place_id:ChIJixJJH5evJDoRVO5wQz7XfWI,part_352,2026-09-20 20:18:05,1116
Jami Bhimaraju & Brothers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 99370 21630,N/A,4.8,,"Big Bazar Rd, Triveni Nagar, Brahmapur, Odisha 760009",Triveni Nagar,19.3161328,84.7775992,ChIJ96uIrhxQPToRalpylshh3Vg,https://www.google.com/maps/place/?q=place_id:ChIJ96uIrhxQPToRalpylshh3Vg,part_352,2026-09-20 20:18:06,1117
Srima Jewellery Joradabra Khusiram Meher,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.3,,"7C4R+2CP, Terchapala, Odisha 766102",766011,20.2550782,83.4410801,ChIJWaIUbyB9JDoR3BQWDbud0zM,https://www.google.com/maps/place/?q=place_id:ChIJWaIUbyB9JDoR3BQWDbud0zM,part_352,2026-09-20 20:18:06,1118
Khimji Jewellers- Brahmapur,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Jewelry buyer, Jewelry repair service",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 78730 00102,http://www.khimjijewellers.com/,4.9,,"Venkatraj Arcade, Sano Bazar, Triveni Nagar, Brahmapur, Odisha 760002","Sano Bazar, Triveni Nagar",19.3157992,84.7802854,ChIJL3U3MxtQPToRujckaL9D3jU,https://www.google.com/maps/place/?q=place_id:ChIJL3U3MxtQPToRujckaL9D3jU,part_352,2026-09-20 20:18:06,1119
