business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Imfl.of.shop utkela,Boutiques,Shopping mall,Shopping mall,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,3.1,14.0,"35XC+WW2, NH 26, Utkela, Odisha 766011",766011,20.09975,83.1722661,ChIJQRLgD_nzJDoR8jnOZOkXbEI,https://www.google.com/maps/place/?q=place_id:ChIJQRLgD_nzJDoR8jnOZOkXbEI,part_352,2026-09-20 20:18:07
Shreya fancy store,Boutiques,Cosmetics store,Cosmetics store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"Banita complex, 553, near Panchayat samne, Nasigaon, Jamunabahal, Odisha 766011",766011,20.0046095,83.1983046,ChIJa4eoawDtJDoRscfsj_OEPsk,https://www.google.com/maps/place/?q=place_id:ChIJa4eoawDtJDoRscfsj_OEPsk,part_352,2026-09-20 20:18:07
BHIMSEN SINDUR OFFICIAL,Boutiques,Musician,Musician,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 97772 19998,https://youtube.com/channel/UCZf-hc38B3W7vtu5z1JdXww,4.3,32.0,"At Nasigaon Po Pastikudi, Bhawanipatna - Balangir Hwy, Bhawanipatna, Odisha 766011",766011,20.017811299999998,83.1777379,ChIJUUdnrKfzJDoRqtNOo9_2EtU,https://www.google.com/maps/place/?q=place_id:ChIJUUdnrKfzJDoRqtNOo9_2EtU,part_352,2026-09-20 20:18:07
Sri Krishna mobile Pastikudi,Boutiques,Cell phone store,Cell phone store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.6,13.0,"Pasti Kudi, Odisha 766011",766011,20.017481099999998,83.178305,ChIJ-07QPjbzJDoRKDdHh5SSzdI,https://www.google.com/maps/place/?q=place_id:ChIJ-07QPjbzJDoRKDdHh5SSzdI,part_352,2026-09-20 20:18:07
Krishna Dailyneeds,Boutiques,Store,Store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 97775 32298,N/A,4.6,8.0,"35FF+PGP, Chancher, Makhapala, Odisha 766011",766011,20.0743355,83.17383079999999,ChIJWZtcmtzzJDoRSxgH7rfKtAI,https://www.google.com/maps/place/?q=place_id:ChIJWZtcmtzzJDoRSxgH7rfKtAI,part_352,2026-09-20 20:18:07
AKASH MOBILE CARE PASTIKUDI,Boutiques,Electronics store,Electronics store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 99379 98354,http://wapking.in/,4.7,19.0,"258H+VG7, Bhawanipatna By-Pass Rd, Pasti Kudi, Odisha 766011",766011,20.0171745,83.17880319999999,ChIJeZOXAQ_yJDoRa-kJ3gZdTlg,https://www.google.com/maps/place/?q=place_id:ChIJeZOXAQ_yJDoRa-kJ3gZdTlg,part_352,2026-09-20 20:18:07
KUBER COMPLEX,Boutiques,Shopping mall,Shopping mall,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 95832 48814,N/A,5.0,3.0,"259H+G35, Pasti Kudi, Odisha 766011",766011,20.018762,83.1777449,ChIJqwRdFRnzJDoRxmlGgrHcI7Q,https://www.google.com/maps/place/?q=place_id:ChIJqwRdFRnzJDoRxmlGgrHcI7Q,part_352,2026-09-20 20:18:07
"THE SECRET FANCY , PASTIKUDI.",Boutiques,Shopping mall,Shopping mall,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.6,,"258H+V84, Pasti Kudi, Odisha 766011",766011,20.017146,83.17833,ChIJP2Ku4g7yJDoRLao3Hft5HHI,https://www.google.com/maps/place/?q=place_id:ChIJP2Ku4g7yJDoRLao3Hft5HHI,part_352,2026-09-20 20:18:08
Ps Mobile Accessories,Boutiques,Electronics store,Electronics store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.8,,"45VR+2Q3, Kikia, Dendoguda, Odisha 766012",766011,20.1425096,83.1919308,ChIJH-cV7qb1JDoRPzXjx3ZPo4M,https://www.google.com/maps/place/?q=place_id:ChIJH-cV7qb1JDoRPzXjx3ZPo4M,part_352,2026-09-20 20:18:08
CHANDAN BOOKS & STATIONERY,Boutiques,Book store,Book store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,17.0,"NH 26, Utkela, Odisha 766011",766011,20.1024566,83.17473679999999,ChIJVd6THgDzJDoRHiOCA3As07g,https://www.google.com/maps/place/?q=place_id:ChIJVd6THgDzJDoRHiOCA3As07g,part_352,2026-09-20 20:18:09
