business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JANKI LADIES TAILOR,Tailor and Fashion Designer,Tailor,Tailor,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 99742 13140,N/A,4.8,,"FF 6, Vandemataram Icon, Opp. Dev Residency Vandematram Cross Road, New SG Rd, Ahmedabad, Gujarat 382481",Gota,23.0972743,72.5476961,ChIJM-l7cJqDXjkRum3mJym1HxE,https://www.google.com/maps/place/?q=place_id:ChIJM-l7cJqDXjkRum3mJym1HxE,part_352,2026-09-20 20:25:27
Designer Friend - Bespoke Suits for Men and Women,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Designer Clothing Store, Custom tailor",766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 97382 05038,N/A,4.8,39.0,"Tawakkal Chancery, 11 A, Dodda Banaswadi Main Rd, opp. itc ltd, D Costa Layout, Cooke Town, Bengaluru, Karnataka 560005","D Costa Layout, Cooke Town",13.0002892,77.6257263,ChIJ_ZuM0OgWrjsR5qr0TsvsRnU,https://www.google.com/maps/place/?q=place_id:ChIJ_ZuM0OgWrjsR5qr0TsvsRnU,part_352,2026-09-20 20:25:28
Designer Tailor,Tailor and Fashion Designer,Tailor,Tailor,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 98920 20955,http://www.designertailor.co.in/,4.8,127.0,"SHANKHESHWAR building, 126, VP Rd, opposite v p road police station, near C P tank, Charni Road East, Khetwadi, Girgaon, Mumbai, Maharashtra 400004","Charni Road East, Khetwadi, Girgaon",18.9562114,72.8235995,ChIJ3fFcLxfO5zsRdQwuUNBXaco,https://www.google.com/maps/place/?q=place_id:ChIJ3fFcLxfO5zsRdQwuUNBXaco,part_352,2026-09-20 20:25:28
Nandan Designers,Tailor and Fashion Designer,Tailor,Tailor,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 85230 15222,N/A,4.1,88.0,"opposite:Canara Bank, Tilak Rd, Srinivas Nagar, Gandhipuram, Rajamahendravaram, Andhra Pradesh 533103","Srinivas Nagar, Gandhipuram",17.0066651,81.7948004,ChIJt-POS1qjNzoRsbag7R8T7kM,https://www.google.com/maps/place/?q=place_id:ChIJt-POS1qjNzoRsbag7R8T7kM,part_352,2026-09-20 20:25:28
ROYYD,Tailor and Fashion Designer,Tailor,Tailor,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 76888 88825,http://royyd.com/,4.9,367.0,"Pratap plaza, B-10, Tonk Rd, Sanganer, Sector 5, Pratap Nagar, Jaipur, Rajasthan 302033","Sanganer, Sector 5, Pratap Nagar",26.8022906,75.8089741,ChIJvRgbOmTJbTkRh9tE_CtcT8c,https://www.google.com/maps/place/?q=place_id:ChIJvRgbOmTJbTkRh9tE_CtcT8c,part_352,2026-09-20 20:25:28
Divine Boutique - Holly Designer. & Institute of Fashion Designing and Tailoring,Tailor and Fashion Designer,Boutique,"Boutique, Training center",766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 70051 60364,N/A,5.0,5.0,"Central Jail Junction, near Airtel office, 4th Mile, Dimapur, Nagaland 797115",4th Mile,25.8629794,93.76955559999999,ChIJx6fvgJkJRjcRYWjyFm7ticY,https://www.google.com/maps/place/?q=place_id:ChIJx6fvgJkJRjcRYWjyFm7ticY,part_352,2026-09-20 20:25:28
Best one tailoring,Tailor and Fashion Designer,Tailor,Tailor,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 88910 98542,N/A,5.0,14.0,"Chamakala, Chenthrapini, Keralam 680687",Chamakala,10.3525355,76.1196409,ChIJ3x0L0ij1pzsRUtOtR_tBKKM,https://www.google.com/maps/place/?q=place_id:ChIJ3x0L0ij1pzsRUtOtR_tBKKM,part_352,2026-09-20 20:25:28
MILLION DEZIGN BOUTIQUE & READYMADES,Tailor and Fashion Designer,Tailor,Tailor,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 73476 60112,N/A,4.7,17.0,"270-b, Phase 3B-1, JANTA MARKET, Sahibzada Ajit Singh Nagar, Punjab 160059","Phase 3B-1, JANTA MARKET",30.7138252,76.72535599999999,ChIJdSKib0vvDzkRFz0Nsp_W0AQ,https://www.google.com/maps/place/?q=place_id:ChIJdSKib0vvDzkRFz0Nsp_W0AQ,part_352,2026-09-20 20:25:28
New Libas Textiles ( Raymond ),Tailor and Fashion Designer,Fashion designer,"Fashion designer, Fabric store, Designer Clothing Store, Gents Tailor, Tailor",766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 97725 77672,N/A,4.7,46.0,"New Sanganer Rd, near chordiya petrol pump, Asind Nagar, Sanganer, Jaipur, Rajasthan 302029","Asind Nagar, Sanganer",26.8195302,75.7817709,ChIJ5ZcMvHXKbTkR7Q2iQrktE1U,https://www.google.com/maps/place/?q=place_id:ChIJ5ZcMvHXKbTkR7Q2iQrktE1U,part_352,2026-09-20 20:25:28
Sringar Ladies Tailor,Tailor and Fashion Designer,Tailor,"Tailor, Clothing alteration service",766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 97761 72385,N/A,4.2,19.0,"B25, near Ruchika Nursing Home, Ruchika Market, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Ruchika Market, Baramunda Housing Board Colony, Baramunda",20.277048999999998,85.793976,ChIJQ4cAD4mnGToRFBVm-VC8y4U,https://www.google.com/maps/place/?q=place_id:ChIJQ4cAD4mnGToRFBVm-VC8y4U,part_352,2026-09-20 20:25:28
