business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
My Guru Tuition Centre,Tuition Center,Studying center,Studying center,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 95445 36842,N/A,5.0,,"Vivek Commercial Complex, Mele Chovva Rd, Melechowa South, Keralam 670006",Melechowa South,11.8711,75.3957533,ChIJw0d0lS89pDsRnk-5ykf6L40,https://www.google.com/maps/place/?q=place_id:ChIJw0d0lS89pDsRnk-5ykf6L40,part_352,2026-09-20 20:25:48
"Remedial Coaching Center , Kendumundi",Tuition Center,Coaching Center,Coaching Center,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",N/A,N/A,,,"8WWF+6XQ, Road, Kendumundi, Kanarpas, Odisha 766026",766026,19.3455996,82.9249914,ChIJ5y_KbgArOzoRpGa5KDsN5xQ,https://www.google.com/maps/place/?q=place_id:ChIJ5y_KbgArOzoRpGa5KDsN5xQ,part_352,2026-09-20 20:25:48
Tutor me Up(Tuition Centre),Tuition Center,Education center,Education center,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 76961 29440,N/A,5.0,14.0,"94, Sector - 99, Sahibzada Ajit Singh Nagar, Punjab 140306",Sector - 99,30.6579268,76.68899549999999,ChIJbysqsM_vDzkRHioXMNim2XE,https://www.google.com/maps/place/?q=place_id:ChIJbysqsM_vDzkRHioXMNim2XE,part_352,2026-09-20 20:25:49
Tution Centre,Tuition Center,Education center,Education center,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",N/A,N/A,4.0,1.0,"Diwana, Haryana 136128",766026,30.0605494,76.4651951,ChIJeeXrZF8pDjkRiVzf7kNjbRw,https://www.google.com/maps/place/?q=place_id:ChIJeeXrZF8pDjkRiVzf7kNjbRw,part_352,2026-09-20 20:25:49
SUDHIR CLASSES HABSIGUDA,Tuition Center,Education center,Education center,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",N/A,N/A,4.9,41.0,"CG6W+X3P, Street No. 8, Ravindra Nagar, Habsiguda, Hyderabad, Telangana 500007","Ravindra Nagar, Habsiguda",17.412456799999998,78.5452043,ChIJK29tRgCZyzsRDJeOm6_-aS0,https://www.google.com/maps/place/?q=place_id:ChIJK29tRgCZyzsRDJeOm6_-aS0,part_352,2026-09-20 20:25:49
DPAY HOME TUITION SERVICES,Tuition Center,Private Tutor,Private Tutor,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 95181 36577,https://wa.me/p/7392959844144039/919518136577,4.9,188.0,"131 Kayasthan Mohalla, near Bada Bazar, Rohtak, Haryana 124001",Pahara Mohalla,28.902220999999997,76.57634709999999,ChIJ2xjs7GSFDTkRDLvFRlCq3o0,https://www.google.com/maps/place/?q=place_id:ChIJ2xjs7GSFDTkRDLvFRlCq3o0,part_352,2026-09-20 20:25:49
Tuition centre,Tuition Center,Education center,Education center,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",N/A,N/A,5.0,30.0,"Sewa Nagar Colony, Sanjeev Colony, Bhiwani, Haryana 127021","Sewa Nagar Colony, Sanjeev Colony",28.800379099999997,76.11826479999999,ChIJcyqvWwBnEjkRgZtIlznrmow,https://www.google.com/maps/place/?q=place_id:ChIJcyqvWwBnEjkRgZtIlznrmow,part_352,2026-09-20 20:25:49
Tuition Center,Tuition Center,Educational institution,"Educational institution, Private Tutor",766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 87450 06660,N/A,4.9,41.0,"1247 Ground Floor, Sector 52, Gurugram, Haryana 122003","Sarswati Kunj II, Wazirabad, Sector 52",28.438653499999997,77.0794255,ChIJWVH7pyoZDTkRHF5rQL9aPkA,https://www.google.com/maps/place/?q=place_id:ChIJWVH7pyoZDTkRHF5rQL9aPkA,part_352,2026-09-20 20:25:49
GALAXY COACHING CENTRE,Tuition Center,Education center,Education center,766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 96097 31508,N/A,5.0,86.0,"Kamala kabin, Kharagpur City Rd, Inda, Kharagpur, West Bengal 721305",Inda,22.350630799999998,87.3359868,ChIJf5qPgsVFHToRs_4fBk6VXXY,https://www.google.com/maps/place/?q=place_id:ChIJf5qPgsVFHToRs_4fBk6VXXY,part_352,2026-09-20 20:25:49
Tutor 360 - Coaching Classes,Tuition Center,Education center,"Education center, Coaching Center, Educational institution, Private Tutor, Tutoring service",766026,Odisha Circle,Berhampur Region,Kalahandi Division,"Mukhiguda S.O, Ghutrukhal B.O, Gopinathpur B.O",+91 82648 12340,https://tutor360.co.in/,4.9,112.0,"Top Floor, main market, SCF-19, above IDFC Bank OppositeChawla Hospital, Phase 7, Sector 61, Sahibzada Ajit Singh Nagar, Punjab 160062","Phase 7, Sector 61",30.7074304,76.723918,ChIJZRmwu-vvDzkRcLC7qxgZ8gw,https://www.google.com/maps/place/?q=place_id:ChIJZRmwu-vvDzkRcLC7qxgZ8gw,part_352,2026-09-20 20:25:49
