business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Subrat kirana store,Kirana Store,General store,General store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",N/A,N/A,5.0,,"4982+JH3, Palasapada, Odisha 766101",766100,20.116505699999998,83.3514063,ChIJb6kqWgCJJDoR1xA1jAkBgrA,https://www.google.com/maps/place/?q=place_id:ChIJb6kqWgCJJDoR1xA1jAkBgrA,part_352,2026-09-20 20:31:19
Aryan Kirana Store,Kirana Store,Grocery store,Grocery store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",+91 63720 51673,N/A,5.0,,"Shop No 001, Kamarda, Odisha 766100",766100,20.0238811,83.4338387,ChIJhb64bBeFJDoRZebyFtJEOEk,https://www.google.com/maps/place/?q=place_id:ChIJhb64bBeFJDoRZebyFtJEOEk,part_352,2026-09-20 20:31:19
Sahu kirana Shop,Kirana Store,Indian grocery store,Indian grocery store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",+91 82609 72647,N/A,1.0,,"Narla, Maskaguda, Odisha 766100",766100,20.0572676,83.4210265,ChIJndpFXQCPJDoR_X2OkRPTA-o,https://www.google.com/maps/place/?q=place_id:ChIJndpFXQCPJDoR_X2OkRPTA-o,part_352,2026-09-20 20:31:19
JAY HANUMAN KIRANA STORE,Kirana Store,General store,General store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",N/A,N/A,5.0,,"4CRG+2RC, Kanakpur, Odisha 766100",766100,20.1400895,83.42733869999999,ChIJ652L8YaHJDoRYNskIgYBauU,https://www.google.com/maps/place/?q=place_id:ChIJ652L8YaHJDoRYNskIgYBauU,part_352,2026-09-20 20:31:19
MISHRA GENERAL STORE,Kirana Store,General store,"General store, Store",766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",+91 93481 61632,N/A,3.9,,"Pipalpada0012, Pipalpada, Dhamankata, Odisha 766100",Pipalpada0012,20.0629988,83.4486642,ChIJefBDewmFJDoR3b7qIa17bHU,https://www.google.com/maps/place/?q=place_id:ChIJefBDewmFJDoR3b7qIa17bHU,part_352,2026-09-20 20:31:19
Dash kirana store,Kirana Store,Grocery store,Grocery store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",N/A,N/A,5.0,,"Bhimkela, Asurgarh, Odisha 766101",766100,20.0999795,83.3518697,ChIJ3Q0lQz-PJDoRiv_E3GC2dxQ,https://www.google.com/maps/place/?q=place_id:ChIJ3Q0lQz-PJDoRiv_E3GC2dxQ,part_352,2026-09-20 20:31:19
Rajesh Kirana Stor,Kirana Store,General store,General store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",+91 78538 82265,N/A,,,"Narla Rampur Road, Limur singa, Sergarh, Odisha 766100",766100,20.171699699999998,83.47224399999999,ChIJ7Ub1ubSHJDoRql3PGonHy74,https://www.google.com/maps/place/?q=place_id:ChIJ7Ub1ubSHJDoRql3PGonHy74,part_352,2026-09-20 20:31:19
Kirana with electronic stor,Kirana Store,General store,General store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",N/A,N/A,5.0,,"4C5F+9RH, Odisha 766100",766100,20.108444199999997,83.4246062,ChIJMdoHCR2FJDoRJmTDtOxQ8CQ,https://www.google.com/maps/place/?q=place_id:ChIJMdoHCR2FJDoRJmTDtOxQ8CQ,part_352,2026-09-20 20:31:19
Sneha Kirana Store,Kirana Store,Store,Store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",+91 93370 04592,N/A,5.0,,"5FCF+PCM, SH 6A, Sripalli, Odisha 766100",766100,20.1718408,83.47355449999999,ChIJyzS8Q4OHJDoRgeDk-RsCSQc,https://www.google.com/maps/place/?q=place_id:ChIJyzS8Q4OHJDoRgeDk-RsCSQc,part_352,2026-09-20 20:31:19
LOHIT ADEVANCE KIRANA STORE,Kirana Store,Grocery store,Grocery store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",+91 70770 52111,N/A,5.0,,"Maa Duarsuni Treding .Co Kendupada, Po, Muskuti, Narla, Odisha 766100",Muskuti,20.057359899999998,83.383572,ChIJNahoA1SLJDoRtSFj5tr-W_o,https://www.google.com/maps/place/?q=place_id:ChIJNahoA1SLJDoRtSFj5tr-W_o,part_352,2026-09-20 20:31:19
Gagan Kirana Store,Kirana Store,General store,General store,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",N/A,N/A,,,"Pipal padar, Jurkabhata, Odisha 766100",766100,20.0890476,83.38749589999999,ChIJRa9aJ2mPJDoRkSZl72Jxhog,https://www.google.com/maps/place/?q=place_id:ChIJRa9aJ2mPJDoRkSZl72Jxhog,part_352,2026-09-20 20:31:19
Sahu Kirana Store,Kirana Store,Shopping mall,Shopping mall,766100,Odisha Circle,Berhampur Region,Kalahandi Division,"Narla S.O, Bagpur B.O, Barbandha B.O",N/A,N/A,4.2,,"Saragiguda, Titilagarh, Odisha 767033",Saragiguda,20.3015266,83.1523357,ChIJq2_VOnNbJDoRVBvKBmGwoKo,https://www.google.com/maps/place/?q=place_id:ChIJq2_VOnNbJDoRVBvKBmGwoKo,part_352,2026-09-20 20:31:19
