business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adv.Pramod Kumar Sahu (Lawyer),Advocate and Lawyer,Lawyer,Lawyer,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 93487 25962,N/A,4.9,37.0,"Sohela, Haldipali, Odisha 768033",766104,21.3045604,83.4095238,ChIJcwhoIDK4JjoRtW0lPZAGXhA,https://www.google.com/maps/place/?q=place_id:ChIJcwhoIDK4JjoRtW0lPZAGXhA,part_352,2026-09-20 20:34:29
Advocate Mobin Qureshi | Criminal Lawyer | Civil Lawyer| District Court - Mahasamund,Advocate and Lawyer,Lawyer,Lawyer,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 98265 55010,N/A,5.0,1.0,"Ward no. 20, Gous Manzil, H.No. 429, College Rd, near shishu sanskar kendra school, Subash Nagar, Mahasamund, Chhattisgarh 493445",Subash Nagar,21.1084207,82.09801999999999,ChIJ-Wg4TS2lKDoRM_N0AwA9tfM,https://www.google.com/maps/place/?q=place_id:ChIJ-Wg4TS2lKDoRM_N0AwA9tfM,part_352,2026-09-20 20:34:29
Barik law chamber(Advocate S S barik),Advocate and Lawyer,Lawyer,"Lawyer, Real estate attorney",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 62671 59090,N/A,5.0,7.0,"Arekel, dhipa, near tahsil office, Basna, Chhattisgarh 493554",766104,21.2777569,82.8236678,ChIJW9eWKJVhJjoRc3ejPPaWL3k,https://www.google.com/maps/place/?q=place_id:ChIJW9eWKJVhJjoRc3ejPPaWL3k,part_352,2026-09-20 20:34:29
Advocate Shivani Agrawal,Advocate and Lawyer,Lawyer,Lawyer,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 70000 13744,N/A,5.0,3.0,"Padampur Road, Basna, Saraipali, Chhattisgarh 493554",766104,21.276799399999998,82.8267503,ChIJb8B4JHFhJjoRyYLK7cXuGIM,https://www.google.com/maps/place/?q=place_id:ChIJb8B4JHFhJjoRyYLK7cXuGIM,part_352,2026-09-20 20:34:29
Adv. roopam sharma(advocate),Advocate and Lawyer,Lawyer,Lawyer,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",N/A,N/A,5.0,26.0,"Ward no 19, ganj para, near shree ram takiz, Mahasamund, Chhattisgarh 493445",766104,21.112406699999998,82.095962,ChIJFWcIY1SlKDoRTWgLZIvyfuE,https://www.google.com/maps/place/?q=place_id:ChIJFWcIY1SlKDoRTWgLZIvyfuE,part_352,2026-09-20 20:34:29
SHAILESH AGRAWAL (ADVOCATE),Advocate and Lawyer,Lawyer,Lawyer,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",N/A,https://www.instagram.com/shailu__agrawal?stkn=MTN6NjIxNXZlamg5dw==,5.0,2.0,"Nawapara Khurd, Pithora, Chhattisgarh 493551",766104,21.2698458,82.50645209999999,ChIJ0dzPJdgVJjoRsZJZ9QtVLqY,https://www.google.com/maps/place/?q=place_id:ChIJ0dzPJdgVJjoRsZJZ9QtVLqY,part_352,2026-09-20 20:34:29
Advocate Anshul Thakur,Advocate and Lawyer,Lawyer,Lawyer,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 94060 03173,N/A,4.8,,"Adarsh vihar colony, Shrinagar, Gudhiyari, Raipur, Chhattisgarh 492009",Shrinagar,21.266036399999997,81.6313131,ChIJxSDDfqndKDoRs-iHPaksyGU,https://www.google.com/maps/place/?q=place_id:ChIJxSDDfqndKDoRs-iHPaksyGU,part_352,2026-09-20 20:34:30
Office Of Advocate - Alber Ahmed Farooqui | Criminal lawyer | Divorce Lawyer | Corporate lawyer | Civil lawyer,Advocate and Lawyer,Criminal justice attorney,"Criminal justice attorney, Divorce lawyer, Family law attorney, Lawyer, Legal services",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 99027 99884,https://officeofadvocate.com/,5.0,61.0,"Shop no.3, infront of Indira Gandhi statue, Kalibadi Chowk, near degree girls college, Byron Bazar, Janta Colony, Raipur, Chhattisgarh 492001","Byron Bazar, Janta Colony",21.2340701,81.63912529999999,ChIJEy_HLPndKDoReblWo6QPMhw,https://www.google.com/maps/place/?q=place_id:ChIJEy_HLPndKDoReblWo6QPMhw,part_352,2026-09-20 20:34:30
Family Law Firm Raipur | family lawyer | Divorce advocate । divorce defence lawyer,Advocate and Lawyer,Family law attorney,"Family law attorney, Criminal justice attorney, Divorce lawyer, Divorce service, Family counselor, Lawyer, Marriage Consultant, Personal injury attorney",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 93298 37709,http://www.familylawfirm.in/,4.9,321.0,"First floor, Krishna complex Shastri Chowk, Jail Rd, Raipur, Chhattisgarh 492001",Moudhapara,21.2464802,81.6414376,ChIJZ3UQ0ZjdKDoR9YUC4L1gbp0,https://www.google.com/maps/place/?q=place_id:ChIJZ3UQ0ZjdKDoR9YUC4L1gbp0,part_352,2026-09-20 20:34:30
Shrivastava and Associates- Civil lawyer/Consumer lawyer/Banking & insurance lawyer/ Best advocate in Raipur,Advocate and Lawyer,Lawyer,"Lawyer, Criminal justice attorney, Divorce lawyer, Family law attorney, Law firm",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 98261 13956,https://shrivastavaassociates.in.net/,5.0,,"F-33, First Floor, Bus Stand Rd, opposite MATS University, Pandri, Raipur, Chhattisgarh 492004",Pandri,21.2511716,81.6465736,ChIJtx-nNw7dKDoRjRh5dEFtQrw,https://www.google.com/maps/place/?q=place_id:ChIJtx-nNw7dKDoRjRh5dEFtQrw,part_352,2026-09-20 20:34:30
✅𝐀𝐃𝐕𝐎𝐂𝐀𝐓𝐄 𝐀𝐊𝐇𝐈𝐋𝐄𝐒𝐇 𝐒𝐎𝐍𝐈 - Best Advocate in Raipur | Criminal Lawyer in Raipur | Domestic Violence Lawyer| NDPS,Advocate and Lawyer,Criminal justice attorney,"Criminal justice attorney, Divorce lawyer, Family law attorney, Law firm, Lawyer, Lawyers association",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 97137 07978,https://advakhileshsoni.com/,5.0,54.0,"near Appu Sweets, Rohnipuram, DDU Nagar, Amanaka, Raipur, Chhattisgarh 492010","Rohnipuram, DDU Nagar, Amanaka",21.2405877,81.5989877,ChIJP2bfuiffKDoR4WYRWOgkOBk,https://www.google.com/maps/place/?q=place_id:ChIJP2bfuiffKDoR4WYRWOgkOBk,part_352,2026-09-20 20:34:30
Advocate Monika Rajpal | Criminal Lawyer | District Court - Raipur,Advocate and Lawyer,Criminal justice attorney,"Criminal justice attorney, Bankruptcy attorney, Family law attorney",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 96910 20444,N/A,5.0,114.0,"Rishabh vihar, near rc blood bank, RishabhNagar and Pawan Vihar Colony, New Rajendra Nagar, Raipur, Tikrapara, Chhattisgarh 492001","RishabhNagar and Pawan Vihar Colony, New Rajendra Nagar",21.2227706,81.6638523,ChIJBUTDlbDdKDoR7hCBJzam3MM,https://www.google.com/maps/place/?q=place_id:ChIJBUTDlbDdKDoR7hCBJzam3MM,part_352,2026-09-20 20:34:30
Advocate Aditya Shrivastava & Associates,Advocate and Lawyer,Lawyer,"Lawyer, Civil law attorney, Criminal justice attorney, Divorce lawyer, Family law attorney, Law firm, Legal services",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 70000 68300,N/A,4.8,,"Street Number 4, Katora Talab, Civil Lines, Raipur, Chhattisgarh 492001","Katora Talab, Civil Lines",21.2335528,81.6539962,ChIJd9prYQ_dKDoR-_tBHAuEmsg,https://www.google.com/maps/place/?q=place_id:ChIJd9prYQ_dKDoR-_tBHAuEmsg,part_352,2026-09-20 20:34:30
Advocate Rakesh Lodhi /Family lawyer/ Divorce Lawyer/ 138nia Cheque bounce case,Advocate and Lawyer,Divorce lawyer,"Divorce lawyer, Criminal justice attorney, Divorce service, Family counselor, Family law attorney, Lawyer, Marriage Consultant",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 92299 77000,http://www.divorcelawyerraipur.com/,4.9,327.0,"Shop no.-117, Krishna Complex, Jail Rd, Kutchery Chowk, Moudhapara, Raipur, Chhattisgarh 492001","Kutchery Chowk, Moudhapara",21.2464802,81.6414376,ChIJs0n805jdKDoR0WEzp_v-ATI,https://www.google.com/maps/place/?q=place_id:ChIJs0n805jdKDoR0WEzp_v-ATI,part_352,2026-09-20 20:34:30
Moratdhwaj Chakradhari,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",N/A,N/A,5.0,2.0,"2H2G+X67, Gram khemda, post, block, tikrapara, Deori, Komakhan, Chhattisgarh 493449","block, tikrapara",21.0024116,82.5755385,ChIJYWdvUAB1JjoRirynNQ8yNyg,https://www.google.com/maps/place/?q=place_id:ChIJYWdvUAB1JjoRirynNQ8yNyg,part_352,2026-09-20 20:34:30
Lalit sabar,Advocate and Lawyer,Labor relations attorney,Labor relations attorney,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",N/A,N/A,,,"RC89+6QW, Daldali, Odisha 766105",766104,20.8156242,82.41944149999999,ChIJzV_cTwDlJToRHQxZKaSp6UY,https://www.google.com/maps/place/?q=place_id:ChIJzV_cTwDlJToRHQxZKaSp6UY,part_352,2026-09-20 20:34:30
