business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ashoka Borewells,Borewell Drilling Contractor,Drilling contractor,"Drilling contractor, Plumber, Real estate consultant, Tubewell Contractor, Water Pump Supplier, Water treatment plant, Waterproofing service, Well drilling contractor",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 95167 95604,N/A,4.9,,"Magarpara Rd, Chowk, Bilaspur, Masanganj, Chhattisgarh 495001",Chowk,22.077628,82.14838139999999,ChIJn5WgBvILKDoRUeLwjRRG7V0,https://www.google.com/maps/place/?q=place_id:ChIJn5WgBvILKDoRUeLwjRRG7V0,part_352,2026-09-20 20:34:18
JAIN BOREWELLS,Borewell Drilling Contractor,Drilling contractor,"Drilling contractor, Agricultural machinery manufacturer, Bathroom supply store, Door supplier, Pipe supplier, Pipes Wholesaler, Pump supplier, Stationery store, Water Pump Supplier, Well drilling contractor",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 93003 31393,https://automsg.in/9300331393-2/,5.0,,"Block Abhanpur, Ganj Rd, Nawapara, Rajim, Chhattisgarh 493881",766104,20.967265599999998,81.8611829,ChIJsw3A5ZrLKDoRpBhm0p4YLxg,https://www.google.com/maps/place/?q=place_id:ChIJsw3A5ZrLKDoRpBhm0p4YLxg,part_352,2026-09-20 20:34:18
Sardar borewell,Borewell Drilling Contractor,Drilling contractor,Drilling contractor,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",N/A,N/A,5.0,,"Sardar Borewells, New Bus Stand, Sarangarh, Chhattisgarh 496445",766104,21.5890627,83.0778892,ChIJ1Ze0uAb7JjoR6K2D18AS1f0,https://www.google.com/maps/place/?q=place_id:ChIJ1Ze0uAb7JjoR6K2D18AS1f0,part_352,2026-09-20 20:34:18
SHANKARA JI BOREWELLS AND PUMP,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 99812 62698,https://automsg.in/9981262698-2/,5.0,19.0,"Tiranga Chowk, Durga Nagar, Amleshwar, Raipur, Chhattisgarh 492001",Durga Nagar,21.2041251,81.57824289999999,ChIJhVLM2yrfKDoRawdM0IIu-uE,https://www.google.com/maps/place/?q=place_id:ChIJhVLM2yrfKDoRawdM0IIu-uE,part_352,2026-09-20 20:34:19
Yashu Borewells,Borewell Drilling Contractor,Drilling contractor,"Drilling contractor, Contractor, Well drilling contractor",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 73891 35522,N/A,5.0,29.0,"Shop No 1, 5JVV+49V, Kandul Road, beside Maa Durga Traders, Boriyakhurd, Raipur, Chhattisgarh 492015",766104,21.1928125,81.64343749999999,ChIJW6_VNwDdKDoRnE36nU34jXM,https://www.google.com/maps/place/?q=place_id:ChIJW6_VNwDdKDoRnE36nU34jXM,part_352,2026-09-20 20:34:19
PATEL BOREWELL,Borewell Drilling Contractor,Drilling contractor,"Drilling contractor, Well drilling contractor",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 92000 03357,https://patelborewells.com/,4.9,227.0,"Alok Medical, Building No 2244, First Floor, Old Dhamtari Rd, opp. Laxmi medical stroe, Santoshi Nagar, Raipur, Chhattisgarh 492001",Santoshi Nagar,21.2155175,81.6418877,ChIJObqQLHDdKDoRN8apOaikzTk,https://www.google.com/maps/place/?q=place_id:ChIJObqQLHDdKDoRN8apOaikzTk,part_352,2026-09-20 20:34:19
Bagga Ji Borewell,Borewell Drilling Contractor,Drilling contractor,Drilling contractor,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 77718 14441,N/A,4.9,45.0,"near nagar nigam office, Raigarh, Chhattisgarh 496001",766104,21.893542099999998,83.3950697,ChIJBzja6cklJzoRTa-TbHmKkzw,https://www.google.com/maps/place/?q=place_id:ChIJBzja6cklJzoRTa-TbHmKkzw,part_352,2026-09-20 20:34:19
Dileep Borewells And Traders,Borewell Drilling Contractor,Drilling contractor,"Drilling contractor, Contractor",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 99261 60298,N/A,4.9,15.0,"PG8M+8JV छ ग, रायपुर रोड, सुंदर नगर, फेस 2, Bemetara, Chhattisgarh 491335","सुंदर नगर, फेस 2",21.710898,81.54033319999999,ChIJt6oUlCdVKDoR1kczYnNISYw,https://www.google.com/maps/place/?q=place_id:ChIJt6oUlCdVKDoR1kczYnNISYw,part_352,2026-09-20 20:34:19
Raipur Borewells,Borewell Drilling Contractor,Tubewell Contractor,"Tubewell Contractor, Mechanic, Water Pump Supplier, Water skiing service",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 92000 03357,http://patelborewells.com/,4.4,7.0,"Mathpurena Rd, Santoshi Nagar, Raipur, Mathpurena, Chhattisgarh 492001",Santoshi Nagar,21.2154167,81.64192039999999,ChIJz1j8aATdKDoR68cITNpWczQ,https://www.google.com/maps/place/?q=place_id:ChIJz1j8aATdKDoR68cITNpWczQ,part_352,2026-09-20 20:34:19
"PRS BOREWELLS , Drilling contractor & Bus Services",Borewell Drilling Contractor,Store,Store,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 98421 10076,N/A,4.9,437.0,"PRS Borewells, Naganampatti Bypass, Velavan nagar, Oddanchatram, Tamil Nadu 624619",Velavan nagar,10.4890071,77.74607379999999,ChIJhzSeMEv7qTsR9rEUvLc6FpU,https://www.google.com/maps/place/?q=place_id:ChIJhzSeMEv7qTsR9rEUvLc6FpU,part_352,2026-09-20 20:34:20
RAJ BOREWELLS,Borewell Drilling Contractor,Drilling contractor,Drilling contractor,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 98939 08002,N/A,3.8,11.0,"Shop No 103, Stadium Complex, Surana College, Chhattisgarh 491001",Civil Lines,21.1848985,81.28597959999999,ChIJN07o_T8jKToRveiwtgn4x9I,https://www.google.com/maps/place/?q=place_id:ChIJN07o_T8jKToRveiwtgn4x9I,part_352,2026-09-20 20:34:20
