business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
I PLUS SECURITY SYSTEM - best cctv camera shop in raipur | cctv camera installation service in raipur,CCTV Installation and Security System,Camera store,Camera store,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 79743 87329,http://iplussecuritysystem.in/,4.8,,"Shop no.2, Tiwari Complex, Postal Colony, Tikrapara, Raipur, Umang Colony, Chhattisgarh 492001","Postal Colony, Tikrapara",21.2234931,81.6409041,ChIJD9YIAgDdKDoR-yPd_znIMIo,https://www.google.com/maps/place/?q=place_id:ChIJD9YIAgDdKDoR-yPd_znIMIo,part_352,2026-09-20 20:34:28
JK CCTV CAMERA RAIPUR,CCTV Installation and Security System,Security system installation service,Security system installation service,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 70495 62394,N/A,5.0,,"New Pandri Rd, Textile Market, Pandri, Raipur, Chhattisgarh 492004","Textile Market, Pandri",21.255957,81.6490312,ChIJO1J_EfDdKDoRKmzeS3n2u88,https://www.google.com/maps/place/?q=place_id:ChIJO1J_EfDdKDoRKmzeS3n2u88,part_352,2026-09-20 20:34:28
NIKHIL CCTV & ' L E D ' LIGHT STORE,CCTV Installation and Security System,Security system installation service,Security system installation service,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 74898 48879,N/A,4.4,,"Main Road, Road Main Road, Siliyari, Chhattisgarh 493116",766104,21.4243489,81.74657239999999,ChIJhwz6DwDvKDoRRW7k7xRSPOY,https://www.google.com/maps/place/?q=place_id:ChIJhwz6DwDvKDoRRW7k7xRSPOY,part_352,2026-09-20 20:34:28
Cctv camera,CCTV Installation and Security System,Security system installation service,Security system installation service,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",N/A,N/A,4.9,,"Amera, Palari, Chhattisgarh 493228",Amera,21.536210399999998,82.16599699999999,ChIJyfQaYmeDKDoRzlGELMHoMSI,https://www.google.com/maps/place/?q=place_id:ChIJyfQaYmeDKDoRzlGELMHoMSI,part_352,2026-09-20 20:34:28
Cctv Security solution,CCTV Installation and Security System,Engineer,"Engineer, City district office",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",N/A,N/A,4.5,,"Aarang, Lakhoti, Gujra, Chhattisgarh 493441",766104,21.195655499999997,81.9621169,ChIJN66BwDi9KDoR3xFErvjxq08,https://www.google.com/maps/place/?q=place_id:ChIJN66BwDi9KDoR3xFErvjxq08,part_352,2026-09-20 20:34:28
Param Solutions,CCTV Installation and Security System,Security system supplier,"Security system supplier, Camera store, Fire alarm supplier, Fire protection equipment supplier, Home automation company, Home theater store, Safety equipment supplier, Smart locker manufacturer",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 90093 38319,http://www.jefnets.com/,4.7,,"ARHAM TOWER JEFNETS TECHNOLOGY, Kamal Vihar Road, near HARSH TOWER, Devpuri, Tikrapara, Chhattisgarh 492015",766104,21.20409,81.6725688,ChIJqa-408PcKDoRmMhVB6_v8H0,https://www.google.com/maps/place/?q=place_id:ChIJqa-408PcKDoRmMhVB6_v8H0,part_352,2026-09-20 20:34:28
Sahu CCTV Camera Dealers & CCTV Installation Raipur | CCTV Camera Installation Raipur | CCTV Camera Dealer Raipur,CCTV Installation and Security System,Security system supplier,"Security system supplier, Security system installation service",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 93029 33334,https://cctv-camera.in/sahu-cctv-camera-dealers/,3.2,,"Main Road, Shankar Nagar, Near Ashirwad Std Pco, Shankar Nagar, Raipur, Chhattisgarh 492004",Shankar Nagar,21.2526895,81.667884,ChIJ____v2ndKDoR06qubfEOsmw,https://www.google.com/maps/place/?q=place_id:ChIJ____v2ndKDoR06qubfEOsmw,part_352,2026-09-20 20:34:28
Solution Hub Raipur,CCTV Installation and Security System,Security system supplier,"Security system supplier, Closed circuit television, Computer security service, Computer support and services, Security system installation service",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 97524 25677,https://bit.ly/2xr2MZ2,5.0,,"Mig-9, Sector 1, Shankar Nagar, Raipur, Chhattisgarh 492004","Sector 1, Shankar Nagar",21.250111999999998,81.6615102,ChIJgaeWd2bdKDoRTU7ojJqtm34,https://www.google.com/maps/place/?q=place_id:ChIJgaeWd2bdKDoRTU7ojJqtm34,part_352,2026-09-20 20:34:28
Home Service 24x7 CCTV CAMERA Computer Hardware Networking Printer Telephone Work Home Service,CCTV Installation and Security System,Security system installation service,"Security system installation service, Electronics wholesaler",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 87703 39174,N/A,4.8,,"Sector 2, Priyadarshini Nagar Colony, New Rajendra Nagar, Raipur, Tikrapara, Chhattisgarh 492001","Sector 2, Priyadarshini Nagar Colony, New Rajendra Nagar",21.2199556,81.66052839999999,ChIJX9Z_5lPdKDoRkcVlDGdSJZY,https://www.google.com/maps/place/?q=place_id:ChIJX9Z_5lPdKDoRkcVlDGdSJZY,part_352,2026-09-20 20:34:28
RAIPUR CCTV CAMERA,CCTV Installation and Security System,Security system installation service,Security system installation service,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 74709 08409,https://alphasecuritysystem.com/,5.0,,"Tiranga Chowk, near Pahadi Talab, Kushalpur, Patel Para, Raipur, Chhattisgarh 492001","Kushalpur, Patel Para",21.227744599999998,81.6150296,ChIJOT-VflfdKDoRKLOlU41cNkE,https://www.google.com/maps/place/?q=place_id:ChIJOT-VflfdKDoRKLOlU41cNkE,part_352,2026-09-20 20:34:28
