business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Designscape Engineering and Consultancy,Architects,Architecture firm,Architecture firm,766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 73280 97350,https://www.designskp.com/,4.9,88.0,"Plot No. 467/4810, Shree Vihar Rd, near Premier Residency, Shree Vihar, Patia, Bhubaneswar, Odisha 751031","Shree Vihar, Patia",20.338169,85.82614149999999,ChIJ22KGmFkJGToRCmmGuWZLQ0I,https://www.google.com/maps/place/?q=place_id:ChIJ22KGmFkJGToRCmmGuWZLQ0I,part_352,2026-09-20 20:34:59
"Shiva temple ,PATORA DAM NUAPADA",Architects,Hindu temple,Hindu temple,766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",N/A,N/A,4.3,191.0,"PCQV+Q6V, Unnamed Road, Dharambandha, Odisha 766105",766105,20.7394769,82.4430502,ChIJY0vqSMTlJToRsw6UME8Vi8k,https://www.google.com/maps/place/?q=place_id:ChIJY0vqSMTlJToRsw6UME8Vi8k,part_352,2026-09-20 20:34:59
RHA PRAXIS INITIATIVE® architecture + interior + construction,Architects,Architect,"Architect, Architectural designer, Architecture firm, Civil engineer, General contractor, Interior construction contractor, Interior designer, Structural engineer",766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 99992 65607,http://www.rhapraxisinitiative.in/,4.6,150.0,"Pagariya Complex, Arihant Tower, Pandri, Raipur, Chhattisgarh 492004",Pandri,21.252349799999998,81.6473573,ChIJXQg4KHbdKDoRJFA59qmTsto,https://www.google.com/maps/place/?q=place_id:ChIJXQg4KHbdKDoRJFA59qmTsto,part_352,2026-09-20 20:34:59
Bhakre Associates (Ar. Piyush Bhakre & Vikas Bhakre),Architects,Architect,"Architect, Real Estate Builders & Construction Company, Home builder, Structural engineer",766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 73497 66886,https://bhakreassociates.com/,5.0,7.0,"M.I.G. 59, Janta Colony, Sector 2, Shankar Nagar, Govind Nagar, Raipur, Chhattisgarh 492007","Janta Colony, Sector 2, Shankar Nagar, Govind Nagar",21.2574157,81.6597634,ChIJIxChh47dKDoRtjtUcT9wDIg,https://www.google.com/maps/place/?q=place_id:ChIJIxChh47dKDoRtjtUcT9wDIg,part_352,2026-09-20 20:34:59
B A S I C S Studio,Architects,Architecture firm,"Architecture firm, Art studio, Interior designer",766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",N/A,https://www.basicsstudio.in/,4.7,90.0,"Q-18, Anupam Nagar, Near Hanuman Temple, Behind TV Tower, Raipur, Chhattisgarh 492004",Anupam Nagar,21.259748,81.66685,ChIJRUTgq2fdKDoRm9TsDpP4fE0,https://www.google.com/maps/place/?q=place_id:ChIJRUTgq2fdKDoRm9TsDpP4fE0,part_352,2026-09-20 20:34:59
Architect Siddhant Sharma Associates,Architects,Architecture firm,"Architecture firm, Environmental consultant, Interior designer, Landscape designer",766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 98279 48456,N/A,4.6,20.0,"A-320 Shop no.: 1, Mangalmurti Bhawan, Shailendra Nagar, Raipur, Chhattisgarh 492001",Shailendra Nagar,21.2311193,81.6514172,ChIJexmdogbdKDoRIHR7iAJvoy8,https://www.google.com/maps/place/?q=place_id:ChIJexmdogbdKDoRIHR7iAJvoy8,part_352,2026-09-20 20:34:59
"Shree Nirman Engineers ,Interior and Vastu Advisors",Architects,Interior designer,"Interior designer, Engineer, Vastu consultant",766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 94079 29024,N/A,5.0,12.0,"Main Rd, Netaji chowk, Arang, Chhattisgarh 493441",Netaji chowk,21.1927733,81.96800569999999,ChIJdyjAoKu9KDoRW2Letc7X2J4,https://www.google.com/maps/place/?q=place_id:ChIJdyjAoKu9KDoRW2Letc7X2J4,part_352,2026-09-20 20:34:59
Organised Design Desk,Architects,Architect,"Architect, Architecture firm, Interior designer, Landscape architect",766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 99074 15948,N/A,4.7,62.0,"2nd floor, Shop -24/25, Block-3, Ekta Market, Dakshin Gangotri, Supela, Bhilai, Chhattisgarh 490023","Dakshin Gangotri, Supela",21.205906499999998,81.349104,ChIJh9N92dciKToR_iTLa1MzaSo,https://www.google.com/maps/place/?q=place_id:ChIJh9N92dciKToR_iTLa1MzaSo,part_352,2026-09-20 20:35:00
Samast Design Studio,Architects,Architecture firm,"Architecture firm, Real Estate Builders & Construction Company, Interior designer",766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 93406 02363,https://instagram.com/samastdesignstudio?igshid=YmMyMTA2M2Y=,5.0,33.0,"House no.-18, Ward 44, Tatyapara, Nayapara, Raipur, Chhattisgarh 492001","Tatyapara, Nayapara",21.2398451,81.628875,ChIJnSK_PjzdKDoRb7KHv-Mbl3M,https://www.google.com/maps/place/?q=place_id:ChIJnSK_PjzdKDoRb7KHv-Mbl3M,part_352,2026-09-20 20:35:00
Aparna Architects,Architects,Architect,"Architect, Architecture firm, Civil engineer, Interior designer",766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 91445 56676,http://www.aparnaarchitects.in/?,5.0,6.0,"Baniya Para, Tamer Para, Durg, Chhattisgarh 491001",Baniya Para,21.1913321,81.2765615,ChIJ2Yl_wa49KToR6SmBCslgLaA,https://www.google.com/maps/place/?q=place_id:ChIJ2Yl_wa49KToR6SmBCslgLaA,part_352,2026-09-20 20:35:00
Architects' Studio,Architects,Architect,Architect,766105,Odisha Circle,Berhampur Region,Kalahandi Division,"Nawapara Tanwat S.O, Amnara B.O, Darlimunda B.O",+91 99381 83777,https://architectsstudio.co.in/,4.7,,"E-47, Infocity, Chandrasekharpur, Bhubaneswar, Odisha 751021","Infocity, Chandrasekharpur",20.338831199999998,85.8017437,ChIJnbMfaPsIGToR0uzFI1kR-B4,https://www.google.com/maps/place/?q=place_id:ChIJnbMfaPsIGToR0uzFI1kR-B4,part_352,2026-09-20 20:35:01
