business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Upper Primary School,School,Primary school,Primary school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",N/A,N/A,,,"Hardatal, Balangir, SH-42, Cuttack Sambalpur Road, Balangir, Balangir, Odisha 767024",767024,20.7327287,83.3645049,ChIJo5v0jeMQJDoRtg3FKI0puY0,https://www.google.com/maps/place/?q=place_id:ChIJo5v0jeMQJDoRtg3FKI0puY0,part_352,2026-09-20 20:46:37
Hosanna Academy,School,Primary school,Primary school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",N/A,N/A,,,"Pilatimahul, Dumerpita, Odisha 767048",767024,20.6916111,83.2800342,ChIJU4bCHk4XJDoRHyj58p0g5Oo,https://www.google.com/maps/place/?q=place_id:ChIJU4bCHk4XJDoRHyj58p0g5Oo,part_352,2026-09-20 20:46:37
Government High School,School,High school,High school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",+91 99388 80499,N/A,,,"Chudapali, Balangir, SH-42, Cuttack Sambalpur Road, Balangir, Balangir, Odisha 767024",767024,20.718058,83.291488,ChIJeYI9cFYWJDoRoEXAs3sewKQ,https://www.google.com/maps/place/?q=place_id:ChIJeYI9cFYWJDoRoEXAs3sewKQ,part_352,2026-09-20 20:46:37
Dream India School,School,General education school,General education school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",N/A,N/A,,,"PG52+64Q, Balangir, Odisha 767001",767024,20.7080879,83.5003725,ChIJkV9oyPsPJDoRQ5uMEImhQrM,https://www.google.com/maps/place/?q=place_id:ChIJkV9oyPsPJDoRQ5uMEImhQrM,part_352,2026-09-20 20:46:37
"Harvest mission school,Sibatala",School,General education school,General education school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",+91 95769 05145,N/A,,,"Shibatala Rd, Sibatala, Odisha 767024",767024,20.6701858,83.3171541,ChIJ6-v48tIVJDoRVY7QGlmvHds,https://www.google.com/maps/place/?q=place_id:ChIJ6-v48tIVJDoRVY7QGlmvHds,part_352,2026-09-20 20:46:37
Upper Primary School,School,Primary school,Primary school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",N/A,N/A,,,"Dhubalpada, Balangir, SH-42, Cuttack Sambalpur Road, Balangir, Balangir, Odisha 767048",767024,20.721781999999997,83.23691099999999,ChIJJ0WsnJ09JDoRXgovq999BqI,https://www.google.com/maps/place/?q=place_id:ChIJJ0WsnJ09JDoRXgovq999BqI,part_352,2026-09-20 20:46:37
"Dhoba HighSchool, Hardatal",School,High school,High school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",+91 5248 226 662,N/A,,,"Hardatal, Balangir, SH-42, Cuttack Sambalpur Road, Balangir, Balangir, Odisha 767024",767024,20.7318295,83.3686345,ChIJKdB4zfwQJDoR8Bd0G5n6E8g,https://www.google.com/maps/place/?q=place_id:ChIJKdB4zfwQJDoR8Bd0G5n6E8g,part_352,2026-09-20 20:46:37
Kids world school bhundimuhan chhok chudapali,School,Primary school,Primary school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",N/A,N/A,,,"P78M+RXC, SH 42, Chudapali, Jiratmal, Odisha 767024",767024,20.7170702,83.2849006,ChIJ3ZKCgGoXJDoRv5M3NStgBBQ,https://www.google.com/maps/place/?q=place_id:ChIJ3ZKCgGoXJDoRv5M3NStgBBQ,part_352,2026-09-20 20:46:37
Larkipali Anganawadi,School,Government School,Government School,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",N/A,N/A,,,"PFF5+7M8, Larkipali, Balangir, Odisha 767024",Larkipali,20.723163,83.4591925,ChIJZffx9ZcPJDoRokiv3Tq2lBU,https://www.google.com/maps/place/?q=place_id:ChIJZffx9ZcPJDoRokiv3Tq2lBU,part_352,2026-09-20 20:46:38
"Ambapali,Aghariapali primary School",School,Primary school,Primary school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",N/A,N/A,,,"M8V9+XMJ, Ambapali Rd, Karlapita, Adendungri, Odisha 767024",767024,20.6949525,83.3191295,ChIJzbSfIeoXJDoRRC1SFaN_LnM,https://www.google.com/maps/place/?q=place_id:ChIJzbSfIeoXJDoRRC1SFaN_LnM,part_352,2026-09-20 20:46:38
"Govt U.P.School,Bargaon",School,General education school,General education school,767024,Odisha Circle,Sambalpur Region,Balangir Division,"Churapali S.O, Baidipali B.O, Barpudigia B.O",N/A,N/A,,,"M9R7+VFP, Balangir, Janakpur, Odisha 767024",767024,20.6922206,83.36369959999999,ChIJQQ891s4RJDoRYBDk1md3qv0,https://www.google.com/maps/place/?q=place_id:ChIJQQ891s4RJDoRYBDk1md3qv0,part_352,2026-09-20 20:46:38
