business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kusum Boutique,Boutiques,Designer Clothing Store,Designer Clothing Store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 90666 90214,N/A,5.0,10.0,"Tiger club Road, Shantipara, Balangir, Odisha 767002",767032,20.7088888,83.466443,ChIJ6yy_O3wPJDoRxhq4mECNsfA,https://www.google.com/maps/place/?q=place_id:ChIJ6yy_O3wPJDoRxhq4mECNsfA,part_353,2026-09-20 20:18:07,1413
S.P.U Creations (Sambalpuri Pindhan Udhan),Boutiques,Clothing store,Clothing store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 80180 57224,http://www.spucreations.com/,5.0,42.0,"Store :- 2, Store :- 1 Near SBI Bazar Branch Main Road, Chowk Main Road, near Mausi Mandir, Titilagarh, Odisha 767033",Jain Para,20.289652099999998,83.1523146,ChIJgV2GWjpZJDoRFjPy9ohis6w,https://www.google.com/maps/place/?q=place_id:ChIJgV2GWjpZJDoRFjPy9ohis6w,part_353,2026-09-20 20:18:07,1414
JP Collection,Boutiques,Designer Clothing Store,Designer Clothing Store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 85980 40400,N/A,4.0,48.0,"75Q2+WJM, Mandir Rd, Jain Para, Titilagarh, Odisha 767033",Jain Para,20.2898483,83.1515617,ChIJx_cRVlhZJDoRGFtNPZYMMTg,https://www.google.com/maps/place/?q=place_id:ChIJx_cRVlhZJDoRGFtNPZYMMTg,part_353,2026-09-20 20:18:07,1415
MAA MANGALA COLLECTION,Boutiques,Clothing store,Clothing store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 76829 64904,N/A,4.4,,"BUS STAND, MAIN ROAD, Sibatala, Odisha 767024",767032,20.666432999999998,83.3194393,ChIJveGjT-MVJDoR-kUohUVpc0U,https://www.google.com/maps/place/?q=place_id:ChIJveGjT-MVJDoR-kUohUVpc0U,part_353,2026-09-20 20:18:07,1416
Fashion House,Boutiques,Clothing store,Clothing store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",N/A,N/A,4.6,10.0,"Shankar chowk, Saintala, Kuanrgaon, Odisha 767032",Shankar chowk,20.443445699999998,83.35798729999999,ChIJKU3vR1lvJDoRGRtbEzBb4CA,https://www.google.com/maps/place/?q=place_id:ChIJKU3vR1lvJDoRGRtbEzBb4CA,part_353,2026-09-20 20:18:08,1417
CHHANDA fancy store,Boutiques,Beauty product supplier,"Beauty product supplier, Gift shop",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 94396 92370,N/A,4.0,4.0,"Bhawanipatna, road, Balangir, Saintala, Odisha 767032",767032,20.438871,83.3531596,ChIJUd6wVplvJDoRkQChufpN5WQ,https://www.google.com/maps/place/?q=place_id:ChIJUd6wVplvJDoRkQChufpN5WQ,part_353,2026-09-20 20:18:08,1418
Manju Emporium,Boutiques,Clothing store,Clothing store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",N/A,N/A,5.0,22.0,"75Q3+C8P, Thikadar para, Dharamshala, Titilagarh, Odisha 767033",Thikadar para,20.2885869,83.153325,ChIJxSNxq01ZJDoRnZRYacJBiEM,https://www.google.com/maps/place/?q=place_id:ChIJxSNxq01ZJDoRnZRYacJBiEM,part_353,2026-09-20 20:18:08,1419
Nandlala boutique,Boutiques,Women's clothing store,Women's clothing store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 82801 90474,N/A,,,"Tikrapara, Malpada, Balangir, Odisha 767001","Tikrapara, Malpada",20.699664199999997,83.4912202,ChIJC2CcKiEPJDoR1RHT94q-BtE,https://www.google.com/maps/place/?q=place_id:ChIJC2CcKiEPJDoR1RHT94q-BtE,part_353,2026-09-20 20:18:08,1420
Misty Home Shopping,Boutiques,Outlet mall,Outlet mall,767033,Odisha circle,Sambalpur Region,Balangir Division,"Alanda B.O, Bijepur B.O, Binekela B.O",N/A,N/A,5.0,,"75Q5+28X, Nilachakra Nagar, Titilagarh, Odisha 767033",Nilachakra Nagar,20.287502999999997,83.1583326,ChIJiaaFHgBZJDoRbmY5ApJQ110,https://www.google.com/maps/place/?q=place_id:ChIJiaaFHgBZJDoRbmY5ApJQ110,part_353,2026-09-20 20:18:52,6639
Krishna fashion boutique,Boutiques,Clothing store,Clothing store,767033,Odisha circle,Sambalpur Region,Balangir Division,"Alanda B.O, Bijepur B.O, Binekela B.O",+91 78942 55381,N/A,,,"Hatpada pada, Hatpada Para, Titilagarh, Odisha 767033","Hatpada pada, Hatpada Para",20.2878889,83.144813,ChIJx4z1QF5ZJDoR9_JR-LZEOcA,https://www.google.com/maps/place/?q=place_id:ChIJx4z1QF5ZJDoR9_JR-LZEOcA,part_353,2026-09-20 20:18:54,6640
PRADHAN'S SPORTS,Boutiques,Sports card store,Sports card store,767033,Odisha circle,Sambalpur Region,Balangir Division,"Alanda B.O, Bijepur B.O, Binekela B.O",+91 63700 44787,N/A,4.8,11.0,"Jain Para, Titilagarh, Odisha 767033",Jain Para,20.2899449,83.1510859,ChIJW3Z_agBZJDoReO4aafEj2bo,https://www.google.com/maps/place/?q=place_id:ChIJW3Z_agBZJDoReO4aafEj2bo,part_353,2026-09-20 20:18:54,6641
Swastik Fancy Store,Boutiques,Boutique,Boutique,767033,Odisha circle,Sambalpur Region,Balangir Division,"Alanda B.O, Bijepur B.O, Binekela B.O",N/A,N/A,,,"MAIN ROAD, Bijepur, Gurjibhata, Odisha 767033",767033,20.2169909,83.207932,ChIJfRfNkcFfJDoRKADt_-Ki6pA,https://www.google.com/maps/place/?q=place_id:ChIJfRfNkcFfJDoRKADt_-Ki6pA,part_353,2026-09-20 20:18:54,6642
The Makeup Store,Boutiques,Cosmetics store,Cosmetics store,767033,Odisha circle,Sambalpur Region,Balangir Division,"Alanda B.O, Bijepur B.O, Binekela B.O",+91 63720 87374,N/A,,,"1008, Daily Market Rd, Thikadar para, Titilagarh, Odisha 767033",Thikadar para,20.288000099999998,83.1540496,ChIJH9DhnJhZJDoR2Isv-OkrWtM,https://www.google.com/maps/place/?q=place_id:ChIJH9DhnJhZJDoR2Isv-OkrWtM,part_353,2026-09-20 20:18:54,6643
Binod fancy store sindhekela odisha,Boutiques,Cosmetics store,Cosmetics store,767035,Odisha circle,Sambalpur Region,Balangir Division,"Bhursaguda B.O, Chandotara B.O, Dedgaon B.O",+91 94375 87456,N/A,4.3,7.0,"near radha krishna temple, Sindhekela, Odisha 767035",767035,20.2259329,82.9379848,ChIJax6olBpVJDoRK--UPRDcM94,https://www.google.com/maps/place/?q=place_id:ChIJax6olBpVJDoRK--UPRDcM94,part_353,2026-09-20 20:19:40,8857
Dalchan Jain,Boutiques,Clothing store,Clothing store,767035,Odisha circle,Sambalpur Region,Balangir Division,"Bhursaguda B.O, Chandotara B.O, Dedgaon B.O",+91 95568 66989,N/A,5.0,1.0,"Maa Santoshi Cloth Store, Main Road, Sindhekela, Odisha 767035",767035,20.226752299999998,82.9385266,ChIJZZkTbPhVJDoRxmdImeCFA3g,https://www.google.com/maps/place/?q=place_id:ChIJZZkTbPhVJDoRxmdImeCFA3g,part_353,2026-09-20 20:19:40,8858
Mukesh cloth store,Boutiques,Clothing store,Clothing store,767035,Odisha circle,Sambalpur Region,Balangir Division,"Bhursaguda B.O, Chandotara B.O, Dedgaon B.O",+91 63703 65841,N/A,,,"Putupada chowk, Sindhekela, Odisha 767035",767035,20.230037799999998,82.9386883,ChIJQ1EVKRVVJDoRI1kP1xnW-aA,https://www.google.com/maps/place/?q=place_id:ChIJQ1EVKRVVJDoRI1kP1xnW-aA,part_353,2026-09-20 20:19:40,8859
