business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SA chemical,Chemical Wholesalers,Cleaning products supplier,Cleaning products supplier,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 99378 88111,N/A,5.0,3.0,"Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.9074279,83.1641562,ChIJB9s6H1zpJDoRr7qkEguCZpg,https://www.google.com/maps/place/?q=place_id:ChIJB9s6H1zpJDoRr7qkEguCZpg,part_353,2026-09-20 20:18:36,5349
URBAR ORGANICS,Chemical Wholesalers,Manufacturer,Manufacturer,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",N/A,N/A,4.9,21.0,"NEAR TPWODL GRID, DUMERBAHAL, BALANGIR-SONEPUR ROAD, NH57, Balangir, Odisha 767016",767032,20.7429854,83.6202216,ChIJ80qOqIb3IzoRISByhUMTKvU,https://www.google.com/maps/place/?q=place_id:ChIJ80qOqIb3IzoRISByhUMTKvU,part_353,2026-09-20 20:18:36,5350
"NEROLAC PERMA ADMIXTURE,CHEMICAL=GUPTA HARDWARE",Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Waterproofing service",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 93375 69771,https://www.nerolac.com/,4.9,7.0,"SANKARMATH,Bhatra, Dhanupali, Sambalpur, Odisha 768005",Dhanupali,21.435223699999998,83.9901994,ChIJIyLnTDwVIToRo5S8kfqJTwI,https://www.google.com/maps/place/?q=place_id:ChIJIyLnTDwVIToRo5S8kfqJTwI,part_353,2026-09-20 20:18:36,5351
Shree Balaji Chemicals,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 78916 45408,N/A,4.8,16.0,"Infront Of Satyam Hospital, Ekamra, Nandan Kanan Rd, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.297755799999997,85.8160625,ChIJfy_zPM8JGToRAAAAMD_xNU0,https://www.google.com/maps/place/?q=place_id:ChIJfy_zPM8JGToRAAAAMD_xNU0,part_353,2026-09-20 20:18:37,5352
Basukinath enterprises,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 96118 28810,http://www.basukinatgenterprises.com/,4.7,15.0,"Immadihalli Main Rd, Immadihalli, Whitefield, Bengaluru, Karnataka 560066","Immadihalli, Whitefield",12.967368599999999,77.7599907,ChIJwQhzreUNrjsR6JImp0Gg2JY,https://www.google.com/maps/place/?q=place_id:ChIJwQhzreUNrjsR6JImp0Gg2JY,part_353,2026-09-20 20:18:37,5353
Nayak Distributor,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Hardware store",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 90907 32950,N/A,5.0,2.0,"Plot no-44, E Canal Rd, near cover Bazar, Palasuni, Rasulgarh, Bhubaneswar, Odisha 751010","Palasuni, Rasulgarh",20.2993456,85.86392479999999,ChIJMUXljRELGToRxCGj-gtL4N4,https://www.google.com/maps/place/?q=place_id:ChIJMUXljRELGToRxCGj-gtL4N4,part_353,2026-09-20 20:18:37,5354
Supreme Chemicals,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 97772 92316,N/A,4.0,1.0,"7VR4+P99, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar, Odisha 751010","Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh",20.2917967,85.85598879999999,ChIJnQie5AQKGToR5yHQSWjzgAk,https://www.google.com/maps/place/?q=place_id:ChIJnQie5AQKGToR5yHQSWjzgAk,part_353,2026-09-20 20:18:37,5355
Sainath Enterprises,Chemical Wholesalers,Supplier,"Supplier, Chemical wholesaler",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 98450 36060,http://www.sainathenterprises.com/,4.6,37.0,"Kssidc Industrial Estate, C-100, ITPL Main Road, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048","Devasandra Industrial Estate, Mahadevapura",12.998538,77.6975399,ChIJx4HBpQ0RrjsRkndr299qNhk,https://www.google.com/maps/place/?q=place_id:ChIJx4HBpQ0RrjsRkndr299qNhk,part_353,2026-09-20 20:18:37,5356
A To Z Chemicals,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 98900 84001,N/A,4.3,11.0,"452 chowk, Phadke Haud, Raviwar Peth, Pune, Maharashtra 411002","Phadke Haud, Raviwar Peth",18.5185019,73.8596175,ChIJYccXVkLAwjsRkY0zBBa2Jno,https://www.google.com/maps/place/?q=place_id:ChIJYccXVkLAwjsRkY0zBBa2Jno,part_353,2026-09-20 20:18:37,5357
Kamala Enterprisees - Industrial Chemicals Exporter,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Chemical Exporter, Chemical Manufacturer",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 99625 75032,https://www.kamalachemicals.com/,4.8,18.0,"8th Floor, Block-A, Shivalaya Building, No. 815, Ethiraj Salai, Egmore, Chennai, Tamil Nadu 600008",Egmore,13.0663057,80.2557308,ChIJ4SHbcBFnUjoRae3Ee9235Ho,https://www.google.com/maps/place/?q=place_id:ChIJ4SHbcBFnUjoRae3Ee9235Ho,part_353,2026-09-20 20:18:37,5358
