business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MAHABALI CRANE SERVICES,Crane and Towing Service,Crane service,Crane service,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 76820 27876,N/A,4.0,,"Sambalpur Rd, Balangir, Odisha 767001",767032,20.7290237,83.4948277,ChIJGzhb0zAPJDoRVm15OTuZOkM,https://www.google.com/maps/place/?q=place_id:ChIJGzhb0zAPJDoRVm15OTuZOkM,part_353,2026-09-20 20:18:15,2552
HIRA CRANE SERVICE,Crane and Towing Service,Crane service,Crane service,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 99193 22165,N/A,4.5,,"Sambalpur Rd, near Yamaha showroom, Balangir, Odisha 767001",767032,20.717284799999998,83.49430989999999,ChIJU0SgkwIPJDoREs2BhBfmpOE,https://www.google.com/maps/place/?q=place_id:ChIJU0SgkwIPJDoREs2BhBfmpOE,part_353,2026-09-20 20:18:15,2553
DK Crane Service,Crane and Towing Service,Towing service,"Towing service, Crane rental agency, Crane service",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 63962 74158,https://dkcraneservice.online/,4.9,,"Shop No. 16, Khasra No. 5436, Sector 17, Old Delhi Gurgaon Rd, Om Vihar, Palam Vihar Extension, Gurugram, Haryana 122015","Om Vihar, Palam Vihar Extension",28.492409,77.05834,ChIJwVlU3lwZDTkRv70bqgI0oUg,https://www.google.com/maps/place/?q=place_id:ChIJwVlU3lwZDTkRv70bqgI0oUg,part_353,2026-09-20 20:18:15,2554
Monu Car Towing Service 24/7 Crane Service,Crane and Towing Service,Towing service,"Towing service, Service establishment",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 89695 67459,N/A,4.8,,"Monu Car Towing Service 24/7 Crane Service, 767032, India",767032,27.1690044,80.4267398,ChIJcyZBpBtNaakRbKHmceVl4iU,https://www.google.com/maps/place/?q=place_id:ChIJcyZBpBtNaakRbKHmceVl4iU,part_353,2026-09-20 20:18:15,2555
Drg Crane Service,Crane and Towing Service,Crane rental agency,Crane rental agency,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 99375 85178,https://www.drgcraneservice.com/,4.9,,"Shyam vihar, Badmal, Odisha 768202",767032,21.8235897,84.008034,ChIJD6OW8n7hIDoRkK12G-CoOxk,https://www.google.com/maps/place/?q=place_id:ChIJD6OW8n7hIDoRkK12G-CoOxk,part_353,2026-09-20 20:18:15,2556
Om Sai Break Down Crane Service,Crane and Towing Service,Crane service,"Crane service, Service establishment",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 98910 07292,N/A,4.8,,"Om Sai Break Down Crane Service, 767032, India",767032,28.8173025,76.1181175,ChIJxTGqZFjkDDkRZOtA9ZCWZOg,https://www.google.com/maps/place/?q=place_id:ChIJxTGqZFjkDDkRZOtA9ZCWZOg,part_353,2026-09-20 20:18:15,2557
New Shankar Crane Service,Crane and Towing Service,Crane service,"Crane service, Service establishment",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 72958 32028,N/A,5.0,,"New Shankar Crane Service, 767032, India",767032,24.745981,85.8070058,ChIJEeLqERe-ZYURwe59fjXXkpA,https://www.google.com/maps/place/?q=place_id:ChIJEeLqERe-ZYURwe59fjXXkpA,part_353,2026-09-20 20:18:15,2558
Chhatisgarh breakdown service,Crane and Towing Service,Towing service,"Towing service, Crane service",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 98930 41466,http://www.cgbreakdownservices.com/,4.7,,"Surya Vihar, 18, Pachpedi Naka, Raipur, Chhattisgarh 492001","Dharam Nagar, Pachpedi Naka",21.221618,81.6479859,ChIJeVGRIBDdKDoR707-r9PkwGE,https://www.google.com/maps/place/?q=place_id:ChIJeVGRIBDdKDoR707-r9PkwGE,part_353,2026-09-20 20:18:15,2559
Global Crane & Towing Service,Crane and Towing Service,Towing service,"Towing service, Service establishment",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 79824 39065,N/A,5.0,,"Global Crane & Towing Service, 767032, India",767032,28.7076875,77.1349694,ChIJT0ctrHsBDTkRWdjmXIzgk-U,https://www.google.com/maps/place/?q=place_id:ChIJT0ctrHsBDTkRWdjmXIzgk-U,part_353,2026-09-20 20:18:15,2560
Mahabir Crane Service,Crane and Towing Service,Towing service,"Towing service, Crane service",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 99377 25833,N/A,4.9,,"N.H-6, Bareipali, Sambalpur, Odisha 768006",Bareipali,21.4948002,83.9635675,ChIJD3JSKkUWIToRibcxwTN91b8,https://www.google.com/maps/place/?q=place_id:ChIJD3JSKkUWIToRibcxwTN91b8,part_353,2026-09-20 20:18:15,2561
