business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Agriculture Office, Muribahal",Offices,Government office,Government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,5.0,2.0,"92Q7+HR9, Unnamed Road, Ghantabahali, Odisha 767037",767037,20.3889073,83.0146171,ChIJjX70xkNPJDoRhoCHILtd-rg,https://www.google.com/maps/place/?q=place_id:ChIJjX70xkNPJDoRhoCHILtd-rg,part_353,2026-09-20 20:20:59
Bankel GP Office,Offices,Corporate office,Corporate office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,5.0,1.0,"834C+MXP, Salepara, Odisha 767037",767037,20.3067077,83.0724547,ChIJl_EB5llRJDoRFRBDvD4FvYI,https://www.google.com/maps/place/?q=place_id:ChIJl_EB5llRJDoRFRBDvD4FvYI,part_353,2026-09-20 20:20:59
TIKRAPADA (KL) RANGE OFFICE AND (CENTRAL GODOWNS),Offices,Government office,Government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,5.0,2.0,"G44R+624, Tikarapara, Sandhibahal, Odisha 767026",767037,20.5058532,83.13881549999999,ChIJbRJ-fwBHJDoR2sziyNV1BUg,https://www.google.com/maps/place/?q=place_id:ChIJbRJ-fwBHJDoR2sziyNV1BUg,part_353,2026-09-20 20:20:59
କେନ୍ଦୁପତ୍ର ଫଡି,Offices,Government office,Government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,5.0,1.0,"F3G6+R4Q, Khaliapali, Amjharan, Odisha 767037",767037,20.4770993,83.0603615,ChIJW7vbJwBPJDoRYzmYaK6ToMg,https://www.google.com/maps/place/?q=place_id:ChIJW7vbJwBPJDoRYzmYaK6ToMg,part_353,2026-09-20 20:20:59
CSC E GOVERNANCE INDIA LTD,Offices,Government office,Government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",+91 95564 21110,N/A,5.0,1.0,"1, Chaulsukha, Simnabahal, Odisha 767039",767037,20.4352296,82.9886781,ChIJ5byQRilMJDoRAAAA0G63h0I,https://www.google.com/maps/place/?q=place_id:ChIJ5byQRilMJDoRAAAA0G63h0I,part_353,2026-09-20 20:20:59
Forest Office,Offices,Corporate office,Corporate office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",+91 63700 92597,N/A,1.0,3.0,"938V+7GH, Dangabanji, Odisha 767037",767037,20.3656802,83.0938438,ChIJs5MHaU1bJDoRj8OG9_CW2Pg,https://www.google.com/maps/place/?q=place_id:ChIJs5MHaU1bJDoRj8OG9_CW2Pg,part_353,2026-09-20 20:20:59
Rajib Bhawan,Offices,Government office,Government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,5.0,1.0,"84M7+XWR, Unnamed Road, Tentulikhunti, Odisha 767037",767037,20.334999,83.1147634,ChIJmWAWSb9bJDoRQIBj1Qe9x-k,https://www.google.com/maps/place/?q=place_id:ChIJmWAWSb9bJDoRQIBj1Qe9x-k,part_353,2026-09-20 20:20:59
"Udyan Bhawan,Muribahal",Offices,Corporate office,Corporate office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,5.0,1.0,"92M3+9JF, Unnamed Road, Siletpara, Odisha 767037",767037,20.383442,83.0040527,ChIJaZtnMc5PJDoRWYSORzQJ-A4,https://www.google.com/maps/place/?q=place_id:ChIJaZtnMc5PJDoRWYSORzQJ-A4,part_353,2026-09-20 20:20:59
Maa Mangala Computer Patrapali,Offices,Government office,Government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,5.0,1.0,"9X44+VXG, DIST, Muribahal, Patrapali, Jamut, Odisha 767037",Muribahal,20.357087099999998,82.95716759999999,ChIJD8yJYgBTJDoRHXBfnRZuT_c,https://www.google.com/maps/place/?q=place_id:ChIJD8yJYgBTJDoRHXBfnRZuT_c,part_353,2026-09-20 20:20:59
Divisonal Forest Office (Kendu Leave),Offices,Local government office,Local government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,4.0,2.0,"843X+HW6, Unnamed Road, Saragiguda, Titilagarh, Odisha 767033",Saragiguda,20.3039046,83.1497763,ChIJH_DjkYdbJDoRhmIim2cduys,https://www.google.com/maps/place/?q=place_id:ChIJH_DjkYdbJDoRhmIim2cduys,part_353,2026-09-20 20:20:59
Karla post office (767037),Offices,Government office,Government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,https://www.ippbonline.com/,5.0,2.0,"C5H9+HXM, Karla, Odisha 767037",767037,20.4289569,83.16993459999999,ChIJ0cDslllDJDoRjZfS8WAN63o,https://www.google.com/maps/place/?q=place_id:ChIJ0cDslllDJDoRjZfS8WAN63o,part_353,2026-09-20 20:20:59
"Farm Information and Advisory Center, Muribahal. Dept of Agril & Farmers Empowerment Govt Of Odisha",Offices,Government office,Government office,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",N/A,N/A,5.0,1.0,"92Q7+HR9, beside Police Station, Muribahal, Ghantabahali, Odisha 767037",767037,20.388905899999997,83.01475669999999,ChIJNxuw1VBPJDoRy3Ij9pU5ohg,https://www.google.com/maps/place/?q=place_id:ChIJNxuw1VBPJDoRy3Ij9pU5ohg,part_353,2026-09-20 20:20:59
