business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lucky family home,Civil Contractor and Builder,Home builder,Home builder,767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",N/A,N/A,2.0,,"HQP8+2VM, Routpada, Dholmandal, Kushpali, Odisha 767038",Routpada,20.5850849,82.76716859999999,ChIJxf1LRADJJToRLqMkfqk61ig,https://www.google.com/maps/place/?q=place_id:ChIJxf1LRADJJToRLqMkfqk61ig,part_353,2026-09-20 20:21:22
Aadi bariha,Civil Contractor and Builder,Housing society,Housing society,767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",N/A,N/A,5.0,,"MR8C+2JQ, Kandeichhapar, Odisha 767038",767038,20.6647961,82.8219579,ChIJS4dbEFPNJToRANUni7UimLE,https://www.google.com/maps/place/?q=place_id:ChIJS4dbEFPNJToRANUni7UimLE,part_353,2026-09-20 20:21:22
Dakshya majhi home,Civil Contractor and Builder,Housing society,Housing society,767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",N/A,N/A,5.0,,"HQ4M+22M, Mahulpati, Baghuapara, Odisha 767038",767038,20.5550776,82.78254679999999,ChIJeWkJEgC3JToRPhuNYp644o0,https://www.google.com/maps/place/?q=place_id:ChIJeWkJEgC3JToRPhuNYp644o0,part_353,2026-09-20 20:21:22
Nanda Family,Civil Contractor and Builder,Housing society,Housing society,767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",N/A,N/A,5.0,,"PR9M+446, Odisha 767038",767038,20.717542899999998,82.8339398,ChIJqTVxNlDNJToR7qhxoe_b2c8,https://www.google.com/maps/place/?q=place_id:ChIJqTVxNlDNJToR7qhxoe_b2c8,part_353,2026-09-20 20:21:22
Jitaram House,Civil Contractor and Builder,Housing society,Housing society,767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",N/A,N/A,5.0,,"GQQW+4Q5, Kantabanji, Odisha 767060",767038,20.5377646,82.7969904,ChIJuyAHIQC3JToR9MAAlYcNZnQ,https://www.google.com/maps/place/?q=place_id:ChIJuyAHIQC3JToR9MAAlYcNZnQ,part_353,2026-09-20 20:21:22
MATARI (HOME),Civil Contractor and Builder,Housing society,Housing society,767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",N/A,N/A,5.0,,"JP59+MV3, Lahandopali, Kamkeda, Odisha 766106",767038,20.6091394,82.7196799,ChIJkU2DPwDHJToRklrycegJN00,https://www.google.com/maps/place/?q=place_id:ChIJkU2DPwDHJToRklrycegJN00,part_353,2026-09-20 20:21:22
Tankapani (sudam),Civil Contractor and Builder,Housing society,Housing society,767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",N/A,N/A,5.0,,"HQXF+H29, Harishankar Road, Khaprakhol, Gurjibhata, Odisha 767038",767038,20.5989155,82.7726101,ChIJQ0fjAFbJJToR0Sa1FD4wS6Y,https://www.google.com/maps/place/?q=place_id:ChIJQ0fjAFbJJToR0Sa1FD4wS6Y,part_353,2026-09-20 20:21:22
ତେତେଲ ପଡ଼ା,Civil Contractor and Builder,Housing society,Housing society,767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",N/A,N/A,4.5,,"MQ8G+RPJ, Jhalialiti, Odisha 767038",767038,20.6670765,82.77676629999999,ChIJK4AXutbPJToRqup2EXHLrYo,https://www.google.com/maps/place/?q=place_id:ChIJK4AXutbPJToRqup2EXHLrYo,part_353,2026-09-20 20:21:22
ASHA SALES AND SERVICE,Civil Contractor and Builder,Solar energy system service,"Solar energy system service, Real Estate Builders & Construction Company",767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",+91 6678 796 237,http://ashasalesservice.in/,5.0,3.0,"Khariar - Bhandarpuri Rd, near GOPABANDHU HIGH SCHOOL, Khariar Road, Odisha 766104",767038,20.883274099999998,82.50795529999999,ChIJPTv-SADhJToRwttoeZ4rVus,https://www.google.com/maps/place/?q=place_id:ChIJPTv-SADhJToRwttoeZ4rVus,part_353,2026-09-20 20:21:23
GK AND SONS ENGINEERING,Civil Contractor and Builder,Solar panel maintenance service,"Solar panel maintenance service, Solar energy system service, Solar energy equipment supplier",767038,Odisha Circle,Sambalpur Region,Balangir Division,"Harisankar Road S.O, Baddakala B.O, Bender B.O",+91 96923 88800,http://www.gkse.in/,5.0,103.0,"GK HOUSE, Banka, Odisha 766104",Banka,20.8842347,82.508042,ChIJP4dWEuvhJToRil3V6MQaXXs,https://www.google.com/maps/place/?q=place_id:ChIJP4dWEuvhJToRil3V6MQaXXs,part_353,2026-09-20 20:21:23
