business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MEGA LIFT IRRIGATION PROJECT SCHEME REKDOL,Industrial Equipment Suppliers,Pump supplier,Pump supplier,767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",N/A,N/A,5.0,2.0,"GJGC+M46, Taparna, Odisha 762018",767046,20.5266614,83.6202747,ChIJC_2dRpGLIzoRDR_OBnuG71o,https://www.google.com/maps/place/?q=place_id:ChIJC_2dRpGLIzoRDR_OBnuG71o,part_353,2026-09-20 20:26:02
RK AGRO,Industrial Equipment Suppliers,Agricultural machinery manufacturer,Agricultural machinery manufacturer,767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",N/A,N/A,,,"CH87+8M8, Gudbhela, Amgaon, Odisha 767046",767046,20.415795499999998,83.5641888,ChIJ35O8LQB3JDoR5rE-BDCTJ_k,https://www.google.com/maps/place/?q=place_id:ChIJ35O8LQB3JDoR5rE-BDCTJ_k,part_353,2026-09-20 20:26:02
Padhan Fertilizer Shop,Industrial Equipment Suppliers,Fertilizer Store,Fertilizer Store,767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",+91 99384 45784,N/A,3.4,5.0,"at/po-teresinga,via-risida, dist, Bhawanipatna, Odisha 766031",767046,20.3969789,83.43817539999999,ChIJ_2Udt6B6JDoRAvnNaFjijIg,https://www.google.com/maps/place/?q=place_id:ChIJ_2Udt6B6JDoRAvnNaFjijIg,part_353,2026-09-20 20:26:02
"Satya JCB, Raigarh, Authorised Dealer Of JCB",Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",+91 92019 73569,https://satyajcb.com/outlet-view/HMddRXo.aYh8IoUxj3JCNBrMRFv4EHXIg6.lPLXzjzksUFAkkHH6ekJmSNTYmLOJYMflvdp836Agr37wdmkMRg--,4.8,20.0,"NH-49, Odisha Road, Banjipali, Raigarh, Chhattisgarh 496001",Banjipali,21.8686252,83.39967829999999,ChIJY3hC0SE7JzoRMFEroYfvvTQ,https://www.google.com/maps/place/?q=place_id:ChIJY3hC0SE7JzoRMFEroYfvvTQ,part_353,2026-09-20 20:26:02
Julu's Welding,Industrial Equipment Suppliers,Welding supply store,"Welding supply store, Fabrication Engineer, Iron works, Poultry farm, Repair service, Warehouse",767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",+91 98535 34544,N/A,,,"Basudevpali, Manamunda, Odisha 762016",767046,20.8297356,83.92641929999999,ChIJVVVVlZHnIzoR44XtEWGjSUQ,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlZHnIzoR44XtEWGjSUQ,part_353,2026-09-20 20:26:02
Samaleswari Fertilizer Tusra,Industrial Equipment Suppliers,Fertilizer Store,Fertilizer Store,767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",N/A,N/A,4.8,5.0,"FFQM+XXG, Odisha 767030",767046,20.489934599999998,83.4849448,ChIJ_3MbUIpxJDoRaEVJ8UtdWvQ,https://www.google.com/maps/place/?q=place_id:ChIJ_3MbUIpxJDoRaEVJ8UtdWvQ,part_353,2026-09-20 20:26:02
Tandia Welding Work Shope,Industrial Equipment Suppliers,Welding supply store,Welding supply store,767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",N/A,N/A,,,"FMWF+CGJ, Ambagam, Odisha 762018",767046,20.4960851,83.6737526,ChIJLyh3RwiJIzoRsZCoDii1yM0,https://www.google.com/maps/place/?q=place_id:ChIJLyh3RwiJIzoRsZCoDii1yM0,part_353,2026-09-20 20:26:02
Kumar Engineering India Private Limited,Industrial Equipment Suppliers,Machining manufacturer,"Machining manufacturer, Machine maintenance service, Machinery parts manufacturer",767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",+91 82229 31401,https://kumarengineeringco.in/,4.6,,"Khatri Industrial Area, Sampla - Beri Rd, Sampla, Ismaila-B, Haryana 124501",767046,28.764920099999998,76.7293713,ChIJw0Zw8PafDTkRjDYg1kQrCC4,https://www.google.com/maps/place/?q=place_id:ChIJw0Zw8PafDTkRjDYg1kQrCC4,part_353,2026-09-20 20:26:03
AK TOOLS,Industrial Equipment Suppliers,Machine shop,"Machine shop, Agricultural machinery manufacturer, Garden machinery supplier, Machine construction, Machine maintenance service, Machine repair service, Machine workshop, Tool store, Tools Wholesaler",767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",+91 75379 30094,N/A,3.2,,"Nuapatna, Maachhua Bazar, Kataka, Odisha 753001","Nuapatna, Maachhua Bazar",20.4743063,85.88444109999999,ChIJJyMpS38SGToR3RCVNUEorXU,https://www.google.com/maps/place/?q=place_id:ChIJJyMpS38SGToR3RCVNUEorXU,part_353,2026-09-20 20:26:03
Charam Firm Equipment (P) Ltd,Industrial Equipment Suppliers,Tractor dealer,Tractor dealer,767046,Odisha Circle,Sambalpur Region,Balangir Division,"Gudvella S.O, Dhanpur B.O, Ghuna B.O",+91 94371 92431,N/A,4.6,,"F6JP+W97, Penji Sahi, Electric Colony, Phulbani, Odisha 762001",Electric Colony,20.482289599999998,84.2359172,ChIJ6dL1PBuzIzoRKpgxqsYDzv8,https://www.google.com/maps/place/?q=place_id:ChIJ6dL1PBuzIzoRKpgxqsYDzv8,part_353,2026-09-20 20:26:04
