business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ashish fitnesszone,Fitness Chains,Gym,Gym,767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 89175 07419,https://instagram.com/ashishfitnesszone?igshid=MzNlNGNkZWQ4Mg==,4.8,178.0,"7539+2QM, Jayabad, Jagatsinghpur, Odisha 754103",767068,20.2525625,86.1694375,ChIJGb50SmuDGToRciiT8WDxJaY,https://www.google.com/maps/place/?q=place_id:ChIJGb50SmuDGToRciiT8WDxJaY,part_353,2026-09-20 20:31:29
GLOBAL FITNESS,Fitness Chains,Gym,Gym,767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 97763 88511,N/A,4.9,39.0,"754C+G2J, Jagatsinghpur, Odisha 754103",767068,20.2563486,86.17002649999999,ChIJi1G-UQSDGToRgeBE_FI1Lws,https://www.google.com/maps/place/?q=place_id:ChIJi1G-UQSDGToRgeBE_FI1Lws,part_353,2026-09-20 20:31:29
Mahaveer Gym,Fitness Chains,Gym,Gym,767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 99371 41565,N/A,4.3,39.0,"9565+2GM, Raghunathpur, Chandapur, Odisha 754132",767068,20.360095899999997,86.15879269999999,ChIJr2NWXj95GToRddpmIhTYcVg,https://www.google.com/maps/place/?q=place_id:ChIJr2NWXj95GToRddpmIhTYcVg,part_353,2026-09-20 20:31:29
Kings fitness,Fitness Chains,Gym,Gym,767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 89841 73032,https://instagram.com/_kingsfitness_?igshid=MzMyNGUyNmU2YQ==,4.9,77.0,"Kings Fitness, near New Kamala Medicine Hall, Ujalpur, Kujang, Paradeep, Odisha 754141",Ujalpur,20.3211336,86.52562569999999,ChIJj_ow6ZzLGzoRjfeR2KXLM7A,https://www.google.com/maps/place/?q=place_id:ChIJj_ow6ZzLGzoRjfeR2KXLM7A,part_353,2026-09-20 20:31:29
MHAVEER FITNESS WORLD,Fitness Chains,Gym,Gym,767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 70088 11898,N/A,4.2,52.0,"Jagatsinghpur - Paradip Rd, Jagatsinghpur, Odisha 754103",767068,20.2530872,86.1778112,ChIJVY7a2qCBGToRqzZECvWXpj0,https://www.google.com/maps/place/?q=place_id:ChIJVY7a2qCBGToRqzZECvWXpj0,part_353,2026-09-20 20:31:29
Venus Fitness,Fitness Chains,Fitness center,Fitness center,767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 94377 97270,N/A,4.5,122.0,"Paradeep zeropoint, NH 53, Paradeep, Odisha 754120",767068,20.304113599999997,86.6405228,ChIJRYzMtW-1GzoRXPq0-zqyKJM,https://www.google.com/maps/place/?q=place_id:ChIJRYzMtW-1GzoRXPq0-zqyKJM,part_353,2026-09-20 20:31:29
Emerge private fitness studio,Fitness Chains,Gym,"Gym, Fitness center",767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 96068 85111,N/A,4.8,,"Shop No. 26, 2nd Floor, No. 164/B, 24th Cross Rd, near Yediyur lake, Jayanagar 6th Block, Jayanagar, Bengaluru, Karnataka 560070","Jayanagar 6th Block, Jayanagar",12.931909099999999,77.57589279999999,ChIJH4YmhJoVrjsRMH98M4hKOYw,https://www.google.com/maps/place/?q=place_id:ChIJH4YmhJoVrjsRMH98M4hKOYw,part_353,2026-09-20 20:31:30
Gym Equipments Wholesale & Retail Store,Fitness Chains,Fitness Equipment Wholesaler,"Fitness Equipment Wholesaler, Gym, Sporting goods store, Weightlifting area",767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 90230 41147,https://www.instagram.com/gymequipmentswholesale?igsh=MTdiMHlpdHZsMW9yeg==,4.8,98.0,"Samrala Chowk, 4164 ,STREET NO 4, Chandigarh Rd, Karam Colony, Beantpura, Ludhiana, Punjab 141003","Karam Colony, Beantpura, Sector 39-A",30.909077999999997,75.8834837,ChIJy8Bmzc-DGjkRXLouky-Q79g,https://www.google.com/maps/place/?q=place_id:ChIJy8Bmzc-DGjkRXLouky-Q79g,part_353,2026-09-20 20:31:31
Span fitness equipment,Fitness Chains,Exercise equipment store,Exercise equipment store,767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 98666 54725,https://spanfitness.in/,5.0,1327.0,"Shop No-4 & 5, 29-19-29/1,CSI Ashirvad Complex Bishop School Compound, Red Cir, Vijayawada, Andhra Pradesh 520010",Buckinghampeta,16.5074064,80.63702049999999,ChIJpwNGje7xNToRar1aJ1LSKy0,https://www.google.com/maps/place/?q=place_id:ChIJpwNGje7xNToRar1aJ1LSKy0,part_353,2026-09-20 20:31:31
Stayoung fitness equipments,Fitness Chains,Exercise equipment store,"Exercise equipment store, Fitness Equipment Wholesaler, Repair service",767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 95241 50505,http://www.onlinegymstore.com/,4.9,256.0,"1st Floor, NO:1705 A, Trichy Rd, near Max Showroom, opp. All India Radio, Olymbus, Olympus, Ramanathapuram, Coimbatore, Tamil Nadu 641045","Olymbus, Olympus",10.9982097,76.9894034,ChIJ8wFXWsFZqDsRx5bNbflRXMk,https://www.google.com/maps/place/?q=place_id:ChIJ8wFXWsFZqDsRx5bNbflRXMk,part_353,2026-09-20 20:31:31
"GO ACTIV INTERNATIONAL - Outdoor Fitness Equipment In Bangalore, outdoor gym equipment, Outdoor Garden Bench",Fitness Chains,Fitness Equipment Wholesaler,"Fitness Equipment Wholesaler, Children's furniture store, Exercise equipment store, Plywood supplier, Woodworker, Woodworking supply store",767068,Odisha Circle,Sambalpur Region,Balangir Division,"Lachhipur S.O, Kutasingha B.O, Lupursingha B.O",+91 99168 80713,http://goactiv.in/,4.9,93.0,"16/1, Rashtriya Vidyalaya Rd, near South End Metro Station, Basavanagudi, Bengaluru, Karnataka 560004",Basavanagudi,12.938407699999999,77.579689,ChIJNUauHJQVrjsRnLTvDc7Gd2s,https://www.google.com/maps/place/?q=place_id:ChIJNUauHJQVrjsRnLTvDc7Gd2s,part_353,2026-09-20 20:31:31
