business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
karma enterprises,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 62912 58895,https://myswipe.store/MSKARMAENTERPRISES---557989,5.0,,"6, Sastitala Rd, Narkeldanga, Kolkata, West Bengal 700011",Narkeldanga,22.5755136,88.3805916,ChIJlzckCtt3AjoRclCXggjji4U,https://www.google.com/maps/place/?q=place_id:ChIJlzckCtt3AjoRclCXggjji4U,part_353,2026-09-20 20:32:45
Sandheya Agency - FMCG Distributor,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 98686 32757,N/A,5.0,,"Office No. 6 & 7, Ground Floor, Shidhartha Place, HIG Flats, Chander Nagar, Surya Nagar, Ghaziabad, Uttar Pradesh 201011","HIG Flats, Chander Nagar, Surya Nagar",28.6682904,77.33117,ChIJk2jDluT7DDkRtPUbb1VQw_Q,https://www.google.com/maps/place/?q=place_id:ChIJk2jDluT7DDkRtPUbb1VQw_Q,part_353,2026-09-20 20:32:45
Sami Agro Food Products Pvt Ltd,FMCG Distributor,FMCG Manufacturer,FMCG Manufacturer,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 78725 93535,https://www.samiji.in/,4.9,,"35, Ganesh Chandra Ave, Chandni Chawk, Bowbazar, Kolkata, West Bengal 700012","Chandni Chawk, Bowbazar",22.567588399999998,88.35685869999999,ChIJ23rqkG13AjoRoZlA4owkQI0,https://www.google.com/maps/place/?q=place_id:ChIJ23rqkG13AjoRoZlA4owkQI0,part_353,2026-09-20 20:32:45
SREE SUPER STOCKIST,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, School supply store, Stationery wholesaler",767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 73584 52452,N/A,4.9,,"31/20, Gangadeeshwar Koil St, Purasaiwakkam, Chennai, Tamil Nadu 600084",Purasaiwakkam,13.084698,80.2550997,ChIJfa3_EMJlUjoRhKeVdGiH2fQ,https://www.google.com/maps/place/?q=place_id:ChIJfa3_EMJlUjoRhKeVdGiH2fQ,part_353,2026-09-20 20:32:45
UpRising Distribution Co.,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 98996 99336,http://www.theuprising.in/,4.9,,"MEI Compound, GT Rd, Loni Industrial Area, Mohan Nagar, Ghaziabad, Uttar Pradesh 201007","Loni Industrial Area, Mohan Nagar",28.676918999999998,77.396121,ChIJaav2tpP7DDkRVAD0_9neGVA,https://www.google.com/maps/place/?q=place_id:ChIJaav2tpP7DDkRVAD0_9neGVA,part_353,2026-09-20 20:32:45
KESARI AGENCY,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",N/A,https://kesari-agency.grexa.site/,4.5,,"No.15, 8, Bunder Street, Parry's Corner, George Town, Chennai, Tamil Nadu 600001","Parry's Corner, George Town",13.0909003,80.2827156,ChIJgQVA1yRvUjoR_U14_TrG-R8,https://www.google.com/maps/place/?q=place_id:ChIJgQVA1yRvUjoR_U14_TrG-R8,part_353,2026-09-20 20:32:45
tekfoods,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 98318 24029,N/A,3.7,,"Infinity Benchmark ,6th floor,suite no .606 plot no . G1, , Block EP & GP, Sector V, Kolkata, West Bengal 700091","GP Block, Sector V, Bidhannagar",22.569307,88.43348499999999,ChIJ4yIsUpl1AjoR4_OUQJ2vm5w,https://www.google.com/maps/place/?q=place_id:ChIJ4yIsUpl1AjoR4_OUQJ2vm5w,part_353,2026-09-20 20:32:45
SHRI SWASTIK MART,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 99931 47639,N/A,,,"356A, 40 Feet Rd, near Hawa Bangala Road, Vidur Nagar, Indore, Madhya Pradesh 452009",Vidur Nagar,22.6824908,75.8146969,ChIJ8dNN6PH9YjkRkjbJ2BcfrUo,https://www.google.com/maps/place/?q=place_id:ChIJ8dNN6PH9YjkRkjbJ2BcfrUo,part_353,2026-09-20 20:32:45
Mohanta Distributors & Services,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",N/A,N/A,5.0,,"31 Ramkrishna Road Dum Dum cantonment, Rabindra Nagar, Balaka Natun Bazar, Subhash Nagar, North Dumdum, South Dumdum, West Bengal 700065","Rabindra Nagar, Balaka Natun Bazar, Subhash Nagar, North Dumdum",22.6388797,88.4068862,ChIJkUk2UgCf-DkRgXl32CGEiw4,https://www.google.com/maps/place/?q=place_id:ChIJkUk2UgCf-DkRgXl32CGEiw4,part_353,2026-09-20 20:32:45
Goyal Tradco,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 70003 99417,N/A,5.0,,"75/2 Sk, SR Compound Rd, Dewas Naka, Lasudia Mori, Indore, Madhya Pradesh 452010","Dewas Naka, Lasudia Mori",22.7813053,75.9097414,ChIJbRzlWwAdYzkR-1mv7pBheqA,https://www.google.com/maps/place/?q=place_id:ChIJbRzlWwAdYzkR-1mv7pBheqA,part_353,2026-09-20 20:32:45
Pinaki Retail,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,767071,Odisha circle,Sambalpur Region,Balangir Division,"Sauntpur B.O, Durgapali B.O, Bileisarda B.O",+91 95825 70438,https://www.pinakiretail.com/,4.8,6.0,"Shed A-22, Ansal Palam Udyog, Plot No 3, Maruti Udyog, Sector 18, Gurugram, Haryana 122015","Maruti Udyog, Sector 18",28.491073,77.0639278,ChIJJ9FwDhcZDTkRKmjI1K6lzyU,https://www.google.com/maps/place/?q=place_id:ChIJJ9FwDhcZDTkRKmjI1K6lzyU,part_353,2026-09-20 20:32:46
