business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adidhara Oil Processing Unit,Edible Oil Wholesaler,Food Processing Company,Food Processing Company,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",N/A,N/A,5.0,,"3XX6+XP2, Rangiamunda, Odisha 770002",768001,22.0998985,83.9617722,ChIJiT4JVQDrIDoRlHUTCvIbXks,https://www.google.com/maps/place/?q=place_id:ChIJiT4JVQDrIDoRlHUTCvIbXks,part_353,2026-09-20 20:33:29
UNIQUE ENTERPRISE ( EDIBLE / COOKING OIL ),Edible Oil Wholesaler,Wholesaler,Wholesaler,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",N/A,N/A,4.6,,"141/A SAFUI PARA BAIDYA PARA KOLKATA-700 078 Post Office : HALTU Police Station :, West Bengal 700078","Arobindo Park, Haltu",22.4999198,88.3833233,ChIJbxZDQEdxAjoRYe1PJOVMaWg,https://www.google.com/maps/place/?q=place_id:ChIJbxZDQEdxAjoRYe1PJOVMaWg,part_353,2026-09-20 20:33:29
Shree Uday Oil & Foods Industries,Edible Oil Wholesaler,Food products supplier,Food products supplier,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 93770 11342,https://udayoilgroup.com/,4.9,,"Plot No. 3240, Ta, Phase 3, GIDC Chhatral, Kalol, Chhatral, Gujarat 382729","Phase 3, GIDC Chhatral",23.2915976,72.448796,ChIJM40cs1QlXDkRlXEUWW6XKkA,https://www.google.com/maps/place/?q=place_id:ChIJM40cs1QlXDkRlXEUWW6XKkA,part_353,2026-09-20 20:33:29
Teli Organics,Edible Oil Wholesaler,Food Processing Company,Food Processing Company,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 98932 82444,http://teliorganics.com/,5.0,,"New Marine Drive, Circuit House Rd, near Pushp Vatika, Raigarh, Chhattisgarh 496001",Madhuban Para,21.900854,83.404395,ChIJMQoAr4clJzoRDx44fN0Jh10,https://www.google.com/maps/place/?q=place_id:ChIJMQoAr4clJzoRDx44fN0Jh10,part_353,2026-09-20 20:33:30
Maa Bindhyabasini Enterprises,Edible Oil Wholesaler,Wholesaler,Wholesaler,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 99371 00852,N/A,5.0,6.0,"FXW7+5HV, Bareipali, Sambalpur, Odisha 768006",Bareipali,21.4954899,83.9639363,ChIJ394UzVoWIToRHo0SJ8aOsGA,https://www.google.com/maps/place/?q=place_id:ChIJ394UzVoWIToRHo0SJ8aOsGA,part_353,2026-09-20 20:33:30
Jai Shankar Galla Bhandar,Edible Oil Wholesaler,Wholesaler,"Wholesaler, Shopping mall",768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 98610 76551,N/A,5.0,2.0,"1, Main Road, Khetrajpur, Sambalpur, Odisha 768003",Khetrajpur,21.486347,83.9556379,ChIJh5IuMkAWIToRXqRZ4UfyfhQ,https://www.google.com/maps/place/?q=place_id:ChIJh5IuMkAWIToRXqRZ4UfyfhQ,part_353,2026-09-20 20:33:30
DISHA ENTERPRISES,Edible Oil Wholesaler,Indian grocery store,Indian grocery store,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 94390 27507,N/A,4.5,20.0,"Nr.Sai temple Shantinagar, Odisha 768004",Danipali,21.4834452,83.976064,ChIJt_TQ81EXIToR5RSA1rQx9u4,https://www.google.com/maps/place/?q=place_id:ChIJt_TQ81EXIToR5RSA1rQx9u4,part_353,2026-09-20 20:33:30
RK LUBE,Edible Oil Wholesaler,Auto parts store,Auto parts store,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 82491 06044,N/A,5.0,1.0,"p, panchgachhia, Sambalpur, Odisha 768003",Panchagochhia,21.4945588,83.9744882,ChIJpbs2t1gXIToR4isRKCF25UQ,https://www.google.com/maps/place/?q=place_id:ChIJpbs2t1gXIToR4isRKCF25UQ,part_353,2026-09-20 20:33:30
Parmeshwari Traders,Edible Oil Wholesaler,General store,General store,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 91788 77370,N/A,4.6,30.0,"FXR5+2P5, Road, Sabat Colony, Bareipali, Sambalpur, Odisha 768006","Sabat Colony, Bareipali",21.4900219,83.9593697,ChIJhyko6EMWIToRnGqvn6pM7Dk,https://www.google.com/maps/place/?q=place_id:ChIJhyko6EMWIToRnGqvn6pM7Dk,part_353,2026-09-20 20:33:30
Indane - Lipi Gas Service,Edible Oil Wholesaler,Gas Agency,"Gas Agency, Gas cylinders supplier, Gas shop, LPG conversion",768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 94370 50808,https://locator.iocl.com/indane/indane-lipi-gas-service-gas-agency-ainthapali-sambalpur-219746/Home?utm_source=locator&utm_medium=googleplaces,2.9,190.0,"Kainsir Rd, near Indian Oil Divisional Office, Ainthapali, Sambalpur, Odisha 768006",Ainthapali,21.50173,83.98577999999999,ChIJV4XI0OQWIToRbVlcBaINNMo,https://www.google.com/maps/place/?q=place_id:ChIJV4XI0OQWIToRbVlcBaINNMo,part_353,2026-09-20 20:33:31
Mahindra Tractors - Sri Sankar Trading,Edible Oil Wholesaler,Tractor dealer,"Tractor dealer, Farm Equipment Repair Shop, Farm equipment supplier, Tractor repair shop",768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 8071 639 139,https://dealer.mahindratractor.com/mahindra-tractors/tractor-showroom-in-sambalpur/tractor-showroom-in-ainthapali/mahindra-tractors-sri-sankar-trading-in-ainthapali-sambalpur--a46a210f-268b-486d-8f52-bb33fd91f45d/home,4.8,60.0,"Bus Stand, Plot No 561, nearby Aithapalli, Ainthapali, Sambalpur, Odisha 768004",Ainthapali,21.494185599999998,83.9843975,ChIJf6W-3PEWIToRhvbDcae8_Rc,https://www.google.com/maps/place/?q=place_id:ChIJf6W-3PEWIToRhvbDcae8_Rc,part_353,2026-09-20 20:33:31
