business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Apprize Higher Secondary School (Science,Commerce)",Junior College and Degree College,Junior college,"Junior college, College",768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 78489 34935,https://apprizecollege.in/,4.4,122,"SH10, Ainthapali, Sambalpur, Baidarnuapali, Odisha 768006",Ainthapali,21.4947491,83.9943595,ChIJFW-V5gAXIToRYQejanjgygw,https://www.google.com/maps/place/?q=place_id:ChIJFW-V5gAXIToRYQejanjgygw,part_353,2026-09-20 20:33:57
Dr. J.K.S. College,Junior College and Degree College,College,College,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",N/A,N/A,4.4,79,"G4Q5+56C, Parmanpur, Odisha 768200",768001,21.537948099999998,84.10800739999999,ChIJa_Fai90PIToRobGMfeKPOCU,https://www.google.com/maps/place/?q=place_id:ChIJa_Fai90PIToRobGMfeKPOCU,part_353,2026-09-20 20:33:57
Sandilya College Of Science,Junior College and Degree College,Educational institution,Educational institution,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 95830 32204,http://sandilyacollege.com/,3.7,47,"FXHJ+626, Dehuripali, Budharaja, Sambalpur, Odisha 768001","Dehuripali, Budharaja",21.478842699999998,83.9810479,ChIJO8_IwI4WIToRvgFMMi1IwvI,https://www.google.com/maps/place/?q=place_id:ChIJO8_IwI4WIToRvgFMMi1IwvI,part_353,2026-09-20 20:33:57
Govt.Women's College Sambalpur,Junior College and Degree College,Government college,Government college,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",N/A,http://www.gwcsbp.in/,4.3,314,"FX7M+MHC, Sakhipara, Sambalpur, Odisha 768001",Sakhipara,21.4641901,83.9839039,ChIJVVVVVZkWIToRE5v75v-3Kcw,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVZkWIToRE5v75v-3Kcw,part_353,2026-09-20 20:33:58
St.Joseph's Junior College (AC Campus),Junior College and Degree College,Junior college,Junior college,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 40 2761 3211,https://st-josephs.in/,4.3,319,"Himayat Nagar Rd, Venkata swamy Nagar, Narayanguda, Hyderabad, Telangana 500029","Venkata swamy Nagar, Narayanguda",17.4018901,78.4882499,ChIJlU_qDMOZyzsRQ8h_adWMZsw,https://www.google.com/maps/place/?q=place_id:ChIJlU_qDMOZyzsRQ8h_adWMZsw,part_353,2026-09-20 20:33:58
D R Junior College,Junior College and Degree College,Junior college,Junior college,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 89775 48029,https://dracademy.co.in/,4.8,183,"Plot # 338, near North gate # 1, Mathrusree Nagar, Hafeezpet, Hyderabad, Telangana 500049","Mathrusree Nagar, Hafeezpet",17.495097299999998,78.37044759999999,ChIJEaxSIL6TyzsRK_D7zoFhUsQ,https://www.google.com/maps/place/?q=place_id:ChIJEaxSIL6TyzsRK_D7zoFhUsQ,part_353,2026-09-20 20:33:58
Sri Saraswathi Junior College,Junior College and Degree College,Junior college,"Junior college, After school program, Educational institution",768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 91334 44771,https://ssaraswathi.com/?utm_source=gmb&utm_medium=hp,4.9,1703,"Sri Saraswathi Junior College, 8-2-609/M, Rd Number 11, near Minerva Grand Hotel, opposite Dawood Jung Valley, Gaffar Khan Colony, Banjara Hills, Hyderabad, Telangana 500034","Gaffar Khan Colony, Banjara Hills",17.4138257,78.4427396,ChIJRRX7WguXyzsRZefWxSZVur0,https://www.google.com/maps/place/?q=place_id:ChIJRRX7WguXyzsRZefWxSZVur0,part_353,2026-09-20 20:33:58
Rajkumar College of Information Technology and Management,Junior College and Degree College,Educational institution,"Educational institution, College",768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 99371 92570,N/A,3.8,23,"S.R.I.T. Colony, Budharaja, Sambalpur, Odisha 768004","S.R.I.T. Colony, Budharaja",21.486155399999998,83.9832521,ChIJQ5Pe82QXIToRsR6mTULW5ME,https://www.google.com/maps/place/?q=place_id:ChIJQ5Pe82QXIToRsR6mTULW5ME,part_353,2026-09-20 20:33:59
Gangadhar Meher University Sambalpur,Junior College and Degree College,University,"University, Public university",768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",N/A,http://gmuniversity.ac.in/,4.4,2130,"Fatak, Over Bridge, Modipada, Sambalpur, Odisha 768001",Modipada,21.4768372,83.9747938,ChIJU4myZ4gWIToR9UztDperr0k,https://www.google.com/maps/place/?q=place_id:ChIJU4myZ4gWIToR9UztDperr0k,part_353,2026-09-20 20:33:59
Newton College of +2 Science,Junior College and Degree College,Residential college,Residential college,768001,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sambalpur H.O, Bss Nagar S.O, Golebazar S.O",+91 93373 01382,https://www.newtoncollegesbp.org/,3.9,215,"State Highway 10 Majhipali, Chowk, Debaipali, Odisha 768006",Chowk,21.5411492,84.02390419999999,ChIJM0CnzbYQIToRp7UW_le34KA,https://www.google.com/maps/place/?q=place_id:ChIJM0CnzbYQIToRp7UW_le34KA,part_353,2026-09-20 20:33:59
