business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Google Corner,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",+91 95565 00495,N/A,4.2,27.0,"8JW4+JJ6, Bargarh, Odisha 768038",768028,21.3465414,83.6065057,ChIJTzg0P6RKIToR9xd9CtxvoJI,https://www.google.com/maps/place/?q=place_id:ChIJTzg0P6RKIToR9xd9CtxvoJI,part_353,2026-09-20 20:43:34
Mo Seva Kendra,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",N/A,N/A,3.0,2.0,"Shop No. 1, Satpathy Complex, George High School-Bandutikra Rd, Dhanger, Bargarh, Odisha 768028",768028,21.341942799999998,83.61732959999999,ChIJ6RaiHQBLIToR_VyHOJUX90U,https://www.google.com/maps/place/?q=place_id:ChIJ6RaiHQBLIToR_VyHOJUX90U,part_353,2026-09-20 20:43:34
SARAT CSC CENTER,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",+91 93486 01957,N/A,,,"Super Market, Bargarh Rd, Bargarh, Odisha 768028",768028,21.3426436,83.6218858,ChIJefuCmARLIToRSqK179NiGsw,https://www.google.com/maps/place/?q=place_id:ChIJefuCmARLIToRSqK179NiGsw,part_353,2026-09-20 20:43:34
ALL IN ONE COMMON SERVICE CENTER,Internet Cafe,Internet cafe,"Internet cafe, Internet shop",768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",+91 97780 73712,N/A,4.2,11.0,"infront of RLY road, Railway Station - Gurudwara Chowk Rd, Bargarh, Odisha 768028",768028,21.3471612,83.6318806,ChIJ1Xy33YZKIToRqXeIdL46UOA,https://www.google.com/maps/place/?q=place_id:ChIJ1Xy33YZKIToRqXeIdL46UOA,part_353,2026-09-20 20:43:34
Sai Internet cafe,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",+91 6646 231 452,N/A,3.0,1.0,"8JWJ+QWF, Station road, Railway Station - Gurudwara Chowk Rd, Bargarh, Odisha 768028",768028,21.3469417,83.63230349999999,ChIJw6Uc4oZKIToR1_u9haESPqU,https://www.google.com/maps/place/?q=place_id:ChIJw6Uc4oZKIToR1_u9haESPqU,part_353,2026-09-20 20:43:34
Gajalaxmi mandir word no 13,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",N/A,N/A,5.0,1.0,"8JHF+HXX, Panchayat College Rd, Ganesh Nagar, Bargarh, Odisha 768028",Ganesh Nagar,21.328982099999998,83.62499299999999,ChIJpdA8cgBLIToRJEDAIV9u77w,https://www.google.com/maps/place/?q=place_id:ChIJpdA8cgBLIToRJEDAIV9u77w,part_353,2026-09-20 20:43:34
Dadhibaman Csc And Online Service,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",+91 96681 29612,N/A,5.0,1.0,"Shop No 135, Super Market, Bargarh, Odisha 768028",768028,21.3426105,83.6217338,ChIJiRxLuFVLIToROv3z3DcH71c,https://www.google.com/maps/place/?q=place_id:ChIJiRxLuFVLIToROv3z3DcH71c,part_353,2026-09-20 20:43:34
RD cyber cafe,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",N/A,N/A,,,"Infront of District court, Bargarh, Odisha 768028",768028,21.3389694,83.6225822,ChIJ2e6eieVLIToReDuPDi0CJNc,https://www.google.com/maps/place/?q=place_id:ChIJ2e6eieVLIToReDuPDi0CJNc,part_353,2026-09-20 20:43:34
Anannya Digital Centre & CSC centre,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",+91 82801 31533,N/A,5.0,,"9H5X+HGP, Dang, Odisha 768038",768028,21.3589523,83.5988163,ChIJ08nFZwA1IToRmKEByk2j0_o,https://www.google.com/maps/place/?q=place_id:ChIJ08nFZwA1IToRmKEByk2j0_o,part_353,2026-09-20 20:43:35
Jamidar Communication,Internet Cafe,Internet cafe,Internet cafe,768028,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bargarh H.O, Bargarh Bazar S.O, Bargarh Court S.O",+91 95568 50672,N/A,,,"Near, Ghulipali Main Road, Bargarh, Haldipali, Odisha 768038",768028,21.338613799999997,83.5943142,ChIJq35vbSNLIToRUVF-6RZdK3E,https://www.google.com/maps/place/?q=place_id:ChIJq35vbSNLIToRUVF-6RZdK3E,part_353,2026-09-20 20:43:35
