business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DORA TUTION AND ENGLISH SPOKEN CLASS,Spoken English Institute,Education center,Education center,768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,+91 89629 83438,https://youtube.com/@doraworld-y5r?si=Xe9zqzN5TnNQqFRE,4.8,27.0,"TV Tower Rd, Surya Vihar Colony, Raigarh, Chhattisgarh 496001",Surya Vihar Colony,21.883544,83.4122416,ChIJYcbjnYklJzoRKHgeHofT5sQ,https://www.google.com/maps/place/?q=place_id:ChIJYcbjnYklJzoRKHgeHofT5sQ,part_353,2026-09-20 20:46:03
SELF CLASSES/ SPOKEN ENGLISH,Spoken English Institute,Education center,Education center,768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,N/A,N/A,,,"Abhilasha Hardware, Boirdadar Rd, near Radha Krishna Ashram, Chouk, Malidipa, Raigarh, Chhattisgarh 496001","Chouk, Malidipa",21.9004667,83.4162235,ChIJP-PF6HQlJzoRWG_830F_9GA,https://www.google.com/maps/place/?q=place_id:ChIJP-PF6HQlJzoRWG_830F_9GA,part_353,2026-09-20 20:46:03
SELF CLASSES / SPOKEN ENGLISH,Spoken English Institute,Coaching Center,Coaching Center,768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,N/A,N/A,,,"TV Tower Rd, near SBI BANK, Bsnl Colony, Surya Vihar Colony, Raigarh, Chhattisgarh 496001","Bsnl Colony, Surya Vihar Colony",21.8827902,83.412825,ChIJj0zL2RglJzoRc7t0c1y0ZQs,https://www.google.com/maps/place/?q=place_id:ChIJj0zL2RglJzoRc7t0c1y0ZQs,part_353,2026-09-20 20:46:03
Speakwell English Academy,Spoken English Institute,Education center,Education center,768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,+91 62632 52685,http://www.speakwell.co.in/,4.9,9.0,"1st floor, Above SBI Main Branch, Kewabadi bus stand,Durga Mandir,chattisgarh, Chhattisgarh 496001",768031,21.889964799999998,83.357567,ChIJ_____78kJzoRVc9HmZpm2cc,https://www.google.com/maps/place/?q=place_id:ChIJ_____78kJzoRVc9HmZpm2cc,part_353,2026-09-20 20:46:03
Pathak English Academy,Spoken English Institute,English language school,English language school,768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,+91 98274 91318,http://pathakenglishacademy.in/,4.6,25.0,"KEWDABADI BUS STAND COMPLEX, 1ST FLOOR, SHOP NO. 4, Chhattisgarh 496001",768031,21.899985599999997,83.39447059999999,ChIJjXLJd_glJzoR6rIlhNJ26jU,https://www.google.com/maps/place/?q=place_id:ChIJjXLJd_glJzoR6rIlhNJ26jU,part_353,2026-09-20 20:46:03
GURUKRIPA CLASSES,Spoken English Institute,Education center,Education center,768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,+91 87707 19917,https://www.onemathhub.com/,5.0,43.0,"Gouri Shankar Mandir Chowk, Raigarh, Chhattisgarh 496001",768031,21.8947418,83.3963036,ChIJRTiNFnwlJzoRk_IvO4u50MQ,https://www.google.com/maps/place/?q=place_id:ChIJRTiNFnwlJzoRk_IvO4u50MQ,part_353,2026-09-20 20:46:03
HappyTunes Kids Classes,Spoken English Institute,After school program,"After school program, Coaching Center",768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,N/A,N/A,5.0,1.0,"5, 5th Floor, infront of 1 India Mart, Kelopravah Complex, Dhimrapur Rd, Raigarh, Chhattisgarh 496001",768031,21.906375699999998,83.39104689999999,ChIJpYStasMlJzoRVC7VGgNL1t8,https://www.google.com/maps/place/?q=place_id:ChIJpYStasMlJzoRVC7VGgNL1t8,part_353,2026-09-20 20:46:03
PACE Institute Pvt. Ltd,Spoken English Institute,English language school,"English language school, Coaching Center, Education center, Educational institution, English language camp, Secondary school, Training center",768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,+91 93343 14161,http://paceinstitute.co.in/,4.4,190.0,"PACE Tower, 90 Feet Rd, near Metro Pillar No 31, Bhabha Colony, Kankarbagh, Patna, Bihar 800020","Bhabha Colony, Kankarbagh",25.5872033,85.15726579999999,ChIJmQLhPI5Y7TkRsKtBF-Nnf_k,https://www.google.com/maps/place/?q=place_id:ChIJmQLhPI5Y7TkRsKtBF-Nnf_k,part_353,2026-09-20 20:46:03
Voice,Spoken English Institute,Coaching Center,Coaching Center,768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,+91 94541 33081,N/A,4.9,,"Church Ln, opposite D.J. Hostel, near Anand Bhawan, Tagore Town, Prayagraj, Uttar Pradesh 211002",Tagore Town,25.4614977,81.86017509999999,ChIJofYeG_21mjkR5IsIOaGaqW4,https://www.google.com/maps/place/?q=place_id:ChIJofYeG_21mjkR5IsIOaGaqW4,part_353,2026-09-20 20:46:05
BARI ENGLISH ACADEMY,Spoken English Institute,English language school,"English language school, Education center, Educational institution, Training center",768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,+91 93159 67603,https://thebari.in/,5.0,,"C-158, 60 Foota Rd, Mahavir Enclave Part 2, Mahavir Enclave Part 3, Mahavir Enclave, New Delhi, Delhi, 110059","Mahavir Enclave Part 2, Mahavir Enclave Part 3, Mahavir Enclave",28.6044794,77.069011,ChIJjwkOWCwbDTkRqRf2gDc7blM,https://www.google.com/maps/place/?q=place_id:ChIJjwkOWCwbDTkRqRf2gDc7blM,part_353,2026-09-20 20:46:05
NESA,Spoken English Institute,English language school,English language school,768031,Odisha Circle,Sambalpur Region,Sambalpur Division,Ambabhana S.O,+91 97942 57610,http://www.nesainstitute.in/,4.8,,"1st Floor,SK Tower Infront of Hanuman temple, Main Road Kacheri Chauraha, Uttar Pradesh 284001",Sadar Bazar,25.4442505,78.57985839999999,ChIJUXd7wUh3dzkRRPzb9u440ck,https://www.google.com/maps/place/?q=place_id:ChIJUXd7wUh3dzkRRPzb9u440ck,part_353,2026-09-20 20:46:05
