business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aura Design Studio,Interior Designers,Interior designer,Interior designer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 73812 95414,https://www.instagram.com/aura_designn_studio?igsh=dWNpdjcxbWV0dTBl,5.0,5.0,"8JM9+M39 Sumangalam, Hospital Rd, Ward No-6, Dhanger, Bargarh, Odisha 768028",Ward No-6,21.3341875,83.6176875,ChIJlbG8onjqemgR5Mf6Ncjhheo,https://www.google.com/maps/place/?q=place_id:ChIJlbG8onjqemgR5Mf6Ncjhheo,part_354,2026-09-20 20:18:18,2940
Innovative Decor & Design ( K. S. OJHA),Interior Designers,Interior designer,Interior designer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 88892 86664,N/A,4.9,35.0,"Galaxy Mall, 1st floor shop 23A, Chhattisgarh 496001",768045,21.8948993,83.3954547,ChIJ_d0-AqUlJzoR4EjosUcx4YI,https://www.google.com/maps/place/?q=place_id:ChIJ_d0-AqUlJzoR4EjosUcx4YI,part_354,2026-09-20 20:18:18,2941
Poddar interiors,Interior Designers,Interior designer,Interior designer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,5.0,1.0,"Railway station road, Bargarh, Odisha 768028",768045,21.3425293,83.6363792,ChIJx8MA0DlLIToRb_8Op2cxtQM,https://www.google.com/maps/place/?q=place_id:ChIJx8MA0DlLIToRb_8Op2cxtQM,part_354,2026-09-20 20:18:18,2942
RASOE (modular kitchen &appliance),Interior Designers,Interior designer,Interior designer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 93487 34402,N/A,5.0,4.0,"opposite of Bharat petroleum, Saunthpur, Sayan, Odisha 768038",768045,21.3401125,83.58270809999999,ChIJOYfmXkC1JjoRM33XbluYtqk,https://www.google.com/maps/place/?q=place_id:ChIJOYfmXkC1JjoRM33XbluYtqk,part_354,2026-09-20 20:18:18,2943
Nirmaanik,Interior Designers,Interior designer,"Interior designer, Building consultant, Building materials supplier, Building restoration service, Civil engineering company, Real Estate Builders & Construction Company, Consultant, Interior construction contractor, Architectural designer, Vastu consultant",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 91247 56881,http://nirmaanik.com/,4.8,12.0,"Panchayat College Rd, Bargarh, Odisha 768028",768045,21.3237618,83.6263135,ChIJA2zCVvtLIToRGEvhlzLn1lM,https://www.google.com/maps/place/?q=place_id:ChIJA2zCVvtLIToRGEvhlzLn1lM,part_354,2026-09-20 20:18:19,2944
Maa Grihalaxmi,Interior Designers,Interior Decorator,"Interior Decorator, Artificial plant supplier, Blinds shop, Carpet wholesaler, Curtain supplier and maker, Foam rubber supplier, Sofa store, Wallpaper store",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 79784 11402,N/A,4.5,15.0,"Nadi Pada, Bargarh, Odisha 768028",Nadi Pada,21.3325237,83.6126553,ChIJbxFhz79KIToRunxzYcR4y9w,https://www.google.com/maps/place/?q=place_id:ChIJbxFhz79KIToRunxzYcR4y9w,part_354,2026-09-20 20:18:19,2945
Varna Space,Interior Designers,Interior designer,"Interior designer, Architect, Real Estate Builders & Construction Company, Architecture firm",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 70089 56776,https://varnaspace.com/#home,4.9,38.0,"Remed, Sambalpur, Odisha 768006",768045,21.5004311,83.94982689999999,ChIJYQluVAsXIToRHr4wPtTLo0Q,https://www.google.com/maps/place/?q=place_id:ChIJYQluVAsXIToRHr4wPtTLo0Q,part_354,2026-09-20 20:18:19,2946
Meera Interiors,Interior Designers,Interior designer,Interior designer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,https://instagram.com/meera.interiors?utm_medium=copy_link,4.9,17.0,"KV Colony, Hirapur, Raigarh, Chhattisgarh 496001","KV Colony, Hirapur",21.914046499999998,83.3803056,ChIJD7PG8G0lJzoRGRbIiD8tq1I,https://www.google.com/maps/place/?q=place_id:ChIJD7PG8G0lJzoRGRbIiD8tq1I,part_354,2026-09-20 20:18:19,2947
Hafele India Aesthetics,Interior Designers,Kitchen furniture store,"Kitchen furniture store, Appliance store, Chimney services, Fitted furniture supplier, Granite supplier, Hardware store, Home goods store, Modular home dealer, Tile store",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 93484 92377,http://www.aestheticsdesigns.com/,4.8,16.0,"opp. Jagannath Temple, Budharaja, Sambalpur, Odisha 768004",Budharaja,21.4831544,83.9810804,ChIJmUw0XowWIToRCLKZ-XKxd88,https://www.google.com/maps/place/?q=place_id:ChIJmUw0XowWIToRCLKZ-XKxd88,part_354,2026-09-20 20:18:20,2948
Mongna Home Decor,Interior Designers,Interior designer,Interior designer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 96692 31791,N/A,4.8,22.0,"Kotwali Road, Shailsagar Chauraha, Tikamgarh, Madhya Pradesh 472001",Shailsagar Chauraha,24.746233999999998,78.8333202,ChIJeWZOjhFPeDkRdiDOJswAB2k,https://www.google.com/maps/place/?q=place_id:ChIJeWZOjhFPeDkRdiDOJswAB2k,part_354,2026-09-20 20:18:20,2949
