business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sahu internet cafe,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,5.0,,"Panchayat College Rd, Bargarh, Odisha 768028",768045,21.3289892,83.6249802,ChIJB6M3OoVLIToR2EniO631uHM,https://www.google.com/maps/place/?q=place_id:ChIJB6M3OoVLIToR2EniO631uHM,part_354,2026-09-20 20:18:29,4501
Highway Communication,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.8,,"Ward No 09, Highway Communication, Main Road, near Behera Nursing Home, Bargarh, Odisha 768028",768045,21.346573499999998,83.63042,ChIJS_bEMwBLIToRv__3bbG95Dw,https://www.google.com/maps/place/?q=place_id:ChIJS_bEMwBLIToRv__3bbG95Dw,part_354,2026-09-20 20:18:29,4502
MOON GEM Infocity Internet cafe(xerox),Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.7,,"S.R.I, T MARKET COMPLEX, near GOVT.BUS STAND, Bargarh, Odisha 768028",768045,21.3372167,83.6211699,ChIJJ0CGVo5LIToRGK9EOCX-fn4,https://www.google.com/maps/place/?q=place_id:ChIJJ0CGVo5LIToRGK9EOCX-fn4,part_354,2026-09-20 20:18:29,4503
FAST-NET,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.9,,"WARD NO-08, CHOWK, KHAJUR, TIKRA ROAD, Bandutikra, Bargarh, Odisha 768028",Bandutikra,21.342637,83.6174731,ChIJYVo6kG5LIToROXk-UuCCVw0,https://www.google.com/maps/place/?q=place_id:ChIJYVo6kG5LIToROXk-UuCCVw0,part_354,2026-09-20 20:18:29,4504
Sai Digital Seva Kendra,Internet Cafe,Internet shop,Internet shop,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 82600 89304,https://saidigitalsevakendra.blogspot.com/,5.0,,"CJ38+GPG SBI, near Katapali, Katapali, Odisha 768038",768045,21.403096899999998,83.61616819999999,ChIJ2z7wDRc1IToRns9jwuRmCN8,https://www.google.com/maps/place/?q=place_id:ChIJ2z7wDRc1IToRns9jwuRmCN8,part_354,2026-09-20 20:18:29,4505
Anannya Digital Centre & CSC centre,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 82801 31533,N/A,5.0,,"9H5X+HGP, Dang, Odisha 768038",768045,21.3589523,83.5988163,ChIJ08nFZwA1IToRmKEByk2j0_o,https://www.google.com/maps/place/?q=place_id:ChIJ08nFZwA1IToRmKEByk2j0_o,part_354,2026-09-20 20:18:29,4506
RAJ COMPUTERS AND JANA SEVA KENDRA,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.1,,"Chowk, Kalapani, Bargarh, Odisha 768038",Kalapani,21.349473399999997,83.6201945,ChIJ-SdLJi1LIToR3YnVabGIj0w,https://www.google.com/maps/place/?q=place_id:ChIJ-SdLJi1LIToR3YnVabGIj0w,part_354,2026-09-20 20:18:29,4507
Alina Internet Zone,Internet Cafe,Internet shop,Internet shop,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.9,,"CJ38+784, Kansari Para Rd, Katapali, Odisha 768038",768045,21.403596999999998,83.61837469999999,ChIJ078DHnM1IToRMoURqEOdVAA,https://www.google.com/maps/place/?q=place_id:ChIJ078DHnM1IToRMoURqEOdVAA,part_354,2026-09-20 20:18:29,4508
PRABHATI WEB ZONE,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,5.0,,"X3X3+HCM, Padmapur, Padmapur Town, Odisha 768036",768045,20.9989666,83.0535527,ChIJK-ZoZwCDJjoRBEW8tsRRjRg,https://www.google.com/maps/place/?q=place_id:ChIJK-ZoZwCDJjoRBEW8tsRRjRg,part_354,2026-09-20 20:18:29,4509
Ak Gaming Hub,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.0,,"8957+6C3, Shohela, Chakarkend, Dumerpali, Odisha 768033",Shohela,21.3080245,83.3635541,ChIJn2fWRgC5JjoR4hg1Nmney9o,https://www.google.com/maps/place/?q=place_id:ChIJn2fWRgC5JjoR4hg1Nmney9o,part_354,2026-09-20 20:18:29,4510
RD cyber cafe,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,,,"Infront of District court, Bargarh, Odisha 768028",768045,21.3389694,83.6225822,ChIJ2e6eieVLIToReDuPDi0CJNc,https://www.google.com/maps/place/?q=place_id:ChIJ2e6eieVLIToReDuPDi0CJNc,part_354,2026-09-20 20:18:29,4511
RadheShyam Internet Cafe,Internet Cafe,Internet shop,Internet shop,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 99387 82511,N/A,,,"AT- ULBA, PO, near GRAMDEVI MANDIR, PS, Gobindpur, Odisha 768028",PS,21.3509451,83.5220748,ChIJuRCqcOvLJjoRic84rpCaTR4,https://www.google.com/maps/place/?q=place_id:ChIJuRCqcOvLJjoRic84rpCaTR4,part_354,2026-09-20 20:18:29,4512
GUGGLE POINT BHUKTA,Internet Cafe,Internet cafe,Internet cafe,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 95617 24252,N/A,4.2,,"infront of Patanjali, near Mahima Ashram, Bhukta, Odisha 768045",768045,21.5849863,83.4175972,ChIJ921ApH3bJjoR8i8IyI5Jo4w,https://www.google.com/maps/place/?q=place_id:ChIJ921ApH3bJjoR8i8IyI5Jo4w,part_354,2026-09-20 20:18:29,4513
