business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sri Bhagaban Dhaba,Pure Veg Restaurant,Dhaba,Dhaba,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 90407 22678,N/A,4.5,79.0,"Ranjitpur, Paikamal, Odisha 768039",768045,20.936439699999998,82.8522031,ChIJbWBCkzHVJToRzpk6caNG6vA,https://www.google.com/maps/place/?q=place_id:ChIJbWBCkzHVJToRzpk6caNG6vA,part_354,2026-09-20 20:18:01,821
Shree shyam rajasthani bhojnalaya,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 82498 14824,https://www.instagram.com/shree_shyam_rajasthani?igsh=MWNsbmx6bzZ6MzBwdA==,4.1,41.0,"chok, Bandutikra, Bargarh, Odisha 768028","chok, Bandutikra",21.3430222,83.6165463,ChIJI1JLSABLIToRS_6F7dQi2U8,https://www.google.com/maps/place/?q=place_id:ChIJI1JLSABLIToRS_6F7dQi2U8,part_354,2026-09-20 20:18:01,822
Ganapati Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Non Vegetarian Restaurant, Restaurant",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 91781 20083,N/A,4.5,656.0,"Bargarh Road, Neherugali chowk, Padmapur, Padmapur Town, Odisha 768036",Neherugali chowk,21.0018149,83.0646963,ChIJ-2Yn38KDJjoRRZjOoom3i18,https://www.google.com/maps/place/?q=place_id:ChIJ-2Yn38KDJjoRRZjOoom3i18,part_354,2026-09-20 20:18:01,823
BGH STOP,Pure Veg Restaurant,Indian restaurant,"Indian restaurant, Cafe, Pool billard club",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 70770 30424,N/A,3.9,684.0,"1st Floor, Tirupati Complex, Balaji City 2 Rd, near Rukmini Cineplex, Bargarh, Odisha 768040",768045,21.348181999999998,83.636747,ChIJj-mZ8E9LIToR4kAn-c-kaU8,https://www.google.com/maps/place/?q=place_id:ChIJj-mZ8E9LIToR4kAn-c-kaU8,part_354,2026-09-20 20:18:01,824
Jaiswal dhaba and family restaurant,Pure Veg Restaurant,Restaurant,Restaurant,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 89829 59809,N/A,4.3,47.0,"Subhash chowk, Sohela - Baramkela Rd, near Ravi boot house, Kapartunga, Baramkela, Rohinpani, Chhattisgarh 496551",Kapartunga,21.5651539,83.2652485,ChIJY09pt3fdJjoRtBw_prmlCCo,https://www.google.com/maps/place/?q=place_id:ChIJY09pt3fdJjoRtBw_prmlCCo,part_354,2026-09-20 20:18:01,825
Green Valley Garden Restaurant,Pure Veg Restaurant,Restaurant,"Restaurant, Family restaurant",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 97786 30406,N/A,3.6,509.0,"Shiv Temple, NH 26 In Front Of Kadalipali, Barapali Town, Odisha 768029",768045,21.2026734,83.5910621,ChIJ_yZgmH-zJjoR2dnw6ZeUkmo,https://www.google.com/maps/place/?q=place_id:ChIJ_yZgmH-zJjoR2dnw6ZeUkmo,part_354,2026-09-20 20:18:01,826
Dev Dhaba & Restaurant,Pure Veg Restaurant,Dhaba,Dhaba,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 99377 88971,N/A,3.7,182.0,"Ruchida-Saria road ,Bad-darlipali, Bhukta, Odisha 768045",768045,21.5896239,83.4080827,ChIJd9PxfmTaJjoRrnoeRWIYudA,https://www.google.com/maps/place/?q=place_id:ChIJd9PxfmTaJjoRrnoeRWIYudA,part_354,2026-09-20 20:18:01,827
Ecstasy Restaurant,Pure Veg Restaurant,Family restaurant,"Family restaurant, Fast food restaurant",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 84558 97496,N/A,3.9,651.0,"8JVH+J7V, Bargarh, Odisha 768028",768045,21.3441144,83.62817509999999,ChIJSc3cl4VKIToRCvaO3c2jn64,https://www.google.com/maps/place/?q=place_id:ChIJSc3cl4VKIToRCvaO3c2jn64,part_354,2026-09-20 20:18:01,828
Jogi Mahal Pure Veg Cafe and Restaurant,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 97826 00121,http://www.jogimahalcafe.shop/,4.8,385.0,"Shilpgram Rd, Ramsinghpura, Sawai Madhopur, Rajasthan 322001",Ramsinghpura,26.0305385,76.39092289999999,ChIJH0w9Y2cnbjkRpUEpoVdShd8,https://www.google.com/maps/place/?q=place_id:ChIJH0w9Y2cnbjkRpUEpoVdShd8,part_354,2026-09-20 20:18:02,829
Rotiwala,Pure Veg Restaurant,Restaurant,Restaurant,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 80189 44943,N/A,4.8,8.0,"Mohanty Pada Main Rd, near telephone exchange, Bargarh, Odisha 768028",768045,21.334676599999998,83.6206897,ChIJ3XAtHiFLIToR-28YvyzGcYM,https://www.google.com/maps/place/?q=place_id:ChIJ3XAtHiFLIToR-28YvyzGcYM,part_354,2026-09-20 20:18:02,830
Hotel Ratneswari,Pure Veg Restaurant,Restaurant,Restaurant,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.1,34.0,"232H+QRP, bargarh Road, Padmapur, Padmapur Town, Odisha 768036",768045,21.001954899999998,83.0795906,ChIJDy9sriGdJjoRC1u0XH8yA0E,https://www.google.com/maps/place/?q=place_id:ChIJDy9sriGdJjoRC1u0XH8yA0E,part_354,2026-09-20 20:18:02,831
Annpurna bhojnalya,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 82191 01550,N/A,4.4,416.0,"NH154, Dohandi, Majhethal, Himachal Pradesh 175021",Dohandi,31.6181855,76.93969469999999,ChIJc9EkcyYdBTkRXkyxex3u8QA,https://www.google.com/maps/place/?q=place_id:ChIJc9EkcyYdBTkRXkyxex3u8QA,part_354,2026-09-20 20:18:02,832
Shree Shyam Rajasthani Thali,Pure Veg Restaurant,Restaurant,Restaurant,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 78540 83565,N/A,4.4,61.0,"GM College Rd, Fatak, Modipada, Sambalpur, Odisha 768004","Fatak, Modipada",21.4747091,83.9762099,ChIJr2an8LAXIToRatRuE1YVr6U,https://www.google.com/maps/place/?q=place_id:ChIJr2an8LAXIToRatRuE1YVr6U,part_354,2026-09-20 20:18:02,833
