business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bargarh Rice,Rice and Grain Merchant,Rice mill,Rice mill,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 70080 93384,https://www.rice.adbb.in/,5.0,,"Barahagoda, Odisha 768040",768045,21.3548859,83.676577,ChIJX_Fua8BLIToRJBWZutfwHkQ,https://www.google.com/maps/place/?q=place_id:ChIJX_Fua8BLIToRJBWZutfwHkQ,part_354,2026-09-20 20:17:58
Navdanya Enterprises,Rice and Grain Merchant,Rice mill,Rice mill,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 95831 03131,https://navdanya.in/,5.0,,"8GGQ+4HH, Near BPCL Petrol Pump, At/P.O.- Govindpur. Dost, Odisha 768033",768045,21.3253243,83.5389907,ChIJo5yCGJS1JjoR2EL1L5lg_Q8,https://www.google.com/maps/place/?q=place_id:ChIJo5yCGJS1JjoR2EL1L5lg_Q8,part_354,2026-09-20 20:17:58
Lath Rice Mill,Rice and Grain Merchant,Manufacturer,Manufacturer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.1,,"8HM4+JRG, Odisha 768038",768045,21.3340727,83.5570765,ChIJZ4be13O1JjoRb_MlmTsmCoo,https://www.google.com/maps/place/?q=place_id:ChIJZ4be13O1JjoRb_MlmTsmCoo,part_354,2026-09-20 20:17:58
Shree Mahalaxmi Rice Industries,Rice and Grain Merchant,Rice mill,Rice mill,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 94370 57655,N/A,4.3,,"6H4R+HP4, Barpali, Gadgaddala, Odisha 768029",768045,21.206383,83.5918191,ChIJyXqqhdKyJjoRMbhogVEs95w,https://www.google.com/maps/place/?q=place_id:ChIJyXqqhdKyJjoRMbhogVEs95w,part_354,2026-09-20 20:17:58
Kavya rice mill,Rice and Grain Merchant,Manufacturer,Manufacturer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.5,,"FGHG+F22, Bhatli, Hadasankri, Odisha 768030",768045,21.478628999999998,83.5250033,ChIJ9VOO2lzNJjoR3lFzR6rq0n8,https://www.google.com/maps/place/?q=place_id:ChIJ9VOO2lzNJjoR3lFzR6rq0n8,part_354,2026-09-20 20:17:58
Shree Ganesh Rice & Feeds Bhandaar,Rice and Grain Merchant,Rice wholesaler,Rice wholesaler,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 99383 88633,N/A,5.0,,"NH 26, Barapali Town, Badgaon, Odisha 768029",768045,21.1939164,83.588281,ChIJUaZcE8yyJjoRqQzZ_1MwgXs,https://www.google.com/maps/place/?q=place_id:ChIJUaZcE8yyJjoRqQzZ_1MwgXs,part_354,2026-09-20 20:17:58
Om food products,Rice and Grain Merchant,Rice mill,"Rice mill, Manufacturer",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,,,"Nagenpali chowk old national highway no.6, Odisha 768040",768045,21.3487638,83.6540002,ChIJT24kacBLIToR0rrtJeOFpS0,https://www.google.com/maps/place/?q=place_id:ChIJT24kacBLIToR0rrtJeOFpS0,part_354,2026-09-20 20:17:58
Rajib Lochan Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,2.3,,"7H7J+53M, Bargarh, Odisha 768029",768045,21.262969599999998,83.58015979999999,ChIJPwF_baa0JjoRzWeW8aOOT5E,https://www.google.com/maps/place/?q=place_id:ChIJPwF_baa0JjoRzWeW8aOOT5E,part_354,2026-09-20 20:17:58
SHRI VENKATESWARA SEEDS,Rice and Grain Merchant,Agricultural Seed Store,Agricultural Seed Store,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.5,13.0,"CRPH+Q47, Lahanda, Odisha 768027",768045,21.436907899999998,83.82780799999999,ChIJsZGUsEE5IToRHnkZ0UseEco,https://www.google.com/maps/place/?q=place_id:ChIJsZGUsEE5IToRHnkZ0UseEco,part_354,2026-09-20 20:17:58
Delux Traders,Rice and Grain Merchant,Office supply wholesaler,Office supply wholesaler,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 89840 12165,N/A,5.0,3.0,"Amardeep Colony,Ward No.10, Odisha 768028",768045,21.3424184,83.6239758,ChIJE-EfAJBKIToRxHNPXgJ4Usk,https://www.google.com/maps/place/?q=place_id:ChIJE-EfAJBKIToRxHNPXgJ4Usk,part_354,2026-09-20 20:17:58
Laxmi Vinayak Seeds,Rice and Grain Merchant,Manufacturer,Manufacturer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 78538 66942,N/A,5.0,3.0,"5MJG+CH, Patkulunda, Odisha 768029",768045,21.1810711,83.6764274,ChIJ_dMrTwBNIToRnlQwQ1YW5MI,https://www.google.com/maps/place/?q=place_id:ChIJ_dMrTwBNIToRnlQwQ1YW5MI,part_354,2026-09-20 20:17:58
Sri Sai Traders Karmanghat,Rice and Grain Merchant,Rice shop,"Rice shop, Food products supplier",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 90147 20055,http://www.srisaitraders.rice.grocery/,4.5,134.0,"10-1-88/A, opposite Kothakapu Yadava Reddy Gardens, Nirmalanagar Colony, Sri Hanuman Nagar Colony, Kranthi Nagar, Kharmanghat, Telangana 500079","Nirmalanagar Colony, Sri Hanuman Nagar Colony, Kranthi Nagar",17.3439513,78.5335242,ChIJTw6AZ5uYyzsR_4wsWAHqbQY,https://www.google.com/maps/place/?q=place_id:ChIJTw6AZ5uYyzsR_4wsWAHqbQY,part_354,2026-09-20 20:17:58
