business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Meher Sarees,Saree Showroom,Saree Shop,Saree Shop,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 94371 48423,N/A,4.8,18,"Chowk, Bandutikra, Bargarh, Odisha 768028",Bandutikra,21.3427217,83.6169237,ChIJ5XeyvMVLIToRFx_dl_XhrdE,https://www.google.com/maps/place/?q=place_id:ChIJ5XeyvMVLIToRFx_dl_XhrdE,part_354,2026-09-20 20:18:03
Meher Sambalpuri HUB,Saree Showroom,Saree Shop,"Saree Shop, Clothing store",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 96582 66933,https://www.mehersambalpurihub.com/,4.9,172,"CHOWK, Bandutikra, Bargarh, Odisha 768028",Bandutikra,21.3432423,83.6185277,ChIJW5PoZwBLIToRwBUovu08sOk,https://www.google.com/maps/place/?q=place_id:ChIJW5PoZwBLIToRwBUovu08sOk,part_354,2026-09-20 20:18:03
Dulhan Saree Showroom,Saree Showroom,Women's clothing store,Women's clothing store,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 77728 66604,N/A,4.0,416,"Sadar Bazaar, Palace Rd, Raigarh, Chhattisgarh 496001",768045,21.8959044,83.3938991,ChIJH8WYoT4lJzoRzSQtacgVUM0,https://www.google.com/maps/place/?q=place_id:ChIJH8WYoT4lJzoRzSQtacgVUM0,part_354,2026-09-20 20:18:03
PRANJAL SAMBALPURI COLLECTION,Saree Showroom,Clothing store,Clothing store,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 91488 42894,N/A,5.0,2,"Bargarh, Odisha 768028",768045,21.3414544,83.6085903,ChIJ3zqSNwBLIToR7OONhgEA9t0,https://www.google.com/maps/place/?q=place_id:ChIJ3zqSNwBLIToR7OONhgEA9t0,part_354,2026-09-20 20:18:03
Niharika Meher Sambalpuri Collection,Saree Showroom,Clothing store,Clothing store,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.3,3,"Sri Aurobindo School, marg, Bargarh, Odisha 768028",marg,21.3406891,83.61971059999999,ChIJO4QUXwBLIToR1UFwLcbzA4k,https://www.google.com/maps/place/?q=place_id:ChIJO4QUXwBLIToR1UFwLcbzA4k,part_354,2026-09-20 20:18:03
Balodia Collection,Saree Showroom,Saree Shop,"Saree Shop, Clothing store",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 79782 55094,N/A,4.0,4,"in front of S. P. Office, Bargarh, Odisha 768028",768045,21.340095299999998,83.6236425,ChIJodTe0uBLIToRUclPz5yu_BY,https://www.google.com/maps/place/?q=place_id:ChIJodTe0uBLIToRUclPz5yu_BY,part_354,2026-09-20 20:18:03
Kishorilal Amarchand Family Wear (Clothing Store),Saree Showroom,Clothing store,Clothing store,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 97549 74810,N/A,4.9,274,"Satti Gudi Chowk, near Sati Mandir, Agrasen Colony, Raigarh, Chhattisgarh 496001",Agrasen Colony,21.8973636,83.3880394,ChIJY8FrOkMlJzoRA9HFMxe5o34,https://www.google.com/maps/place/?q=place_id:ChIJY8FrOkMlJzoRA9HFMxe5o34,part_354,2026-09-20 20:18:03
Samleswari Bastralaya,Saree Showroom,Clothing store,Clothing store,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.9,67,"Gaiety Talkies Rd, Gole Bazar, Pattnayakpada, Sambalpur, Odisha 768001","Gole Bazar, Pattnayakpada",21.4659466,83.97264179999999,ChIJLcMQT34WIToRmMjQH2FVrp4,https://www.google.com/maps/place/?q=place_id:ChIJLcMQT34WIToRmMjQH2FVrp4,part_354,2026-09-20 20:18:04
Jagannath Bastralaya,Saree Showroom,Clothing store,Clothing store,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.7,19,"Kansari Para Rd, Chowk, Sambalpur, Odisha 768001",Chowk,21.465026899999998,83.97117399999999,ChIJ9RT5An8WIToR3bSt5pEMMbw,https://www.google.com/maps/place/?q=place_id:ChIJ9RT5An8WIToR3bSt5pEMMbw,part_354,2026-09-20 20:18:05
Sadhvi Sarees Pvt.Ltd.,Saree Showroom,Clothing store,Clothing store,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 97953 93393,http://www.sadhvisarees.com/,4.9,51,"49/29, Jhajharia Market, General Ganj, Kanpur, Uttar Pradesh 208001","Jhajharia Market, General Ganj",26.4622185,80.35093719999999,ChIJ_UFwCClHnDkRRJn0ttQN1Ns,https://www.google.com/maps/place/?q=place_id:ChIJ_UFwCClHnDkRRJn0ttQN1Ns,part_354,2026-09-20 20:18:05
गोवर्धन साड़ी सेंटर,Saree Showroom,Clothing store,"Clothing store, Variety store",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 99355 56655,N/A,4.2,219,"नियर सरिका होटल, sahegal market, Naughara, Kahoo Kothi, Kanpur, Uttar Pradesh 208001","Naughara, Kahoo Kothi",26.4628977,80.35330379999999,ChIJfbY8rVtHnDkRKMAMgGCmFSU,https://www.google.com/maps/place/?q=place_id:ChIJfbY8rVtHnDkRKMAMgGCmFSU,part_354,2026-09-20 20:18:05
