business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Deepak BalloonRR EVENTS,Exhibitions,Balloon artist,Balloon artist,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",+91 70773 92023,N/A,3.9,,"Dunguripali, Lariabahal, Odisha 767023",768048,21.040071899999997,83.5512165,ChIJGfU95AirJjoRuv9Y37-UzL8,https://www.google.com/maps/place/?q=place_id:ChIJGfU95AirJjoRuv9Y37-UzL8,part_354,2026-09-20 20:19:22
Kamiti Center,Exhibitions,Community center,Community center,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,,,"3CC8+QHF, Bhejipadar, Khanda, Odisha 768048",768048,21.0719335,83.4164194,ChIJ24xQSgClJjoRNhGCNFnRvwI,https://www.google.com/maps/place/?q=place_id:ChIJ24xQSgClJjoRNhGCNFnRvwI,part_354,2026-09-20 20:19:22
NUADIHI,Exhibitions,Village hall,Village hall,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,3.0,,"359V+4P5, Sargibahal, Odisha 768049",768048,21.0677605,83.19437239999999,ChIJi-6Lh1-ZJjoRnZTx_QhZD4Y,https://www.google.com/maps/place/?q=place_id:ChIJi-6Lh1-ZJjoRnZTx_QhZD4Y,part_354,2026-09-20 20:19:22
Mandir Chowk,Exhibitions,Community center,Community center,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,,,"48WH+F9Q, Balipata, Odisha 768034",768048,21.1461404,83.328167,ChIJJYs4CgCjJjoR_jSanYEhmUo,https://www.google.com/maps/place/?q=place_id:ChIJJYs4CgCjJjoR_jSanYEhmUo,part_354,2026-09-20 20:19:22
kalyan mandap,Exhibitions,Community center,Community center,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,,,"2C55+43R, Agalpur-Salebhata Rd, Agalpur, Odisha 767022",768048,21.0078533,83.4076492,ChIJOUW1gs6nJjoRZrp3vvj2AAA,https://www.google.com/maps/place/?q=place_id:ChIJOUW1gs6nJjoRZrp3vvj2AAA,part_354,2026-09-20 20:19:22
Jhimbahal Anganwadi Center,Exhibitions,Children hall,Children hall,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,1.0,,"379H+J53, Jhimbahal, Odisha 768035",768048,21.069014499999998,83.27790879999999,ChIJc43J6AGjJjoRqfBkcqIxk0E,https://www.google.com/maps/place/?q=place_id:ChIJc43J6AGjJjoRqfBkcqIxk0E,part_354,2026-09-20 20:19:22
https://youtube.com/channel/UCFRY8dqQaJNE0mmk7pdBbbA,Exhibitions,Village hall,Village hall,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,https://youtube.com/channel/UCFRY8dqQaJNE0mmk7pdBbbA,,,"Kendabahal, Kalanipara, Sohela, Odisha 768033",768048,21.2597703,83.38517039999999,ChIJQSt_y9a5JjoR5hdafl7AX1o,https://www.google.com/maps/place/?q=place_id:ChIJQSt_y9a5JjoR5hdafl7AX1o,part_354,2026-09-20 20:19:22
Suggested Bijepur Town Hall,Exhibitions,Concert hall,Concert hall,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,,,"5CHX+MM, Pada, Odisha 768032",768048,21.179219399999997,83.4491491,ChIJsU8UqISxJjoRiGb-3VkbJLM,https://www.google.com/maps/place/?q=place_id:ChIJsU8UqISxJjoRiGb-3VkbJLM,part_354,2026-09-20 20:19:22
M.P.C.T AGALPUR,Exhibitions,Stadium,Stadium,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,,,"2C83+46R, Agalpur, Ingsa, Odisha 767022",768048,21.015365199999998,83.4030047,ChIJIQQibACnJjoRHpW2103e3F0,https://www.google.com/maps/place/?q=place_id:ChIJIQQibACnJjoRHpW2103e3F0,part_354,2026-09-20 20:19:22
IDCO Exhibition Ground,Exhibitions,Exhibition and trade center,"Exhibition and trade center, Fairground",768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,4.5,6357.0,"3, Madhusudan Marg, UNIT- 9, Bhubaneswar, Odisha 751001",UNIT- 9,20.2777359,85.83758069999999,ChIJa7wSc1enGToRJMUgVHzCHsM,https://www.google.com/maps/place/?q=place_id:ChIJa7wSc1enGToRJMUgVHzCHsM,part_354,2026-09-20 20:19:22
"Canal chowk,kebad",Exhibitions,Community center,Community center,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,4.5,10.0,"3GJG+6FR, Kebad, Jhulpiapali, Odisha 768029",768048,21.0814941,83.5257613,ChIJA3lSlM2tJjoRxAuqMV2u0H4,https://www.google.com/maps/place/?q=place_id:ChIJA3lSlM2tJjoRxAuqMV2u0H4,part_354,2026-09-20 20:19:22
Padmashree Haldhar Nag Kavi Kutir,Exhibitions,Memorial park,Memorial park,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,4.3,23.0,"57QM+VPH, Ghens, Odisha 768034",768048,21.1896949,83.28435449999999,ChIJV61PKEi9JjoRDyvkeEX6Ui8,https://www.google.com/maps/place/?q=place_id:ChIJV61PKEi9JjoRDyvkeEX6Ui8,part_354,2026-09-20 20:19:22
Ganghadhar Meher Statue,Exhibitions,Museum,Museum,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,4.4,10.0,"5FQ7+653, Bijepur, Odisha 768032",768048,21.188022699999998,83.4629148,ChIJEf_dn0ywJjoRp3UQ3d18CPA,https://www.google.com/maps/place/?q=place_id:ChIJEf_dn0ywJjoRp3UQ3d18CPA,part_354,2026-09-20 20:19:22
Gaisilet Sahid chowk,Exhibitions,Stadium,Stadium,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",+91 89085 67144,N/A,3.9,73.0,"X897+25G, Gaisilat, Odisha 768037",768048,20.9675688,83.3129472,ChIJUZJ-O5-gJjoR6o76O8EXgO8,https://www.google.com/maps/place/?q=place_id:ChIJUZJ-O5-gJjoR6o76O8EXgO8,part_354,2026-09-20 20:19:22
"Kalyan Mandap ,Duduka",Exhibitions,Community center,Community center,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,4.3,47.0,"XFPJ+MMG, Duduka, Odisha 767061",768048,20.9866808,83.4817181,ChIJ____v8OpJjoRQ_a1mgyU__k,https://www.google.com/maps/place/?q=place_id:ChIJ____v8OpJjoRQ_a1mgyU__k,part_354,2026-09-20 20:19:22
Sohela Khel Padia,Exhibitions,Stadium,Stadium,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",+91 99372 78339,N/A,4.2,65.0,"7CX3+CGJ Govt Hospital, Sohela Barpali Rd., near, Sohela, Ichhapali, Odisha 768033",near,21.298576,83.40377409999999,ChIJUeUizTS4JjoRDKOMkoQ-4gI,https://www.google.com/maps/place/?q=place_id:ChIJUeUizTS4JjoRDKOMkoQ-4gI,part_354,2026-09-20 20:19:22
Visual Voyage,Exhibitions,Playground,Playground,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",+91 98612 48529,https://youtube.com/@gamiochan_official,4.4,29.0,"Kadalipali, Gadgaddala, Odisha 768029",768048,21.2136809,83.59065269999999,ChIJa6rl4SqzJjoRuTviF9DZuPM,https://www.google.com/maps/place/?q=place_id:ChIJa6rl4SqzJjoRuTviF9DZuPM,part_354,2026-09-20 20:19:22
