business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ink Splatter Tattoos And Nails,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Art cafe, Art studio, Body piercing shop, Tattoo shop, Painting, Tattoo and piercing shop, Tattoo removal service, Tattoo supply store, Training center",768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 99240 70503,https://www.instagram.com/ink_splatter_tattoos_nails/,4.8,242.0,"Flat No.127, Block No. 22, MIG Flats, Gujarat Housing Board Scheme, Odhavpura, Ellora Park, Hari Nagar, Vadodara, Gujarat 390023","Odhavpura, Ellora Park, Hari Nagar",22.3162239,73.1594704,ChIJF0d7SzPEXzkRQwbPPC7MIWI,https://www.google.com/maps/place/?q=place_id:ChIJF0d7SzPEXzkRQwbPPC7MIWI,part_354,2026-09-20 20:19:50
Kaal tattoo studio,Tattoo and Nail Art Studio,Tattoo artist,Tattoo artist,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 95496 68318,N/A,5.0,110.0,"J.D.A. Market, Pink City, Kukas, Jaipur Nagar Nigam Area, Rajasthan 302002","J.D.A. Market, Pink City",26.930455,75.8310903,ChIJk6FT2UCxbTkR8yPMW5GPk_g,https://www.google.com/maps/place/?q=place_id:ChIJk6FT2UCxbTkR8yPMW5GPk_g,part_354,2026-09-20 20:19:50
Tattoo Company,Tattoo and Nail Art Studio,Tattoo and piercing shop,"Tattoo and piercing shop, Charter school",768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 85918 76765,https://www.instagram.com/tattoocompany_999?igsh=MWk0MXM4aTd2dGFlaQ==,5.0,357.0,"Ganpati Towers, Lawrence Road, near Dmart, Dayanand Nagar, Amritsar, Punjab 143001",Dayanand Nagar,31.648541599999998,74.87954069999999,ChIJ1WAubaFlGTkRcmcEITkU6Y8,https://www.google.com/maps/place/?q=place_id:ChIJ1WAubaFlGTkRcmcEITkU6Y8,part_354,2026-09-20 20:19:50
Deep Tattoo Inkzone,Tattoo and Nail Art Studio,Tattoo artist,Tattoo artist,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",N/A,N/A,5.0,4.0,Punjab 144402,768049,31.2403011,75.8140832,ChIJ_Rb3ICvzGjkR-bEeG1rh7xg,https://www.google.com/maps/place/?q=place_id:ChIJ_Rb3ICvzGjkR-bEeG1rh7xg,part_354,2026-09-20 20:19:50
AnandTattooStudio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 77372 25445,https://www.instagram.com/anandtattoo__/,5.0,633.0,"opp. Govt. S.D.Collage, near Sai Baba Temple, Krishna Colony, Beawar, Rajasthan 305901",Krishna Colony,26.0939324,74.3104292,ChIJ_bbcypd3aTkRwTjvryBqo4s,https://www.google.com/maps/place/?q=place_id:ChIJ_bbcypd3aTkRwTjvryBqo4s,part_354,2026-09-20 20:19:50
Anshuman tattoo studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 88744 48889,https://www.instagram.com/anshuman_tattooist?igshid=OGQ5ZDc2ODk2ZA==,4.7,,"Rajendra Nagar, Kadipur, Narayanapara, Uttar Pradesh 228145",Rajendra Nagar,26.1697709,82.36750789999999,ChIJAZo9qCh9kDkRltcxklmcseQ,https://www.google.com/maps/place/?q=place_id:ChIJAZo9qCh9kDkRltcxklmcseQ,part_354,2026-09-20 20:19:50
Skull Tattoo & Mehndi Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 92583 93964,N/A,5.0,,"chuna bhatti Bank of Baroda, Nai sadak, opposite side, Shahzad Pur, Akbarpur, Uttar Pradesh 224122",Shahzad Pur,26.423405,82.5357846,ChIJ04oIx_qTkDkRsHra1skoVBg,https://www.google.com/maps/place/?q=place_id:ChIJ04oIx_qTkDkRsHra1skoVBg,part_354,2026-09-20 20:19:50
Tattoofy,Tattoo and Nail Art Studio,Tattoo and piercing shop,"Tattoo and piercing shop, Tattoo removal service",768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 86976 03883,http://www.tattoofy.in/,5.0,,"20b, Pramanick Ghat Rd, near Taarak bhalo mandir, Kutighat, Baranagar, Kolkata, West Bengal 700036","Kutighat, Baranagar",22.6318003,88.3694697,ChIJR_WYjOmd-DkRT0M3s9olVyw,https://www.google.com/maps/place/?q=place_id:ChIJR_WYjOmd-DkRT0M3s9olVyw,part_354,2026-09-20 20:19:50
Naik Tattoo Studio Branch No.2,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Service establishment",768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 75074 88046,https://instagram.com/naik_tattoo_studio?igshid=MzMyNGUyNmU2YQ==,5.0,,"Naik Tattoo Studio Branch No.2, 768049, India",768049,18.646428,73.9141822,ChIJWdR-oJ7HwjsR12bgc3ySsDk,https://www.google.com/maps/place/?q=place_id:ChIJWdR-oJ7HwjsR12bgc3ySsDk,part_354,2026-09-20 20:19:50
Flawless Fingers,Tattoo and Nail Art Studio,Nail salon,Nail salon,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 73775 31864,https://flawlessfingers.com/,4.8,,"Pal heights, Mall, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.298729299999998,85.8232434,ChIJLQ0jRvcJGToRIa6Symv-YH4,https://www.google.com/maps/place/?q=place_id:ChIJLQ0jRvcJGToRIa6Symv-YH4,part_354,2026-09-20 20:19:50
