business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Wallstory,False Ceiling Contractor,Interior designer,"Interior designer, Interior architect office, Interior construction contractor, Interior Decorator",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 84500 06262,N/A,5.0,,"Siddhivinayak mandir ke samne, Satyam Vihar Colony, Changurabhata, Raipur, Chhattisgarh 492013","Satyam Vihar Colony, Changurabhata",21.2246098,81.5961398,ChIJkWJMb4DfKDoRnpj2acsYdUU,https://www.google.com/maps/place/?q=place_id:ChIJkWJMb4DfKDoRnpj2acsYdUU,part_354,2026-09-20 20:20:29
Triveni False Cellings,False Ceiling Contractor,Contractor,"Contractor, Ceiling supplier, Interior Decorator",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 82877 79335,N/A,5.0,,"2nd, 11c, near Gandhi Path Road, Maa Karni Nagar, underpaas, Vaishali Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021","Maa Karni Nagar, underpaas, Vaishali Nagar",26.906423399999998,75.7285189,ChIJ6X2TGpW1bTkRmHyuZ_a6CHs,https://www.google.com/maps/place/?q=place_id:ChIJ6X2TGpW1bTkRmHyuZ_a6CHs,part_354,2026-09-20 20:20:29
RV CEILING,False Ceiling Contractor,Contractor,"Contractor, Ceiling supplier, Dry wall contractor, Gypsum Product Supplier, Roofing contractor",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 98067 40000,https://www.instagram.com/rv_ceiling?igsh=NG1zanRxN2p1c2Ji,4.8,,"Dev plaza Dev plaza, Devendra Nagar, Raipur, Chhattisgarh 492004",Devendra Nagar,21.2527732,81.6488131,ChIJ7-wOPADdKDoR30wrkX377gM,https://www.google.com/maps/place/?q=place_id:ChIJ7-wOPADdKDoR30wrkX377gM,part_354,2026-09-20 20:20:29
S.K Chaudhary False Ceiling Contractor,False Ceiling Contractor,Contractor,Contractor,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,5.0,,"Ahead, mukti dham navrang chowk, Boriya Rd, khurd, Raipur, Mathpurena, Chhattisgarh 492013",khurd,21.2010264,81.638784,ChIJcxqJEt_dKDoR49bhBLZYzn4,https://www.google.com/maps/place/?q=place_id:ChIJcxqJEt_dKDoR49bhBLZYzn4,part_354,2026-09-20 20:20:29
Shri Ram Plaster of Paris,False Ceiling Contractor,Interior designer,"Interior designer, Ceiling supplier, Dry wall contractor, Dry wall supply store",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,4.5,,"Ring Road No. 1, near Walfort City, Bhatagaon, Raipur, Chhattisgarh 492013",Bhatagaon,21.2180175,81.61758259999999,ChIJyW73KyfdKDoRTFAzl3Qf9Yc,https://www.google.com/maps/place/?q=place_id:ChIJyW73KyfdKDoRTFAzl3Qf9Yc,part_354,2026-09-20 20:20:29
HANU DESIGN,False Ceiling Contractor,Interior designer,Interior designer,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 96694 46666,N/A,4.6,,"Office no36,GROUND FLOOR , LAL GANGA MIDAS, Fafadih, Raipur, Chhattisgarh 492009","R.V.H. Colony, Jagriti Nagar, Fafadih",21.2634603,81.63738579999999,ChIJn3Gjx5PdKDoR1mb8aP24JT0,https://www.google.com/maps/place/?q=place_id:ChIJn3Gjx5PdKDoR1mb8aP24JT0,part_354,2026-09-20 20:20:29
AFFORDABLE STYLISH HOME DECOR,False Ceiling Contractor,Interior designer,Interior designer,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 70008 65152,N/A,4.7,,"Katulbod - Smriti Nagar Rd, Pushpak Nagar, Bhilai, Chhattisgarh 490020",768050,21.2165042,81.3169063,ChIJcRY97Rg9KToRVzeH9he8n3A,https://www.google.com/maps/place/?q=place_id:ChIJcRY97Rg9KToRVzeH9he8n3A,part_354,2026-09-20 20:20:29
VSR Structural & Interior Designer,False Ceiling Contractor,Interior designer,"Interior designer, Architect, Architectural designer, Architecture firm, Building designer, Real Estate Builders & Construction Company, Interior Decorator, Interior architect office, Structural engineer",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 96177 60987,https://vsr-structiral-interior-designer.lovable.app/,4.9,,"arihant complex office.12, near pachpedi naka, Priyadarshini Nagar, Raipur, Chhattisgarh 492001","Priyadarshini Nagar, Priyadarshini Nagar Colony, Gurumukh Singh Nagar",21.2235773,81.65368149999999,ChIJZ47uKF7dKDoRrG3OwYQKRbg,https://www.google.com/maps/place/?q=place_id:ChIJZ47uKF7dKDoRrG3OwYQKRbg,part_354,2026-09-20 20:20:29
New Sai Traders,False Ceiling Contractor,Gypsum Product Supplier,"Gypsum Product Supplier, Wholesaler",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 84069 79953,N/A,4.9,69.0,"Chowk, Adampur, Bhagalpur, Bihar 812001",Adampur,25.255336099999997,86.9854798,ChIJxZOLJm438DkRsH7pF-5q3Vs,https://www.google.com/maps/place/?q=place_id:ChIJxZOLJm438DkRsH7pF-5q3Vs,part_354,2026-09-20 20:20:30
i2i Buildconcept,False Ceiling Contractor,Interior construction contractor,Interior construction contractor,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 82338 29529,http://www.i2ibuildconcept.com/,,,"111/148, Vijay Path, Sector 122, Jhalana Chhod, Mansarovar, Jaipur, Rajasthan 302020","Sector 122, Jhalana Chhod, Mansarovar",26.8477158,75.769761,ChIJvVv_lpy1bTkR4O7ZE2Ml8sQ,https://www.google.com/maps/place/?q=place_id:ChIJvVv_lpy1bTkR4O7ZE2Ml8sQ,part_354,2026-09-20 20:20:30
