business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Banmali Central,Textile Wholesaler and Fabric Merchant,Clothing store,"Clothing store, Clothing wholesaler, Outlet mall, Shopping mall",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 97775 52421,N/A,4.7,,"Main Road, Kantabanji, Odisha 767039",768050,20.4678321,82.9173431,ChIJKx4lpyhNJDoRMK-gQANehEo,https://www.google.com/maps/place/?q=place_id:ChIJKx4lpyhNJDoRMK-gQANehEo,part_354,2026-09-20 20:20:15
New Cloth Center,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 93018 46852,N/A,4.6,,"H3QG+9V9, Nagar palika road, Sarangarh, Bhainjnar, Chhattisgarh 496445",768050,21.5884136,83.077229,ChIJDzxWmjT7JjoRLaMmcAR3j4I,https://www.google.com/maps/place/?q=place_id:ChIJDzxWmjT7JjoRLaMmcAR3j4I,part_354,2026-09-20 20:20:15
Tushar Garments,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 94372 10077,N/A,3.6,,"Main Road, SH 42, Patnagarh, Odisha 767041",768050,20.7074616,83.1326404,ChIJfWA39q87JDoRPXBkBMn2kRQ,https://www.google.com/maps/place/?q=place_id:ChIJfWA39q87JDoRPXBkBMn2kRQ,part_354,2026-09-20 20:20:15
देवांगन क्लॉथ एण्ड टेलर्स,Textile Wholesaler and Fabric Merchant,Clothing store,"Clothing store, Clothing manufacturer",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,4.6,,"Tundra Marg, Tundra, Chhattisgarh 493344",768050,21.676524,82.6055205,ChIJg23L_7BLJjoRH5KlHw_qCVI,https://www.google.com/maps/place/?q=place_id:ChIJg23L_7BLJjoRH5KlHw_qCVI,part_354,2026-09-20 20:20:15
Siddhi Vinayak Cloth Store,Textile Wholesaler and Fabric Merchant,Dress store,Dress store,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,3.9,,"7QQ6+M8R, Khariar, Odisha 766107",768050,20.2892285,82.76077529999999,ChIJG4vX7jmvJToRCFv6RYGinlc,https://www.google.com/maps/place/?q=place_id:ChIJG4vX7jmvJToRCFv6RYGinlc,part_354,2026-09-20 20:20:15
Poonam Textiles,Textile Wholesaler and Fabric Merchant,Uniform store,Uniform store,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 98316 76017,http://www.poonamtextiles.com/,4.8,,"Suite No. 59, Land Mark:, 187, Rabindra Sarani, Mahatma Gandhi Rd, 1st Floor, Chitpur, Crossing, Kolkata, West Bengal 700007","1st Floor, Chitpur, Crossing",22.580226,88.35685099999999,ChIJK78H1Mx3AjoR-Qzr-Bcj9aI,https://www.google.com/maps/place/?q=place_id:ChIJK78H1Mx3AjoR-Qzr-Bcj9aI,part_354,2026-09-20 20:20:15
Bhilwara Textile Market,Textile Wholesaler and Fabric Merchant,Clothing store,"Clothing store, Clothing manufacturer, Clothing supplier, Clothing wholesaler, Garment Exporter, Textile Exporter",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,3.8,19.0,"8JP3+63C, New Cloth Market Gangapur Choraya, Pur Rd, Bhilwara, Rajasthan 311001",Labour Colony,25.3355678,74.6026533,ChIJQX3tIqjDaDkRlaZzVA4TfqE,https://www.google.com/maps/place/?q=place_id:ChIJQX3tIqjDaDkRlaZzVA4TfqE,part_354,2026-09-20 20:20:17
Nebco Textile Industries Pvt. Ltd.,Textile Wholesaler and Fabric Merchant,Manufacturer,"Manufacturer, Lamination service",768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 85911 70600,http://www.nebcotextiles.com/,4.4,12.0,"R 467 / R 468, T.T.C. Industrial Area, MIDC Industrial Area, Rabale, Navi Mumbai, Maharashtra 400701","T.T.C. Industrial Area, MIDC Industrial Area, Rabale",19.1468387,73.0113635,ChIJ_____6rA5zsR0qAtz_UUxoc,https://www.google.com/maps/place/?q=place_id:ChIJ_____6rA5zsR0qAtz_UUxoc,part_354,2026-09-20 20:20:17
JP Cloth,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",+91 95212 17403,https://www.instagram.com/jp_cloth_chittorgarh_09?igsh=MzNvZjZoNW9qMWRl,4.8,515.0,"49-50 kidwai nagar, near sonalika tractor, Nagar Palika Colony, Chittorgarh, Rajasthan 312001",Nagar Palika Colony,24.8869319,74.6261073,ChIJmV7eXQChaDkRYC8KqOib-jA,https://www.google.com/maps/place/?q=place_id:ChIJmV7eXQChaDkRYC8KqOib-jA,part_354,2026-09-20 20:20:17
Saanvi Decobuild Warehouse,Textile Wholesaler and Fabric Merchant,Warehouse,Warehouse,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,http://saanviavs.com/,,,"6QP9+4Q7, Vedvyas, Rourkela, Odisha 769004",Vedvyas,22.2352807,84.769425,ChIJ29KgCwAXIDoR-gfFl9ZLMEc,https://www.google.com/maps/place/?q=place_id:ChIJ29KgCwAXIDoR-gfFl9ZLMEc,part_354,2026-09-20 20:20:17
Vikash Enterprises,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,,,"8JM9+WQX, Bargarh Rd, Bargarh Bazar, Dhanger, Bargarh, Odisha 768028","Bargarh Bazar, Dhanger",21.3348619,83.61948679999999,ChIJeY1ujZNKIToR90_2s23jTB4,https://www.google.com/maps/place/?q=place_id:ChIJeY1ujZNKIToR90_2s23jTB4,part_354,2026-09-20 20:20:17
