business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Drone Dhari madhur | Drone rental service | Video editing service | Video editor,Videographer and Drone Rental,Photographer,"Photographer, Service establishment",768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",+91 91311 26870,https://drone-dhari-madhur.my.canva.site/,5.0,1.0,"Drone Dhari madhur | Drone rental service | Video editing service | Video editor, 768052, India",768052,25.7486982,77.851694,ChIJl19TBApj7qQRxCCAH7lg6Q4,https://www.google.com/maps/place/?q=place_id:ChIJl19TBApj7qQRxCCAH7lg6Q4,part_354,2026-09-20 20:21:17
BABULU VIDEO,Videographer and Drone Rental,Gift shop,Gift shop,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",+91 70085 88112,N/A,4.9,64.0,"Kali Mandir Rd, opposite of BJD Office, Badheimunda, Jharsuguda, Odisha 768202",Badheimunda,21.867411699999998,84.030075,ChIJwV25iz_lIDoRWkemwHarKkw,https://www.google.com/maps/place/?q=place_id:ChIJwV25iz_lIDoRWkemwHarKkw,part_354,2026-09-20 20:21:17
JMD VIDEO PHOTOGRAPHY EVENT PLANNER,Videographer and Drone Rental,Wedding service,Wedding service,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",+91 73557 30638,N/A,4.4,12.0,"Karampur, road, Bihariganj, Saidpur, Uttar Pradesh 233223",Gopalapur,25.5462457,83.16054199999999,ChIJX0JBIX_ZkTkRgtOlf3J_8hg,https://www.google.com/maps/place/?q=place_id:ChIJX0JBIX_ZkTkRgtOlf3J_8hg,part_354,2026-09-20 20:21:17
The Drone shots,Videographer and Drone Rental,Photography service,Photography service,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,5.0,1.0,"Saraswati Kunj East, Risali Chandkhuri Rd, Bhilai, Chhattisgarh 491001",768052,21.1465049,81.3337201,ChIJ6WLCkSs7KToRf_83he0VHeA,https://www.google.com/maps/place/?q=place_id:ChIJ6WLCkSs7KToRf_83he0VHeA,part_354,2026-09-20 20:21:17
Cine Film Production,Videographer and Drone Rental,Photography service,"Photography service, Service establishment",768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,http://cinefilmproduction.com/,5.0,2.0,"Cine Film Production, 768052, India",768052,21.0680074,82.7525294,ChIJMf4pywCBDKQR3_yN3ewXXno,https://www.google.com/maps/place/?q=place_id:ChIJMf4pywCBDKQR3_yN3ewXXno,part_354,2026-09-20 20:21:17
NOVELTY FILMS,Videographer and Drone Rental,Photography service,Photography service,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",+91 98122 02080,N/A,4.6,48.0,"Mohalla, near Jain Mandir, Nalapur, Narnaul, Haryana 123001",Nalapur,28.0459395,76.1102709,ChIJXcDjC921EjkR5tG8AvRdIwE,https://www.google.com/maps/place/?q=place_id:ChIJXcDjC921EjkR5tG8AvRdIwE,part_354,2026-09-20 20:21:17
Drone Shot,Videographer and Drone Rental,Video production service,Video production service,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",+91 87894 20541,https://www.instagram.com/droneguru99?igsh=MXkwY3VnNHpicDZhag==,5.0,1.0,"near Kali mandir, Khagara, Bihar 853204",768052,25.351025999999997,87.0621862,ChIJTQUC2pox8DkRIA6A0f4YwiQ,https://www.google.com/maps/place/?q=place_id:ChIJTQUC2pox8DkRIA6A0f4YwiQ,part_354,2026-09-20 20:21:18
Rout Electronics,Videographer and Drone Rental,Electronics wholesaler,"Electronics wholesaler, Electronic engineering service, Repair service, Tool rental service",768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",+91 90403 77143,N/A,4.3,70.0,"Kakudipal, Garadihi, Raj Berhampur, Odisha 756041",768052,21.515295,86.6637593,ChIJK3gvtrhDHDoR4vBndPcZ_RY,https://www.google.com/maps/place/?q=place_id:ChIJK3gvtrhDHDoR4vBndPcZ_RY,part_354,2026-09-20 20:21:18
Drone for rent in baripada,Videographer and Drone Rental,Drone service,Drone service,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",+91 88399 30381,https://www.instagram.com/jdsani9?igsh=MW5udmg2Ym4wc2J3Zw==,,,"Station Bazar, Teachers Colony, Baripada, Odisha 757001","Station Bazar, Teachers Colony",21.9260588,86.73437109999999,ChIJwaNzqIOxHToRyYyeu00CyeA,https://www.google.com/maps/place/?q=place_id:ChIJwaNzqIOxHToRyYyeu00CyeA,part_354,2026-09-20 20:21:18
NANDU DSLR CAMERA BOOKING,Videographer and Drone Rental,Camera store,Camera store,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,https://www.youtube.com/channel/UCHfYjbdnFV2RNWZNKUWn-RQ,5.0,10.0,"Unnamed Road, Amatoli, Chhattisgarh 496220",768052,22.442167899999998,83.74528769999999,ChIJK_ZmuQGpIDoRsNmKQ1KaSy8,https://www.google.com/maps/place/?q=place_id:ChIJK_ZmuQGpIDoRsNmKQ1KaSy8,part_354,2026-09-20 20:21:18
