business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Neonz Resort & Club,Resort,Resort hotel,"Resort hotel, Club, Conference center, Restaurant, Wedding venue",768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 90990 58189,https://www.neonz.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.7,6234,"Dabhou Rly Station, Dabhou-Malataj Road Village Dabhou, Taluka, Sojitra, Gujarat 387210",768053,22.581259799999998,72.73139019999999,ChIJjfJvqslXXjkRLuiSsh5PwUs,https://www.google.com/maps/place/?q=place_id:ChIJjfJvqslXXjkRLuiSsh5PwUs,part_354,2026-09-20 20:22:02
Shivjot Farms & Resort,Resort,Resort hotel,"Resort hotel, Adventure Sports Center, Banquet hall, Cottage, Event venue, Extended stay hotel, Farmstay, Hotel, Restaurant, Wedding venue",768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 98882 46388,https://shivjotresorts.com/,4.6,3243,"Village Billa, Near Ramgarh & Nada Sahib Gurudwara, Panchkula Chandigarh, Panchkula, Haryana 134118",768053,30.6549843,76.94105239999999,ChIJbRQVVzuXDzkRUtxAi1nA3eI,https://www.google.com/maps/place/?q=place_id:ChIJbRQVVzuXDzkRUtxAi1nA3eI,part_354,2026-09-20 20:22:02
Sunray Village Resort,Resort,Resort hotel,"Resort hotel, Hotel",768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 94907 00147,https://sunrayvillageresort.com/?utm_source=google&utm_medium=organic,4.4,5232,"Amatam, Ravivalasa, Panchayathi)(PO, Bhogapuram (mandal, Savaravilli, Visakhapatnam, Andhra Pradesh 535216",Bhogapuram (mandal,17.9839996,83.4835092,ChIJZaWXjAZpOToRPmooF35dIHE,https://www.google.com/maps/place/?q=place_id:ChIJZaWXjAZpOToRPmooF35dIHE,part_354,2026-09-20 20:22:02
Mango Mist Resorts,Resort,Resort hotel,Resort hotel,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 90600 90777,http://www.mangomist.com/,4.6,65428,"Survey No 33&37, Harapanahalli Jigani Hobli, Anekal, Taluk, Bengaluru, Karnataka 560105",768053,12.7847989,77.62164179999999,ChIJf_JM-2JprjsRwPe63Ub1dGw,https://www.google.com/maps/place/?q=place_id:ChIJf_JM-2JprjsRwPe63Ub1dGw,part_354,2026-09-20 20:22:02
"Visamo Nalsarovar Resort, Ahmedabad",Resort,Resort hotel,Resort hotel,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 95868 68495,https://www.visamofarmstays.com/,4.6,2712,"Visamo Nalsarovar Resort, State Heighway Bavla, Kerala Nalsarovar Rd, Chhabasar, Gujarat 382220",768053,22.7803543,72.2535285,ChIJtzByve6_XjkRANXwijS-Bi8,https://www.google.com/maps/place/?q=place_id:ChIJtzByve6_XjkRANXwijS-Bi8,part_354,2026-09-20 20:22:02
Madhubhan Resort & Spa,Resort,Resort hotel,"Resort hotel, Banquet hall, Conference center, Event venue, Family restaurant, Hotel, Spa, Swimming pool, Tourist attraction, Wedding venue",768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 2692 239 910,https://madhubhanresortandspa.com/,4.8,11865,"Anand - Sojitra Rd, Vithal Udyognagar, Vallabh Vidyanagar, Anand, Gujarat 388120","Vithal Udyognagar, Vallabh Vidyanagar",22.5366523,72.9405196,ChIJO0Jv9dJNXjkRuGunj40qokw,https://www.google.com/maps/place/?q=place_id:ChIJO0Jv9dJNXjkRuGunj40qokw,part_354,2026-09-20 20:22:02
Jehan Numa Retreat Club & Spa,Resort,Resort hotel,Resort hotel,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 75571 70123,https://www.jehannuma.com/retreat-bhopal/,4.5,4403,"Vanvihar Rd, Van Vihar National Park, Near, Prempura, Bhopal, Madhya Pradesh 462003","Van Vihar National Park, Near, Prempura",23.218456,77.371731,ChIJi-prdjFdfDkRLb89BgPNgyQ,https://www.google.com/maps/place/?q=place_id:ChIJi-prdjFdfDkRLb89BgPNgyQ,part_354,2026-09-20 20:22:02
Vedik Resort,Resort,Resort hotel,"Resort hotel, Banquet hall, Conference center, Hotel, Picnic ground, Swimming pool, Vegetarian restaurant, Wedding venue",768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 70465 20000,http://vedikresort.com/,4.4,2723,"Near, Survey No.45 State Highway No. 6, Sahol, Gujarat 394810",768053,21.451577,72.8216149,ChIJM8xrHEIx4DsR4nVuxb_VGLc,https://www.google.com/maps/place/?q=place_id:ChIJM8xrHEIx4DsR4nVuxb_VGLc,part_354,2026-09-20 20:22:02
Graces Resort,Resort,Resort hotel,"Resort hotel, Event venue, Hotel, Restaurant, Wedding venue",768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 92852 04856,https://www.gracesresort.com/,4.3,2732,"Village konajheer, sehore ichhawar, road, adjacent to Bhopal- Indore highway, Sehore, Madhya Pradesh 466001",768053,23.1334427,77.0496539,ChIJN891dSnyfDkRho6lvVNJNMo,https://www.google.com/maps/place/?q=place_id:ChIJN891dSnyfDkRho6lvVNJNMo,part_354,2026-09-20 20:22:02
Pushp Vatika Hotel & Resort,Resort,Resort hotel,"Resort hotel, Banquet hall, Cafe, Garden, Hotel, Restaurant, Swimming pool, Tennis court",768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 97840 88911,N/A,4.7,335,"Bundi, 15, Km milestone, NH-52, Kota-Bundi Midway, Talera, Rajasthan 323021",768053,25.325312099999998,75.72,ChIJ2wZhW7qfbzkRgt31BPl2K7s,https://www.google.com/maps/place/?q=place_id:ChIJ2wZhW7qfbzkRgt31BPl2K7s,part_354,2026-09-20 20:22:02
