business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rajasthani hotel shree Khema Baba,Pure Veg Restaurant,Restaurant,Restaurant,768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",+91 79789 86768,N/A,4.0,113.0,"74FM+QHH, Kansar, Odisha 768105",768105,21.274443599999998,84.1339905,ChIJVY8QoCRxIToRg-ypV4MaGzo,https://www.google.com/maps/place/?q=place_id:ChIJVY8QoCRxIToRg-ypV4MaGzo,part_354,2026-09-20 20:24:35
ANNAPURNA HOTEL Badhindol Rairkhol sambalpur cuttack rood,Pure Veg Restaurant,Dhaba,Dhaba,768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",N/A,N/A,4.2,15.0,"37R5+5C5, Nuagan, Odisha 768106",768105,21.0903752,84.25860689999999,ChIJYdOO5zZ_IToRIoiv3sGGW78,https://www.google.com/maps/place/?q=place_id:ChIJYdOO5zZ_IToRIoiv3sGGW78,part_354,2026-09-20 20:24:35
THE VEGAN TABLES,Pure Veg Restaurant,Pizza takeaway,"Pizza takeaway, Chinese takeaway",768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",+91 83277 57139,N/A,4.9,29.0,"SHRI SAI VIHAR, BHATRA, Dhanupali, Sambalpur, Odisha 768005","BHATRA, Dhanupali",21.441668099999998,84.0001053,ChIJkco9N20VIToRm2VBK60B6k4,https://www.google.com/maps/place/?q=place_id:ChIJkco9N20VIToRm2VBK60B6k4,part_354,2026-09-20 20:24:35
Bhatia Hotel Pure veg Thali,Pure Veg Restaurant,Restaurant,"Restaurant, Hotel",768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",+91 97760 09621,N/A,3.9,97.0,"FXV7+W7X, Baraipali Chowk, Tentel Para, Sambalpur, Odisha 768006",Tentel Para,21.4948601,83.9632189,ChIJOaOnOkUWIToR8H51GAhvfzo,https://www.google.com/maps/place/?q=place_id:ChIJOaOnOkUWIToR8H51GAhvfzo,part_354,2026-09-20 20:24:35
New Rajasthani Thali & restaurant,Pure Veg Restaurant,North Indian restaurant,North Indian restaurant,768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",+91 93517 48913,N/A,4.2,379.0,"Veer Surendra Sai Marg, Sakhipara, Sambalpur, Odisha 768001",Sakhipara,21.467150699999998,83.9771368,ChIJf1X_OAcXIToRNC7AkAvXuk0,https://www.google.com/maps/place/?q=place_id:ChIJf1X_OAcXIToRNC7AkAvXuk0,part_354,2026-09-20 20:24:35
Sri khetra swada,Pure Veg Restaurant,Health food restaurant,Health food restaurant,768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",N/A,N/A,4.1,634.0,"SH10, Govindtola, Hans Nagar, Sambalpur, Odisha 768001","Govindtola, Hans Nagar",21.4557263,83.98695239999999,ChIJefQ2GnIVIToRkFq5dqYR65o,https://www.google.com/maps/place/?q=place_id:ChIJefQ2GnIVIToRkFq5dqYR65o,part_354,2026-09-20 20:24:35
Swagat Hotel,Pure Veg Restaurant,Indian restaurant,"Indian restaurant, Biryani restaurant, Chinese restaurant, Dhaba",768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",+91 96680 92472,N/A,3.7,590.0,"Opp. Jewellery World, V.S.S Marg, Sambalpur, Odisha 768001",Hans Nagar,21.4666154,83.9775871,ChIJ_7gnGoEWIToR_6m6QpE41Yc,https://www.google.com/maps/place/?q=place_id:ChIJ_7gnGoEWIToR_6m6QpE41Yc,part_354,2026-09-20 20:24:35
"Indian dhaba,kayakud",Pure Veg Restaurant,Restaurant,Restaurant,768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",N/A,N/A,4.2,32.0,"55X8+MHR, Kayakud, Odisha 768105",768105,21.1992461,84.16638119999999,ChIJaXw2eMhxIToRshH6ILyf1hE,https://www.google.com/maps/place/?q=place_id:ChIJaXw2eMhxIToRshH6ILyf1hE,part_354,2026-09-20 20:24:35
Dhabaa Junction,Pure Veg Restaurant,Indian restaurant,Indian restaurant,768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",+91 82499 65630,N/A,4.4,14.0,"Maneswar, Jhankarpali, Odisha 768005",768105,21.4027067,84.0484704,ChIJgccdXgATIToRH7JSPBDsEDw,https://www.google.com/maps/place/?q=place_id:ChIJgccdXgATIToRH7JSPBDsEDw,part_354,2026-09-20 20:24:35
The Rajwada Vibes,Pure Veg Restaurant,Restaurant,Restaurant,768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O",+91 98617 36163,N/A,4.7,278.0,"Hirakud Railway Station, Near, NH-53, beside HP Petrol Pump, Sambalpur, Odisha 768020",768105,21.4761927,83.9031138,ChIJZez5rp49IToRUmTJuX3nvto,https://www.google.com/maps/place/?q=place_id:ChIJZez5rp49IToRUmTJuX3nvto,part_354,2026-09-20 20:24:35
