business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adhunik Footwear,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 80187 89491,N/A,,,"Kandhal, Odisha 768108",768108,21.5472638,84.8759623,ChIJj0-x1STZIToRBjE_tko7S7g,https://www.google.com/maps/place/?q=place_id:ChIJj0-x1STZIToRBjE_tko7S7g,part_354,2026-09-20 20:26:49
KHADIM - Bonaigarh,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 98618 46812,https://www.khadims.com/,4.0,,"Mela padia, Plot No - 1197, Kuchinda - Bonaigarh Rd, Bonaigarh, Brahmangaon, Odisha 770038",768108,21.816941399999997,84.9586669,ChIJRZZ_n5OBHzoRMCjXGBT0Frw,https://www.google.com/maps/place/?q=place_id:ChIJRZZ_n5OBHzoRMCjXGBT0Frw,part_354,2026-09-20 20:26:49
Royal Footwear,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 97788 81176,N/A,5.0,,"Kansbahal, kansbahal, Rourkela, Odisha 770034",768108,22.2274207,84.7015593,ChIJcYntwXwXIDoREw6ozABd_Hw,https://www.google.com/maps/place/?q=place_id:ChIJcYntwXwXIDoREw6ozABd_Hw,part_354,2026-09-20 20:26:49
BASUDEB SHOES HOUSE,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 91782 33588,N/A,,,"SHOPNO1, Panchamahala, Rourkela, Odisha 768110",768108,21.5491101,84.9382699,ChIJc0cOHH3ZIToR-oAvdPcFj5k,https://www.google.com/maps/place/?q=place_id:ChIJc0cOHH3ZIToR-oAvdPcFj5k,part_354,2026-09-20 20:26:49
Jk footwear,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",N/A,N/A,,,"GPQH+8HG, Deogarh, Odisha 768108",768108,21.5383136,84.7289442,ChIJy2sWqi7FIToRLo_aFTq4wEM,https://www.google.com/maps/place/?q=place_id:ChIJy2sWqi7FIToRLo_aFTq4wEM,part_354,2026-09-20 20:26:49
Singhal Footwear,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 77377 08710,N/A,5.0,1.0,"GX3X+W35, Kunda Market Rd, Govind Garh, Ramwas, Rajasthan 301604",768108,27.5047662,76.9977411,ChIJ2YxcQgDvcjkRQB7WNiMK_o8,https://www.google.com/maps/place/?q=place_id:ChIJ2YxcQgDvcjkRQB7WNiMK_o8,part_354,2026-09-20 20:26:50
INDIAN SHOES COLLECTION,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",N/A,N/A,5.0,58.0,"Infront Badal Garment, Nursery ke Pass, Aliganj Road, Nale Wali Gali, Etah, Uttar Pradesh 207001",Nale Wali Gali,27.5567019,78.6688247,ChIJVy-c23wDdTkR0ZNAWiJMsdA,https://www.google.com/maps/place/?q=place_id:ChIJVy-c23wDdTkR0ZNAWiJMsdA,part_354,2026-09-20 20:26:50
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 73808 33181,https://stores.trends-footwear.com/trends-footwear-rrl-footprint-central-plaza-deoghar-shoe-shop-netaji-shah-road-deoghar-477508/Home?utm_source=locator&utm_medium=googleplaces,4.9,284.0,"1st Floor, Central Plaza, near Netaji Subash Road, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4908446,86.6911301,ChIJH3tFTx8X8TkRCTqyJTtLDS0,https://www.google.com/maps/place/?q=place_id:ChIJH3tFTx8X8TkRCTqyJTtLDS0,part_354,2026-09-20 20:26:50
Bharat Shoes Store,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 93528 58585,N/A,5.0,1.0,"Mandalgarh choraya, court road, Mandalgarh, Rajasthan 311604",768108,25.2038442,75.09182559999999,ChIJNYLXm01JbzkRhoHhTnz3v0A,https://www.google.com/maps/place/?q=place_id:ChIJNYLXm01JbzkRhoHhTnz3v0A,part_354,2026-09-20 20:26:50
Hindustan Footwear,Footwear and Shoe Store,Shoe store,"Shoe store, Footwear wholesaler",768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 93383 49555,N/A,4.0,1.0,"6MH5+GXP, Kansbahal, Sundargarh Highway, Roukela, Odisha 770034",768108,22.2288368,84.65995149999999,ChIJFUoXNG8UIDoRDfZ7M0JmUi0,https://www.google.com/maps/place/?q=place_id:ChIJFUoXNG8UIDoRDfZ7M0JmUi0,part_354,2026-09-20 20:26:50
KRISHNA SHOE PLAZA,Footwear and Shoe Store,Shoe store,Shoe store,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 89494 96446,https://www.instagram.com/krishna_shoe_plaza?igsh=MXgzZXNycGg2N2wzcA==,5.0,225.0,"34, Sindhi Colony, Pratap Nagar, Chittorgarh, Rajasthan 312001","Sindhi Colony, Pratap Nagar",24.8755778,74.6185409,ChIJuzeEPX2haDkRvWDsesUYXuo,https://www.google.com/maps/place/?q=place_id:ChIJuzeEPX2haDkRvWDsesUYXuo,part_354,2026-09-20 20:26:51
