business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Good Health Multi-Speciality Hospital & Trauma Center,Multispeciality Hospital,Hospital,Hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 77068 12200,https://goodhealthhospital.com/,4.0,,"shankarpur check post, road, Fariya, Madanpur, Uttar Pradesh 276207",768108,25.9950263,83.0783685,ChIJlyoVDACxkTkRN6RYQ5407EI,https://www.google.com/maps/place/?q=place_id:ChIJlyoVDACxkTkRN6RYQ5407EI,part_354,2026-09-20 20:26:52
Jaiprakash Hospital & Research Center Pvt Ltd.,Multispeciality Hospital,Hospital,Hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",N/A,https://www.jaiprakashhospitals.com/,4.0,,"Dayanand Nagar, Dandiapali, Rourkela, Odisha 769004","Dayanand Nagar, Dandiapali",22.224704,84.79682299999999,ChIJAXF4Ur4ZIDoR2P-hz-Z46Ts,https://www.google.com/maps/place/?q=place_id:ChIJAXF4Ur4ZIDoR2P-hz-Z46Ts,part_354,2026-09-20 20:26:52
Stuti Hospital,Multispeciality Hospital,Hospital,Hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 94141 36426,N/A,3.9,,"Bhim, Rajsamand, NH-8, Rajsamand Road, Deogarh, Rajasthan 305922",768108,25.5767882,73.89857359999999,ChIJGxHJsk-0aTkR37Qum7OKhrk,https://www.google.com/maps/place/?q=place_id:ChIJGxHJsk-0aTkR37Qum7OKhrk,part_354,2026-09-20 20:26:52
Kalyani Multi Speciality Hospital,Multispeciality Hospital,Hospital,"Hospital, Doctor",768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",N/A,N/A,3.6,,"Satyabandha, Khamar, Narayanchandrapur, Odisha 759118",768108,21.2443021,85.1908435,ChIJq6KAM95HHzoR_nMUXJu_6-Q,https://www.google.com/maps/place/?q=place_id:ChIJq6KAM95HHzoR_nMUXJu_6-Q,part_354,2026-09-20 20:26:52
Krishna Children Hospital || Best Hospital | Children Hospital | Pediatric Hospital,Multispeciality Hospital,Children's hospital,Children's hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 82909 63036,N/A,4.9,,"KAMLIGHAT ROAD, behind BALAJI MANDIR, Deogarh, Devgarh, Rajasthan 313331",768108,25.535394,73.8943415,ChIJx279AZa1aTkRJSXPsMzc3JU,https://www.google.com/maps/place/?q=place_id:ChIJx279AZa1aTkRJSXPsMzc3JU,part_354,2026-09-20 20:26:52
MAHESWARI HOSPITAL,Multispeciality Hospital,Hospital,Hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",+91 91785 89370,N/A,4.0,,"38CP+62J, Redhakhol, Odisha 768106",768108,21.070597199999998,84.3350268,ChIJEyRq0luBIToR3odTyoBFMHA,https://www.google.com/maps/place/?q=place_id:ChIJEyRq0luBIToR3odTyoBFMHA,part_354,2026-09-20 20:26:52
Krish Hospital,Multispeciality Hospital,Hospital,Hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",N/A,N/A,4.4,,"Sapoi Sahi, Chhendipada Rd, Chhendipada, Chhendipadajungle, Odisha 759124",768108,21.0882875,84.8575156,ChIJr9O1WrX-IToRzD2EaWdcSuE,https://www.google.com/maps/place/?q=place_id:ChIJr9O1WrX-IToRzD2EaWdcSuE,part_354,2026-09-20 20:26:52
Niramay hospital,Multispeciality Hospital,Hospital,Hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",N/A,N/A,4.8,,"XWH3+3RF, NTPC Darlipali Rd, Darlipali, Odisha 770025",768108,21.97799,83.9038094,ChIJte8Zd5vDIDoRQIYVZ_nKCqM,https://www.google.com/maps/place/?q=place_id:ChIJte8Zd5vDIDoRQIYVZ_nKCqM,part_354,2026-09-20 20:26:52
Khamar Hospital,Multispeciality Hospital,Hospital,Hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",N/A,N/A,2.6,,"756W+7WF, NH 23, Odasha, Odisha 759118",768108,21.260684899999998,85.1973057,ChIJbWVa_3xGHzoRAwyuaNekM-0,https://www.google.com/maps/place/?q=place_id:ChIJbWVa_3xGHzoRAwyuaNekM-0,part_354,2026-09-20 20:26:52
Lahunipara Hospital,Multispeciality Hospital,Hospital,Hospital,768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O",N/A,N/A,3.7,,"VWJQ+JXW, Lahunipara, Odisha 770040",768108,21.881615999999998,84.9399557,ChIJmzoG9_0pIDoRrMF8WZ85b8E,https://www.google.com/maps/place/?q=place_id:ChIJmzoG9_0pIDoRrMF8WZ85b8E,part_354,2026-09-20 20:26:52
