business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Digital Somanath,Insurance Agent,Insurance agency,"Insurance agency, Computer store",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",N/A,https://vocal-bavarois-a0046d.netlify.app/,5.0,,"Pallahara, Illisuan, Odisha 759115",768110,21.4276754,85.2023569,ChIJq3R7zZprHzoRqvUlzVAEOoA,https://www.google.com/maps/place/?q=place_id:ChIJq3R7zZprHzoRqvUlzVAEOoA,part_354,2026-09-20 20:28:35
HDFC ERGO General Insurance,Insurance Agent,Insurance broker,"Insurance broker, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 22 6234 6234,https://agent.hdfcergo.com/hdfc-ergo-general-insurance-insurance-broker-pallahara-angul-453788/Home,,,"Ground Floor, Pallahara, Illisuan, Odisha 759119",768110,21.4276754,85.2023569,ChIJV5N9KbprHzoRb6ALul1Ks1o,https://www.google.com/maps/place/?q=place_id:ChIJV5N9KbprHzoRb6ALul1Ks1o,part_354,2026-09-20 20:28:35
HDFC ERGO Insurance Agent: Akshaya Kumar Kallo,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 80 3746 9787,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-akshaya-kumar-kallo-insurance-broker-tikayatpali-sundergarh-453731/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Tikayatpali, Odisha 770051",768110,21.7152501,84.8750338,ChIJUzJan8rVIToRcg5ZdKnqQ-s,https://www.google.com/maps/place/?q=place_id:ChIJUzJan8rVIToRcg5ZdKnqQ-s,part_354,2026-09-20 20:28:35
LIC India,Insurance Agent,Insurance agency,Insurance agency,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",N/A,https://licindia.in/,4.3,,"Baikuntha Nagar, Brahmapur, Odisha 760001",Baikuntha Nagar,19.314976599999998,84.7983491,ChIJZ3K0FXJQPToRMBIW8pQrSKs,https://www.google.com/maps/place/?q=place_id:ChIJZ3K0FXJQPToRMBIW8pQrSKs,part_354,2026-09-20 20:28:35
Residence of Harihar Biswal,Insurance Agent,Insurance agency,Insurance agency,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",N/A,N/A,,,"C6H2+3WH, Pallahara, Illisuan, Odisha 759119",768110,21.4276754,85.2023569,ChIJyWCdCQBrHzoRpVQ5Wq9o8mE,https://www.google.com/maps/place/?q=place_id:ChIJyWCdCQBrHzoRpVQ5Wq9o8mE,part_354,2026-09-20 20:28:35
Tushar Goel & Insurance Co,Insurance Agent,Insurance company,"Insurance company, Auto insurance agency, Dental insurance agency, Financial consultant, Health insurance agency, Home insurance agency, Insurance agent, Insurance broker, Life insurance agency",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 78697 34440,https://www.tushargoelinsurance.com/,4.7,31.0,"City Center, Old Bus Stand, Shiv Talkies Road, Bilaspur, Telipara, Chhattisgarh 495001",768110,22.0744872,82.1614658,ChIJpZac0kYLKDoR5Z5PWaYJglA,https://www.google.com/maps/place/?q=place_id:ChIJpZac0kYLKDoR5Z5PWaYJglA,part_354,2026-09-20 20:28:36
Policyguruji,Insurance Agent,Insurance agency,Insurance agency,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 75881 91875,https://policyguruji.com/,5.0,101.0,"policyguruji Near Shivaji Chauk, Nath Road Parli Vaijnath Tq, Dist, Parli Vaijnath, Maharashtra 431515","Manik Nagar, Habib Pura",18.8471932,76.5238482,ChIJjdR0K6j3zzsRGjc15W_fPgQ,https://www.google.com/maps/place/?q=place_id:ChIJjdR0K6j3zzsRGjc15W_fPgQ,part_354,2026-09-20 20:28:36
Car Insurance Agent,Insurance Agent,Insurance broker,"Insurance broker, Service establishment",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 98727 98721,https://www.carinsuranceagent.in/,5.0,4.0,"Car Insurance Agent, 768110, India",768110,30.7412231,76.79884349999999,ChIJDyyyj7AozmsRpkxBkCbbkpo,https://www.google.com/maps/place/?q=place_id:ChIJDyyyj7AozmsRpkxBkCbbkpo,part_354,2026-09-20 20:28:36
"MUTUAL FUND SOLUTIONS - Health insurance, Term Insurance , Stocks , Vehicle insurance, ITR, Tax solutions,Home Insurance",Insurance Agent,Investment service,"Investment service, Service establishment, Financial consultant, Insurance broker",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",N/A,N/A,4.8,12.0,"MUTUAL FUND SOLUTIONS - Health insurance, Term Insurance , Stocks , Vehicle insurance, ITR, Tax solutions,Home Insurance, 768110, India",768110,29.3793449,78.6710116,ChIJlQ5QZXAqCTkR4KK1NElknHA,https://www.google.com/maps/place/?q=place_id:ChIJlQ5QZXAqCTkR4KK1NElknHA,part_354,2026-09-20 20:28:36
General Insurance Corporation Of India Reinsurance,Insurance Agent,Insurance agency,"Insurance agency, Service establishment",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",N/A,N/A,5.0,1.0,"General Insurance Corporation Of India Reinsurance, 768110, India",768110,21.0680074,82.7525294,ChIJZ3iqS5hbPToRRIWp1ek_ajo,https://www.google.com/maps/place/?q=place_id:ChIJZ3iqS5hbPToRRIWp1ek_ajo,part_354,2026-09-20 20:28:36
