business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RD Physio care,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Medical clinic, Neurologist, Orthopedic clinic, Private hospital",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 80188 03101,N/A,5.0,37.0,"Daspalla, Jagapur, Odisha 752084",768110,20.3235514,84.8539313,ChIJ9b4ATP19IjoR-hFqua3Pkso,https://www.google.com/maps/place/?q=place_id:ChIJ9b4ATP19IjoR-hFqua3Pkso,part_354,2026-09-20 20:28:15
Ortho neuro physiotherapy centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 97762 44808,N/A,4.9,16.0,"sani mandir, near temporary complex, Nalco Nagar, NALCO, Angul, Odisha 759132",Nalco Nagar,20.8210199,85.1569899,ChIJDwX5sbKxGDoRkhkZPJTH3NU,https://www.google.com/maps/place/?q=place_id:ChIJDwX5sbKxGDoRkhkZPJTH3NU,part_354,2026-09-20 20:28:15
Physiotherapy clinic in anakaputhur,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Doctor, Hospital, Medical Center, Medical clinic, Neurologist, Orthopedic clinic, Pain control clinic, Pain management physician, Physiotherapist",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 80723 97947,https://muruganortho.com/,4.9,47.0,"F3, plot 82, 2nd Main Rd, Balaji Nagar, Anakaputhur, Tambaram, Tamil Nadu 600070","Balaji Nagar, Anakaputhur",12.9797102,80.1301459,ChIJS_BlSHlnUjoRRT4NGMjVHuI,https://www.google.com/maps/place/?q=place_id:ChIJS_BlSHlnUjoRRT4NGMjVHuI,part_354,2026-09-20 20:28:15
Orthocare physiotherapy & Rehab clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 78004 47523,N/A,5.0,182.0,"LAlgopalgunj tiraha Dulare hotel, behind ujjair market, Prayagraj, Uttar Pradesh 229413",768110,25.6332409,81.6213147,ChIJEYZr7sfbmjkRN8-UDq9BsAk,https://www.google.com/maps/place/?q=place_id:ChIJEYZr7sfbmjkRN8-UDq9BsAk,part_354,2026-09-20 20:28:15
Ortho care physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Medical clinic,Medical clinic,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",N/A,N/A,5.0,10.0,"Preet vihar, Ekta Colony, Etawah, Uttar Pradesh 206003",Ekta Colony,26.767646799999998,79.0341464,ChIJATXjrzfhdTkR1RjrbU5UNt4,https://www.google.com/maps/place/?q=place_id:ChIJATXjrzfhdTkR1RjrbU5UNt4,part_354,2026-09-20 20:28:15
Dr Nikita's Shri Yogeshwari Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 95292 70275,https://dr-nikita-physio.lovable.app/,5.0,,"near raj medical, opposite to Gitaai sonography, Jaywanti Nagar, Ambajogai, Maharashtra 431515",Jaywanti Nagar,18.7308236,76.3882402,ChIJEcQqtwFfxTsRayviNncJ4t0,https://www.google.com/maps/place/?q=place_id:ChIJEcQqtwFfxTsRayviNncJ4t0,part_354,2026-09-20 20:28:16
Spine and ortho physio centre,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 83411 34436,N/A,4.9,,"17, theru beedi, beside Kodandaramaswamy temple, Chelur, Karnataka 563124",768110,13.7069653,78.100374,ChIJBZVjN88jsjsRdz76h9kHsec,https://www.google.com/maps/place/?q=place_id:ChIJBZVjN88jsjsRdz76h9kHsec,part_354,2026-09-20 20:28:16
Dr Som Subhankar,Orthopedic and Physiotherapy Clinic,Orthopedic surgeon,Orthopedic surgeon,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",N/A,N/A,5.0,,"Government College Rd, Rangadhipa, Sundargarh, Odisha 770002",Rangadhipa,22.1218811,84.02867859999999,ChIJkepB5CXtIDoRukAQcEmtQYs,https://www.google.com/maps/place/?q=place_id:ChIJkepB5CXtIDoRukAQcEmtQYs,part_354,2026-09-20 20:28:16
Baishnodevi Physiotherapy,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Hospital, Rehabilitation center",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 98539 56711,N/A,5.0,,"Plot no 2516/10562, Back side of Mayadhar, +2 Sc. College, Dr. Narayan Das, Hi-Tech Hospital Rd, Pandra, Bhubaneswar, Odisha 751025",Pandra,20.306240799999998,85.87593059999999,ChIJX2LHHv4LGToRmDVbCEMNKV0,https://www.google.com/maps/place/?q=place_id:ChIJX2LHHv4LGToRmDVbCEMNKV0,part_354,2026-09-20 20:28:16
Arogya Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 84803 27227,N/A,4.7,,"HIG-3, near SBI ATM, PHASE-1, Chhend Colony, Rourkela, Odisha 769015","PHASE-1, Chhend Colony",22.2400608,84.8232649,ChIJO5TryNIZIDoRpTqzV4ncfLY,https://www.google.com/maps/place/?q=place_id:ChIJO5TryNIZIDoRpTqzV4ncfLY,part_354,2026-09-20 20:28:16
MOVE MORE Physiotherapy SPORTS & ORTHO Rehabilitation centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Physiotherapist",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 89048 81530,http://www.movemorephysiorehab.com/,4.9,,"275, Nehru Rd, St Thomas Town, Kammanahalli, Bengaluru, Karnataka 560084","Saint Thomas Town, Kammanahalli",13.0150779,77.6324937,ChIJn1z5DOEXrjsRmDZzBBO0prw,https://www.google.com/maps/place/?q=place_id:ChIJn1z5DOEXrjsRmDZzBBO0prw,part_354,2026-09-20 20:28:16
BONE CARE PHYSIOTHERAPY CENTRE,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 77359 75022,N/A,5.0,36.0,"Reliance smart, bypass, Bankashi, Bhadrak, Odisha 756100",Bankashi,21.0730792,86.5069007,ChIJRf0qOMwLHDoRJdnWJGdOTGs,https://www.google.com/maps/place/?q=place_id:ChIJRf0qOMwLHDoRJdnWJGdOTGs,part_354,2026-09-20 20:28:17
SAI PHYSIOTHERAPY,Orthopedic and Physiotherapy Clinic,Rehabilitation center,Rehabilitation center,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 79788 81237,N/A,4.9,97.0,"Word no - 4, Hospital Rd, Lalbazar, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Lalbazar, Deulasahi, Bhanjpur",21.9332808,86.7273508,ChIJVVVVVRmuHToRB17k_QlAAEw,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVRmuHToRB17k_QlAAEw,part_354,2026-09-20 20:28:17
Yatharth physiotherapy clinic,Orthopedic and Physiotherapy Clinic,Physiotherapist,"Physiotherapist, Community health center",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 97991 61872,https://sites.google.com/view/my-hospital-sr/,4.7,111.0,"Nearly Hp petrol pump, Mandawar Rd, Mahwa, Sahidpur, Rajasthan 321608",768110,27.054751,76.92080589999999,ChIJ7-Pid5ZFcjkR9wtTxxgCSdc,https://www.google.com/maps/place/?q=place_id:ChIJ7-Pid5ZFcjkR9wtTxxgCSdc,part_354,2026-09-20 20:28:17
Physiotherapy Equipment (Physio Aid),Orthopedic and Physiotherapy Clinic,Medical Equipment Manufacturer,"Medical Equipment Manufacturer, Disability equipment supplier, Equipment Exporter, Equipment rental agency, Equipment supplier, Physiotherapy equipment supplier",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 99117 89630,http://www.indiamart.com/physioaid,4.9,30.0,"C C, Lawrence Rd, Pocket C7, Block C6, Keshav Puram, Tri Nagar, New Delhi, Delhi, 110035","Pocket C7, Block C6, Keshav Puram, Tri Nagar",28.6927672,77.15776029999999,ChIJdYRI0DACDTkRggzxyABWj9Q,https://www.google.com/maps/place/?q=place_id:ChIJdYRI0DACDTkRggzxyABWj9Q,part_354,2026-09-20 20:28:17
Physio med systems,Orthopedic and Physiotherapy Clinic,Medical Equipment Manufacturer,Medical Equipment Manufacturer,768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 99901 90057,N/A,4.8,33.0,"A75, GT Karnal Rd, Azadpur Industrial Area, Dilkhush Bagh Village, Azadpur, New Delhi, Delhi, 110033","Azadpur Industrial Area, Dilkhush Bagh Village, Azadpur",28.701773099999997,77.1807936,ChIJEWUdHAcBDTkRRpyAOQ7nNCE,https://www.google.com/maps/place/?q=place_id:ChIJEWUdHAcBDTkRRpyAOQ7nNCE,part_354,2026-09-20 20:28:17
Physio Biomed Experts,Orthopedic and Physiotherapy Clinic,Medical Equipment Manufacturer,"Medical Equipment Manufacturer, Medical equipment supplier",768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O",+91 95603 78518,http://physiobiomedexperts.com/,4.7,3.0,"LGF 10/1, Dharam Colony, Nangloi, Delhi, 110041","Dharam Colony, Nangloi Extension, Nangloi",28.6816738,77.0654314,ChIJsXPVHjcEDTkR1y-yamh3T34,https://www.google.com/maps/place/?q=place_id:ChIJsXPVHjcEDTkR1y-yamh3T34,part_354,2026-09-20 20:28:17
