business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Electrical Inspector, Sambalpur",Electrician,Government office,"Government office, Electrical engineer",768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",N/A,N/A,3.9,,"L-4/A-17, Jagannath Mandir Colony, Budharaja, Sambalpur, Odisha 768001","Jagannath Mandir Colony, Budharaja",21.4801646,83.9855922,ChIJmwZq95EWIToRweZt7UsRZ7A,https://www.google.com/maps/place/?q=place_id:ChIJmwZq95EWIToRweZt7UsRZ7A,part_354,2026-09-20 20:29:50
Anku Electrical,Electrician,Electrical supply store,Electrical supply store,768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",N/A,N/A,5.0,,"Charbati, Kuluthkani, Odisha 768005",Charbati,21.4582879,83.9974015,ChIJJ5yzAiIVIToRPYhTrz9AOUY,https://www.google.com/maps/place/?q=place_id:ChIJJ5yzAiIVIToRPYhTrz9AOUY,part_354,2026-09-20 20:29:50
MPT Electricals,Electrician,Electrical equipment supplier,"Electrical equipment supplier, Electric motor repair shop, Electrical engineer, Electronics Engineer, Electronics repair shop, Industrial engineer, Industrial equipment supplier, Mechanical engineer, Tool store, Water Pump Supplier",768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",+91 90908 51378,N/A,,,"Saraswati enclave, opposite city railway station, Dhanakauda, Sambalpur, Odisha 768006",Dhanakauda,21.475377899999998,84.0025347,ChIJT8zX1-8XIToRVF4_i5vJRas,https://www.google.com/maps/place/?q=place_id:ChIJT8zX1-8XIToRVF4_i5vJRas,part_354,2026-09-20 20:29:50
Electricals,Electrician,Electrician,Electrician,768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",N/A,N/A,,,"Badatikira, Sambalpur - Sonepur Rd, Sambalpur, Odisha 768005",768112,21.3793814,83.9785459,ChIJx-Wp9_AVIToREGQmjvMzNpI,https://www.google.com/maps/place/?q=place_id:ChIJx-Wp9_AVIToREGQmjvMzNpI,part_354,2026-09-20 20:29:50
Subhadra Electricals & Civil Construction,Electrician,Electrical installation service,Electrical installation service,768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",+91 72054 82915,N/A,5.0,,"Aithapali NH.: 6, Panchagachia, Baraipali, Sambalpur, Odisha 768006",Tentel Para,21.4953508,83.9698749,ChIJhVs5m1kWIToRmvmxkcML_js,https://www.google.com/maps/place/?q=place_id:ChIJhVs5m1kWIToRmvmxkcML_js,part_354,2026-09-20 20:29:50
M M ENTERPRISE,Electrician,Manufacturer,"Manufacturer, Electrical equipment supplier",768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",+91 70087 66385,N/A,4.8,,"Road, Gulundipali, Maneswar, Odisha 768005",768112,21.4109739,84.0259852,ChIJy96yzOETIToRWLWwj-ochPg,https://www.google.com/maps/place/?q=place_id:ChIJy96yzOETIToRWLWwj-ochPg,part_354,2026-09-20 20:29:51
Electric,Electrician,Electrical installation service,Electrical installation service,768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",N/A,N/A,,,"G5CM+99J, Nuamura, Odisha 768200",768112,21.5205114,84.183846,ChIJ28Al4yEPIToR_lSow4qRUNY,https://www.google.com/maps/place/?q=place_id:ChIJ28Al4yEPIToR_lSow4qRUNY,part_354,2026-09-20 20:29:51
Pradhan reparing,Electrician,Electrician,Electrician,768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",+91 90787 60123,N/A,,,"Sakhipara Main Rd, Sakhipara, Sambalpur, Odisha 768001",Sakhipara,21.4700404,83.98053279999999,ChIJWWqE4iYXIToRsK1AGAFVTj8,https://www.google.com/maps/place/?q=place_id:ChIJWWqE4iYXIToRsK1AGAFVTj8,part_354,2026-09-20 20:29:51
Shiva Electrical services,Electrician,Electrical installation service,Electrical installation service,768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",N/A,N/A,,,"Dhanakauda, Sambalpur, Sankarma, Odisha 768005",Dhanakauda,21.4774109,84.0103364,ChIJA4jDbRsXIToRWevXAsKye2s,https://www.google.com/maps/place/?q=place_id:ChIJA4jDbRsXIToRWevXAsKye2s,part_354,2026-09-20 20:29:51
Sairam Electrical,Electrician,Electronics store,Electronics store,768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O",N/A,N/A,1.0,,"Majhipara, Themra, Odisha 768005",Majhipara,21.4791861,84.0343254,ChIJqTP2HQARIToRGz_40JUlzXY,https://www.google.com/maps/place/?q=place_id:ChIJqTP2HQARIToRGz_40JUlzXY,part_354,2026-09-20 20:29:51
