business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sai Padmaja Books & Stationery,Bookstore and Stationery Shop,Stationery store,Stationery store,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",N/A,N/A,3.6,,"3, Pithapuram Colony Rd, Pithapuram Colony, Maddilapalem, Visakhapatnam, Andhra Pradesh 530003","Pithapuram Colony, Maddilapalem",17.736481299999998,83.32522689999999,ChIJhWtdKU5DOToRP7fIGQ-AMQg,https://www.google.com/maps/place/?q=place_id:ChIJhWtdKU5DOToRP7fIGQ-AMQg,part_354,2026-09-20 20:33:36
Sandeep Stationery,Bookstore and Stationery Shop,Book store,Book store,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 821 247 7078,N/A,4.1,,"4, Near Kendriya Vidyalaya School, Raghavendra Nagar, Mysuru, Karnataka 570029",Raghavendra Nagar,12.3130434,76.68623749999999,ChIJhaLgIjVwrzsR3ukmQoP20Fk,https://www.google.com/maps/place/?q=place_id:ChIJhaLgIjVwrzsR3ukmQoP20Fk,part_354,2026-09-20 20:33:36
Siddhi Stationery AND XEROX,Bookstore and Stationery Shop,Book store,Book store,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 99004 51465,N/A,4.4,,"NO 5910 General Thimmaya raod, near SADVIDYA COLLEGE, Vijay Nagar 2nd Stage, Mysuru, Karnataka 570017","Vijay Nagar 2nd Stage, Vijayanagar",12.331239,76.6098068,ChIJp6w2LkN6rzsRQvyEBmMkU9I,https://www.google.com/maps/place/?q=place_id:ChIJp6w2LkN6rzsRQvyEBmMkU9I,part_354,2026-09-20 20:33:36
Suman Books & Stationery,Bookstore and Stationery Shop,Book store,"Book store, Books Wholesaler, Children's Book Store, Office supply wholesaler, Pen store, Stationery wholesaler",768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 93412 44701,N/A,3.3,,"Bus Stop, 1A/3, Sanjayanagar Main Road, near Ashwathnagar, Ashwath Nagar, Sanjayanagara, Bengaluru, Karnataka 560094","Ashwath Nagar, Sanjayanagara",13.0259346,77.5809144,ChIJodOa9cYXrjsRwk9ehurRLz4,https://www.google.com/maps/place/?q=place_id:ChIJodOa9cYXrjsRwk9ehurRLz4,part_354,2026-09-20 20:33:36
Paras Stationery,Bookstore and Stationery Shop,Book store,Book store,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 98863 17771,N/A,4.6,14.0,"Paras Stationery, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037","Aswath Nagar, Marathahalli",12.9578797,77.7028545,ChIJgWx-YHkTrjsRPfWrUm4cjcI,https://www.google.com/maps/place/?q=place_id:ChIJgWx-YHkTrjsRPfWrUm4cjcI,part_354,2026-09-20 20:33:37
Need Book Depot,Bookstore and Stationery Shop,Book store,"Book store, Print shop, Stationery store",768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 88826 50197,N/A,4.2,408.0,"B 1/5, Central Market, B Block, Sector 50, Noida, Uttar Pradesh 201303","B Block, Sector 50",28.5707289,77.3618874,ChIJcTEWbo3lDDkR33-Sba1ay2A,https://www.google.com/maps/place/?q=place_id:ChIJcTEWbo3lDDkR33-Sba1ay2A,part_354,2026-09-20 20:33:37
Abhishek Book World,Bookstore and Stationery Shop,Book store,Book store,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 87009 86839,N/A,4.4,146.0,"C-19, near Cloudnine Hospital, Hoshiyarpur, Hoshiarpur Village, Sector 51, Noida, Uttar Pradesh 201303","Hoshiyarpur, Hoshiarpur Village, Sector 51",28.580035,77.3677606,ChIJo8lNXUjlDDkRezUq7xyGSQo,https://www.google.com/maps/place/?q=place_id:ChIJo8lNXUjlDDkRezUq7xyGSQo,part_354,2026-09-20 20:33:37
Sapna Book House - HSR Layout,Bookstore and Stationery Shop,Book store,Book store,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 80 3518 5799,http://www.sapnaonline.com/,4.2,1890.0,"5th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102","7th Sector, HSR Layout",12.910205699999999,77.6324096,ChIJmazEfswVrjsRZKPDk4jMP8Y,https://www.google.com/maps/place/?q=place_id:ChIJmazEfswVrjsRZKPDk4jMP8Y,part_354,2026-09-20 20:33:37
PERFECT BOOK HOUSE,Bookstore and Stationery Shop,Book store,"Book store, Book publisher, Books Wholesaler, Children's Book Store, Law Book Store, Medical Book Store, Rare book store",768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 96252 10914,https://perfectbookhouse.com/,4.8,32.0,"7/22 B, Ansari Rd, near Rupa publications, Old Delhi, Daryaganj, New Delhi, Delhi, 110002","Old Delhi, Daryaganj",28.647543,77.2449997,ChIJqQWpsIH9DDkR2LCGGQtfM5g,https://www.google.com/maps/place/?q=place_id:ChIJqQWpsIH9DDkR2LCGGQtfM5g,part_354,2026-09-20 20:33:37
Ananya book stall,Bookstore and Stationery Shop,Stationery store,Stationery store,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",N/A,N/A,4.6,47.0,"RMGF+J69, Shri Mahayogi Vemana Rd, Hebbagodi, Karnataka 560099",Hebbagodi,12.826539499999999,77.67311289999999,ChIJvzcKUWZsrjsRDoujb6ag58k,https://www.google.com/maps/place/?q=place_id:ChIJvzcKUWZsrjsRDoujb6ag58k,part_354,2026-09-20 20:33:37
