business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mukesh Singh Photography,Photographers,Photography service,Photography service,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 99376 32761,N/A,5.0,115.0,"Rangoli Chowk, Jalda 'A' Chowk, E - Bolck, Fertilizer Twp, Rourkela, Odisha 769007","E - Bolck, Fertilizer Township",22.1868825,84.8529789,ChIJxTzwi8sYIDoRyfUsh-xT06g,https://www.google.com/maps/place/?q=place_id:ChIJxTzwi8sYIDoRyfUsh-xT06g,part_354,2026-09-20 20:33:31
Binod photography,Photographers,Photography service,Photography service,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 93375 87209,N/A,5.0,136.0,"Khanna Nagar, Nuapada, Kataka, Odisha 753010","Khanna Nagar, Nuapada",20.4420309,85.9058149,ChIJJ3TAVdoNGToRpgCNOyFGOi8,https://www.google.com/maps/place/?q=place_id:ChIJJ3TAVdoNGToRpgCNOyFGOi8,part_354,2026-09-20 20:33:31
Parthasarathi photography,Photographers,Photographer,Photographer,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 70082 12689,https://www.facebook.com/Parthasarathi-photography-373671126031423,4.8,86.0,"Sita Narayan bhawan, 2f-570, CDA Sec - 10, Kataka, Odisha 753014",CDA Sec - 10,20.4836222,85.8237733,ChIJHRNc440TGToRokrsOtWNHtQ,https://www.google.com/maps/place/?q=place_id:ChIJHRNc440TGToRokrsOtWNHtQ,part_354,2026-09-20 20:33:31
PHOTO COLLECTION,Photographers,Photography service,Photography service,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 90401 18638,N/A,5.0,37.0,"Telli Street, Baidiya Nath Pur, Brahmapur, Odisha 760001",Baidiya Nath Pur,19.3121449,84.7906811,ChIJ1czRRQxQPToRz8VNcz_4cpY,https://www.google.com/maps/place/?q=place_id:ChIJ1czRRQxQPToRz8VNcz_4cpY,part_354,2026-09-20 20:33:31
DIVYANSH PHOTO STUDIO,Photographers,Photography studio,Photography studio,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 77499 60144,N/A,4.9,8.0,"SHOP NO -34, SUPERMARKET, near ODISHA BOOK STORE, Sundargarh, Odisha 770001",768121,22.120818399999997,84.0425128,ChIJF9jPTSztIDoRIetT-F-m3DY,https://www.google.com/maps/place/?q=place_id:ChIJF9jPTSztIDoRIetT-F-m3DY,part_354,2026-09-20 20:33:31
K.K. PHOTO FILM'S,Photographers,Wedding photographer,Wedding photographer,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 73986 04340,https://www.kkphotofilms.in/,4.9,,"KK photo Film's, Ramgulam Tola, Deoria, Uttar Pradesh 274001",Ramgulam Tola,26.508524299999998,83.7881431,ChIJNc5oi33FkzkRJqaBZv7P2aU,https://www.google.com/maps/place/?q=place_id:ChIJNc5oi33FkzkRJqaBZv7P2aU,part_354,2026-09-20 20:33:32
Shadowgraphy Studio,Photographers,Wedding photographer,"Wedding photographer, Advertising Photographer, Aerial photographer, Photo shop, Photographer, Photography Institute, Photography service, Photography studio, Wedding service",768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 97700 81043,https://shadowgraphystudio.com/,4.7,,"578, Shop121, Shiv Om Building, Mahatma Gandhi Rd, near punjab jewellers, Opp. T.I, Mall, Indore, Madhya Pradesh 452003","Opp. T.I, Mall",22.7224604,75.8797424,ChIJ____L7P9YjkRK5ze2qFE5dg,https://www.google.com/maps/place/?q=place_id:ChIJ____L7P9YjkRK5ze2qFE5dg,part_354,2026-09-20 20:33:32
Pristine Production,Photographers,Photographer,Photographer,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 98266 15086,https://linktr.ee/pristineproduction14,4.9,,"3rd floor, Shubh shree Plaza, 370 A, in front of Mela Ground, Sector A, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010","Sector A, Mahalaxmi Nagar",22.7535605,75.91015,ChIJR4tXDgTjYjkRhy9sxnKD03E,https://www.google.com/maps/place/?q=place_id:ChIJR4tXDgTjYjkRhy9sxnKD03E,part_354,2026-09-20 20:33:32
Story in Pixels,Photographers,Wedding photographer,Wedding photographer,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 73898 29419,https://www.storyinpixels.in/,4.9,77.0,"mitthu muda samudaik bhavan samne, near by pani tanki, Raigarh, Chhattisgarh 496001",Savirti Nagar,21.8849727,83.3926141,ChIJQ4x76W4lJzoRkW7cvY6m_iI,https://www.google.com/maps/place/?q=place_id:ChIJQ4x76W4lJzoRkW7cvY6m_iI,part_354,2026-09-20 20:33:33
Konark Photography,Photographers,Photographer,Photographer,768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O",+91 97778 62511,https://konarkphotography.wordpress.com/contact/,4.8,75.0,"Konark, Odisha 752111",768121,19.8876699,86.0976213,ChIJ2SzAETXzGToRCbN1oON_gMI,https://www.google.com/maps/place/?q=place_id:ChIJ2SzAETXzGToRCbN1oON_gMI,part_354,2026-09-20 20:33:33
