business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The royal graphix,Advertisement Agency,Advertising agency,Advertising agency,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 79784 55218,N/A,4.9,35.0,"1st floor, Rourkela - Deogarh Rd, opposite gulab medical, near Old Station Road, Nala Road, Udit Nagar, Rourkela, Odisha 769001","Nala Road, Udit Nagar",22.2260459,84.8568049,ChIJncmkvV0fIDoROpZxlZ2H2Kw,https://www.google.com/maps/place/?q=place_id:ChIJncmkvV0fIDoROpZxlZ2H2Kw,part_354,2026-09-20 20:51:18
Raza Advertisement,Advertisement Agency,Advertising agency,Advertising agency,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 82496 31106,N/A,5.0,9.0,"New bus stand, SSGR/D, Rourkela, Odisha 769001",Udit Nagar,22.225816599999998,84.86716469999999,ChIJxWA-Z-gfIDoRsO0FG3bLRcc,https://www.google.com/maps/place/?q=place_id:ChIJxWA-Z-gfIDoRsO0FG3bLRcc,part_354,2026-09-20 20:51:18
LeadScale Media,Advertisement Agency,Advertising agency,Advertising agency,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 76767 99861,https://www.leadscalemedia.com/,5.0,6.0,"Sector 2, Rourkela, Odisha 769002",Sector 2,22.2500845,84.8853956,ChIJ6cOM0nAfIDoR5gnH7KepvuE,https://www.google.com/maps/place/?q=place_id:ChIJ6cOM0nAfIDoR5gnH7KepvuE,part_354,2026-09-20 20:51:18
Advertising,Advertisement Agency,Advertising agency,Advertising agency,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,,,"bengoli para ghosh building, Power House Road, Chandrapur, Udit Nagar, Rourkela, Odisha 769001","Chandrapur, Udit Nagar",22.223851999999997,84.8500981,ChIJnRKY3ksZIDoRWK1aMG7VcWg,https://www.google.com/maps/place/?q=place_id:ChIJnRKY3ksZIDoRWK1aMG7VcWg,part_354,2026-09-20 20:51:18
Metro Graphic & Sign,Advertisement Agency,Advertising agency,Advertising agency,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 93482 52968,N/A,,,"Power House Road, opp. Nirmal Market, Chandrapur, Udit Nagar, Rourkela, Odisha 769001","Chandrapur, Udit Nagar",22.223851999999997,84.8500981,ChIJEU26cWgZIDoR-Wy00gSIhCg,https://www.google.com/maps/place/?q=place_id:ChIJEU26cWgZIDoR-Wy00gSIhCg,part_354,2026-09-20 20:51:18
Raza Sign & Graphics,Advertisement Agency,Advertising agency,"Advertising agency, Print shop",769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 89261 21210,https://www.instagram.com/raza.signgraphics?igsh=MXE2eW55N2NhaXNmbw==,,,"Jama Masjid, Big Bazzar Lane, Old Out Station Road, Gali Rourkela 1, beside Fancy Bag, Rourkela, Odisha 769001","Nala Road, Udit Nagar",22.226752299999998,84.8578052,ChIJrxbruvYfIDoRlyI0rp-UJSw,https://www.google.com/maps/place/?q=place_id:ChIJrxbruvYfIDoRlyI0rp-UJSw,part_354,2026-09-20 20:51:18
Shree ad agency,Advertisement Agency,Advertising agency,"Advertising agency, Service establishment",769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,,,"Shree ad agency, 769001, India",769001,21.0680074,82.7525294,ChIJEa2HgE0fIDoR4JGZiL2Lgjs,https://www.google.com/maps/place/?q=place_id:ChIJEa2HgE0fIDoR4JGZiL2Lgjs,part_354,2026-09-20 20:51:18
Strong advertising agency,Advertisement Agency,Advertising agency,Advertising agency,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,,,"chowk, Udit Nagar, Rourkela, Odisha 769012",Udit Nagar,22.226567499999998,84.8502257,ChIJFV4tQJ0ZIDoRtrG0w5BdER0,https://www.google.com/maps/place/?q=place_id:ChIJFV4tQJ0ZIDoRtrG0w5BdER0,part_354,2026-09-20 20:51:18
HoardSpace,Advertisement Agency,Advertising agency,Advertising agency,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 76550 52057,https://hoardspace.in/,4.9,97.0,"FTBI, TIIR building, National Institute of Technology, NIT, Rourkela, Odisha 769008","National Institute of Technology, NIT",22.2548078,84.90318429999999,ChIJ1UiltMQdIDoRUtlvOhTCZnA,https://www.google.com/maps/place/?q=place_id:ChIJ1UiltMQdIDoRUtlvOhTCZnA,part_354,2026-09-20 20:51:19
Jeet Trading,Advertisement Agency,Stationery store,"Stationery store, Banner store, Bookbinder, Copy shop, General store, Print shop, Sign shop",769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 94393 54302,N/A,5.0,67.0,"RSP Main Gate, Rourkela Steel Plant Area, Rourkela, Odisha 769011",Rourkela Steel Plant Area,22.220858099999997,84.8605216,ChIJn7WPN8weIDoRTyScj56QpcA,https://www.google.com/maps/place/?q=place_id:ChIJn7WPN8weIDoRTyScj56QpcA,part_354,2026-09-20 20:51:19
