business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Durga Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,4.8,5.0,"Kalinga Vihar, Chhend Colony, Rourkela, Odisha 769015","Kalinga Vihar, Chhend Colony",22.2432135,84.8032338,ChIJuxDphsMZIDoREZVrvYbL87w,https://www.google.com/maps/place/?q=place_id:ChIJuxDphsMZIDoREZVrvYbL87w,part_354,2026-09-20 20:51:05
VEDVYAS TENT HOUSE,Tent House and Shamiana,Tent House and Shamiana,Tent House and Shamiana,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,,,"6RG4+W7W, Panposh Rd, Raghunathpali, Rourkela, Odisha 769004",Raghunathpali,22.2273721,84.80569179999999,ChIJvyI5CpgZIDoRS9oy9B8ODHM,https://www.google.com/maps/place/?q=place_id:ChIJvyI5CpgZIDoRS9oy9B8ODHM,part_354,2026-09-20 20:51:05
Patel tent house,Tent House and Shamiana,Office supply store,Office supply store,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 70080 16228,N/A,5.0,3.0,"42CR+GV5 Supermarket, Sundargarh, Odisha 770001",769001,22.1212567,84.0422329,ChIJnVWaJIztIDoRrf7AR5lnCKs,https://www.google.com/maps/place/?q=place_id:ChIJnVWaJIztIDoRrf7AR5lnCKs,part_354,2026-09-20 20:51:05
Patel tent house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,,,"423R+FM, Sundargarh, Odisha 770020",769001,22.1037002,84.0417411,ChIJj4dVOgDtIDoRyNFV9Jj7Uj0,https://www.google.com/maps/place/?q=place_id:ChIJj4dVOgDtIDoRyNFV9Jj7Uj0,part_354,2026-09-20 20:51:05
Khushi Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 99378 43848,N/A,5.0,,"7WF2+FJH, Jhirpani, Rourkela, Odisha 769042",Jhirpani,22.273679899999998,84.9015999,ChIJfZZIsAUdIDoR-geB-HQjl0s,https://www.google.com/maps/place/?q=place_id:ChIJfZZIsAUdIDoR-geB-HQjl0s,part_354,2026-09-20 20:51:06
Bapi Tent House,Tent House and Shamiana,DJ service,DJ service,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 79781 55899,N/A,5.0,,"Deraikela Main Road, Rourkela, Kopranda, Odisha 770036",769001,22.256642799999998,85.00366819999999,ChIJwyqostD1HzoRJxz5lwDxolU,https://www.google.com/maps/place/?q=place_id:ChIJwyqostD1HzoRJxz5lwDxolU,part_354,2026-09-20 20:51:06
Maa Sarala Tent House,Tent House and Shamiana,Historical landmark,Historical landmark,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 90908 90876,N/A,5.0,,"6RV2+QXM, Kishan Tola, Panposh, Rourkela, Odisha 769015","Kishan Tola, Panposh",22.2444638,84.8024315,ChIJHwYfunYZIDoRm1XiBrExwOc,https://www.google.com/maps/place/?q=place_id:ChIJHwYfunYZIDoRm1XiBrExwOc,part_354,2026-09-20 20:51:06
Seema and brother's tent & Catterers,Tent House and Shamiana,Event management company,Event management company,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 70080 88276,N/A,5.0,,"Sec-B, Office Rd, Bondamunda, Rourkela, Odisha 770032",Bondamunda,22.2287259,84.9242027,ChIJ57snpXUfIDoRdaCPBz-hWB4,https://www.google.com/maps/place/?q=place_id:ChIJ57snpXUfIDoRdaCPBz-hWB4,part_354,2026-09-20 20:51:06
"Sabita Rani Tent House, Kurulia",Tent House and Shamiana,Tent House Supplier,Tent House Supplier,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 95561 68778,N/A,5.0,,"Kurulia, Odisha 757034",769001,21.8147485,86.0030058,ChIJRZcxWiJhHjoRJlJ1lZ4abCY,https://www.google.com/maps/place/?q=place_id:ChIJRZcxWiJhHjoRJlJ1lZ4abCY,part_354,2026-09-20 20:51:06
Utkal Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 661 250 0222,N/A,,,"Panposh Rd, Raghunathpali, Rourkela, Odisha 769012",Raghunathpali,22.2277842,84.8190264,ChIJG97QiI4ZIDoR_PPSiGi0ghE,https://www.google.com/maps/place/?q=place_id:ChIJG97QiI4ZIDoR_PPSiGi0ghE,part_354,2026-09-20 20:51:06
