business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Milestone Spoken English & IELTS Coaching,Spoken English Institute,English language school,"English language school, Coaching Center, Language school, Student career counseling office",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 93371 65807,https://milestoneskilldev.com/,5.0,,"D / 14, Shakti Nagar - Koel Nagar Rd, D Block, Koel Nagar, Rourkela, Odisha 769014","D Block, Koel Nagar",22.2592029,84.885997,ChIJE4jieC4cIDoR0x7NDUnk_ms,https://www.google.com/maps/place/?q=place_id:ChIJE4jieC4cIDoR0x7NDUnk_ms,part_355,2026-09-20 20:18:22,4181
Kaibalya Study Centre,Spoken English Institute,Coaching Center,Coaching Center,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 99377 47509,N/A,4.9,,"Ground floor, At D/22, near Hanuman Temple, D Block, Koel Nagar, Rourkela, Odisha 769014","D Block, Koel Nagar",22.2596274,84.8866366,ChIJdTs5_YcdIDoRx3vXIsgxIdI,https://www.google.com/maps/place/?q=place_id:ChIJdTs5_YcdIDoRx3vXIsgxIdI,part_355,2026-09-20 20:18:22,4182
Lotus Academy,Spoken English Institute,Coaching Center,Coaching Center,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 79787 00250,N/A,5.0,,"No D 28, Ground Floor, D Block, Koel Nagar, Rourkela, Odisha 769014","D Block, Koel Nagar",22.2603001,84.8876535,ChIJJwJPZfAdIDoRZ2TIEtOiQxk,https://www.google.com/maps/place/?q=place_id:ChIJJwJPZfAdIDoRZ2TIEtOiQxk,part_355,2026-09-20 20:18:22,4183
IPMCS Spoken English,Spoken English Institute,English language school,English language school,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 80921 84004,N/A,4.8,,"opp. Govt. Women's Polytechnic, Tharpakhna, Plaza Chowk, Ranchi, Jharkhand 834001","Tharpakhna, Plaza Chowk",23.370459999999998,85.33120579999999,ChIJ5XtWkwzh9DkRjAWl52BAnW0,https://www.google.com/maps/place/?q=place_id:ChIJ5XtWkwzh9DkRjAWl52BAnW0,part_355,2026-09-20 20:18:22,4184
Unitech Computer Training Centre,Spoken English Institute,Educational institution,Educational institution,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 78736 12302,https://unitechindia.com/computer-academy,4.9,,"Hall#1, Software Technology Park of India, Sector 5, Rourkela, Odisha 769002",Sector 5,22.2405735,84.87223019999999,ChIJranlWbseIDoRD0jKQeBZREk,https://www.google.com/maps/place/?q=place_id:ChIJranlWbseIDoRD0jKQeBZREk,part_355,2026-09-20 20:18:22,4185
E-Cube Spoken English Training Centre,Spoken English Institute,Education center,Education center,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 83277 32572,N/A,5.0,,"2nd floor, Sagar complex, opp. Bank of baroda, near HDFC Bank, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.2246472,84.8643774,ChIJUZSDbzQdIDoRlk2h9toteeU,https://www.google.com/maps/place/?q=place_id:ChIJUZSDbzQdIDoRlk2h9toteeU,part_355,2026-09-20 20:18:22,4186
The English Empire |Spoken English classes in Bhubaneswar,Spoken English Institute,Coaching Center,"Coaching Center, Adult education school, Charter school, Education center, Educational institution, English language camp, Foreign languages program school, Language school, Personal trainer",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 70778 89714,https://the-english-empire.grexa.site/,4.9,892.0,"Plot No - 635,636, near Kasturba School, Beherasahi, Nuasahi, Nayapalli, Bhubaneswar, Odisha 751012","Beherasahi, Nuasahi, Nayapalli",20.290123899999998,85.8184229,ChIJMdse0mMJGToRE4kjGF2NSTY,https://www.google.com/maps/place/?q=place_id:ChIJMdse0mMJGToRE4kjGF2NSTY,part_355,2026-09-20 20:18:23,4187
SpeakEng India - Spoken English | Soft Skills | IELTS Coaching | OET Training | French | Spanish Classes | German Classes,Spoken English Institute,Language school,"Language school, English language school, Foreign languages program school, French language school, German language school",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 91482 94666,https://www.speakengindia.com/,4.7,1229.0,"2nd floor, and, 934, 16th Main Rd, next to McDonald's, above Specsmakers, BTM 2nd Stage, Kuvempu Nagar, BTM Layout 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076","BTM 2nd Stage, Kuvempu Nagar, BTM Layout 2nd Stage, BTM Layout",12.9156728,77.6103041,ChIJNSjZIv0UrjsR2xs0hOD3Dc4,https://www.google.com/maps/place/?q=place_id:ChIJNSjZIv0UrjsR2xs0hOD3Dc4,part_355,2026-09-20 20:18:23,4188
The Lingo,Spoken English Institute,English language school,English language school,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 93041 08669,N/A,4.8,234.0,"1st Floor, East Jail Road, near Dr Amit Mukherjee Hospital, Tharparkhana, Lalpur, Ranchi, Jharkhand 834001","Tharparkhana, Lalpur",23.3728742,85.3316931,ChIJ17iXphPh9DkR9cRFd0mvkGo,https://www.google.com/maps/place/?q=place_id:ChIJ17iXphPh9DkR9cRFd0mvkGo,part_355,2026-09-20 20:18:23,4189
English Mania / Spoken English class in Bhubaneswar,Spoken English Institute,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, English language camp, English language school, Language school",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 63708 91148,http://theenglishmania.in/,4.8,748.0,"Plot no-313, Above Om Pharmacy, Acharya Vihar, Bhubaneswar, Odisha 751013",Acharya Vihar,20.295990399999997,85.8330684,ChIJgS07Wj0JGToRmt0hU1ko67w,https://www.google.com/maps/place/?q=place_id:ChIJgS07Wj0JGToRmt0hU1ko67w,part_355,2026-09-20 20:18:23,4190
DRK English Academy,Spoken English Institute,English language school,"English language school, Education center, Educational consultant, Educational institution, English language camp",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 93437 66005,https://www.drkenglishacademy.com/,5.0,497.0,"Head Post Office, beside Nehru Chowk, Civil Lines, Bilaspur, Masanganj, Chhattisgarh 495001","Civil Lines, Bilaspur",22.0868158,82.14443639999999,ChIJ66LWsRkLKDoRxRQGPFID_R4,https://www.google.com/maps/place/?q=place_id:ChIJ66LWsRkLKDoRxRQGPFID_R4,part_355,2026-09-20 20:18:23,4191
ASEL ENGLISH,Spoken English Institute,Education center,Education center,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 96698 54444,http://www.aselenglish.com/,4.8,728.0,"2nd Floor Umashree Parisar s Park Hotel, Telephone Exchange Rd, Opposite Heaven, Bilaspur, Chhattisgarh 495001",Opposite Heaven,22.076531799999998,82.1553807,ChIJZUI-UW8LKDoRF70eg0fHtJ8,https://www.google.com/maps/place/?q=place_id:ChIJZUI-UW8LKDoRF70eg0fHtJ8,part_355,2026-09-20 20:18:23,4192
SpeakEng India - Spoken English | Soft Skills | IELTS Coaching | OET Training | French | Spanish Classes | German Classes,Spoken English Institute,Language school,"Language school, English language school, Foreign languages program school, French language school, German language school",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 91482 94666,https://www.speakengindia.com/,4.8,1162.0,"No.503/1, SN Arcade, 3rd Floor, 2nd Cross S P layout , Marathahalli Main Road, Marathahalli, Near KLM Mall Opp to Max Showroom, above VIP showroom, Bengaluru, Karnataka 560037","Subbaiah Reddy Colony, Aswath Nagar, Marathahalli",12.957223899999999,77.7000036,ChIJ1cxAm9YTrjsRT3_NGSQ2mb0,https://www.google.com/maps/place/?q=place_id:ChIJ1cxAm9YTrjsRT3_NGSQ2mb0,part_355,2026-09-20 20:18:23,4193
Wabs Talk,Spoken English Institute,English language school,"English language school, Education center, Educational institution, Training center",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 99999 47824,https://wabstalk.com/,4.8,1869.0,"No.9, 1st floor, Main Market, Moti Nagar Near Metro Station, New Delhi, Delhi 110015","Block 1, Mini Market, Moti Nagar",28.658266899999997,77.1427721,ChIJe8XNzAYDDTkREGPRA8_SQHQ,https://www.google.com/maps/place/?q=place_id:ChIJe8XNzAYDDTkREGPRA8_SQHQ,part_355,2026-09-20 20:18:23,4194
Genius Temple,Spoken English Institute,English language school,"English language school, Coaching Center, Computer club, Education center, English language camp, Language school, Meditation center, Studying center, Training center, Tutoring service",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 98264 65712,https://www.geniustemple.com/,4.9,683.0,"4th floor, Starlit Tower, 401, Yeshwant Niwas Rd, opposite State Bank Of India, Sanghi Colony, Yeshwant Colony, Indore, Madhya Pradesh 452003","Sanghi Colony, Yeshwant Colony",22.7242265,75.87447639999999,ChIJAQAAQBb9YjkRHWJFe37OeGg,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQBb9YjkRHWJFe37OeGg,part_355,2026-09-20 20:18:23,4195
Modern Spoken English Classes,Spoken English Institute,English language school,English language school,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 92346 70160,https://mseclasses.lovable.app/,4.9,591.0,"H. NO-301, Road No-7, Near Children Park, New West Layout, Kagalnagar, Sonari, Jamshedpur, Jharkhand 831011","West Layout, Sonari",22.8235432,86.1646037,ChIJnT5tbnjk9TkRyhMewBbeR-4,https://www.google.com/maps/place/?q=place_id:ChIJnT5tbnjk9TkRyhMewBbeR-4,part_355,2026-09-20 20:18:23,4196
RED ROSE - Spoken English & Personality Development Institute,Spoken English Institute,English language school,English language school,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 99329 09128,https://redrosespokenenglish.com/spoken-english-course-in-medinipur/,4.7,760.0,"1st floor, of Corporation Bank, Midnapore Railway Station Rd, Ashok Nagar, Midnapore, West Bengal 721101",Ashok Nagar,22.4289614,87.30956429999999,ChIJfzz4Y11bHToRhjqSiqInN6M,https://www.google.com/maps/place/?q=place_id:ChIJfzz4Y11bHToRhjqSiqInN6M,part_355,2026-09-20 20:18:23,4197
English Club,Spoken English Institute,English language school,"English language school, English language camp",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 82801 71717,N/A,4.8,66.0,"4th Floor, Chroma Building, Plot No:1230/1231, Janpath Rd, Saheed Nagar, Bhubaneswar, Odisha 751022",Saheed Nagar,20.2931657,85.8424514,ChIJJ32zN-IJGToRuTL-j7iU1bg,https://www.google.com/maps/place/?q=place_id:ChIJJ32zN-IJGToRuTL-j7iU1bg,part_355,2026-09-20 20:18:23,4198
Steadfast Spoken English & Personality Development,Spoken English Institute,English language school,"English language school, Education center, Educational institution, Training center",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 83499 40033,http://www.steadfasthrt.in/,4.9,1353.0,"23/1, Nanda Nagar Main Rd, in front of sai temple, Nanda Nagar, Indore, Madhya Pradesh 452011",Nanda Nagar,22.7411098,75.87899089999999,ChIJZfI5t139YjkRUaGKNpXYNSQ,https://www.google.com/maps/place/?q=place_id:ChIJZfI5t139YjkRUaGKNpXYNSQ,part_355,2026-09-20 20:18:23,4199
Modern English - MP Nagar Center,Spoken English Institute,English language school,"English language school, Career guidance service, Coaching Center, Educational institution, Personal trainer, Training center, Vocational school",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 88238 76221,https://modern-english-mp-nagar-center.localo.site/,4.8,1571.0,"top floor, Front Side, No.131/16, Kalpataru Tower, in front of Mahendra Coaching, Near Pragati Petrol Pump, Zone-II, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462011","Near Pragati Petrol Pump, Zone-II, Maharana Pratap Nagar",23.2290876,77.4356431,ChIJqxFcsNlDfDkRd1XU6eyY-5E,https://www.google.com/maps/place/?q=place_id:ChIJqxFcsNlDfDkRd1XU6eyY-5E,part_355,2026-09-20 20:18:23,4200
ACE SPOKEN ENGLISH INSTITUTE #THE BEST SPOKEN ENGLISH CLASSES IN UJJAIN #NUMBER 1 SPOKEN ENGLISH CLASSES IN UJJAIN,Spoken English Institute,English language school,"English language school, Coaching Center",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 93292 99966,http://facebook.com/aceujjain,4.9,1995.0,"3rd Floor Sunshine Tower 304 Ujjain Dewas Road, Teen Batti Chauraha, Freeganj, Ujjain, Madhya Pradesh 456010","Freeganj, Madhav Nagar",23.177242399999997,75.78816979999999,ChIJa0afYGl0YzkRGELHorMxrRc,https://www.google.com/maps/place/?q=place_id:ChIJa0afYGl0YzkRGELHorMxrRc,part_355,2026-09-20 20:18:23,4201
MARVEL SPOKEN ENGLISH CLASSES,Spoken English Institute,English language school,English language school,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 87709 53693,N/A,5.0,1969.0,"Teen Batti Chauraha, above Hotel Kuber, in front of ICICI Bank, Freeganj, Sindhi Colony, Ujjain, Madhya Pradesh 456010","Freeganj, Sindhi Colony",23.176749299999997,75.78805799999999,ChIJ-8h7yW10YzkRF8YtaJIBQIA,https://www.google.com/maps/place/?q=place_id:ChIJ-8h7yW10YzkRF8YtaJIBQIA,part_355,2026-09-20 20:18:23,4202
PARAMOUNT ENGLISH CLASSES,Spoken English Institute,Coaching Center,"Coaching Center, School, School center",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 90905 19200,N/A,4.9,60.0,"RAZA BAZAAR, Khuntia Ln, Jatni, Khordha, Odisha 752050",769002,20.159375999999998,85.7102012,ChIJ0cG-AequGToRNJm0dv45EF8,https://www.google.com/maps/place/?q=place_id:ChIJ0cG-AequGToRNJm0dv45EF8,part_355,2026-09-20 20:18:23,4203
