business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ink Stories,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Body piercing shop, Tattoo and piercing shop, Tattoo removal service",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 82602 34567,N/A,4.5,,"Meghdoot St, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2952179,85.8451118,ChIJIcewFPcJGToRsBsJ5MXD3Kw,https://www.google.com/maps/place/?q=place_id:ChIJIcewFPcJGToRsBsJ5MXD3Kw,part_355,2026-09-20 20:18:17,3514
INKED ARTIST TATTOO STUDIO,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 80183 05458,https://www.instagram.com/_inked_artist_?igsh=MXR1cW42eXY0ZTU3Nw==,4.9,,"first floor, near Charlie Hotel, near car palace, Bomikhal, Bhubaneswar, Odisha 751010",Bomikhal,20.2851875,85.8572069,ChIJl8Q_EAgNGToRcLgVnOWACRY,https://www.google.com/maps/place/?q=place_id:ChIJl8Q_EAgNGToRcLgVnOWACRY,part_355,2026-09-20 20:18:17,3515
Sumant Kay tattoo artwork,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 91231 48225,https://www.instagram.com/sumant_kay_tattoo_artwork?igsh=MW14bjVhc3IyZGxjYQ==,5.0,,"Mahadev Colony, Chaibasa, Jharkhand 833201",769002,22.563984599999998,85.8042662,ChIJfdzVUHYnHjoRU23uq6slEqk,https://www.google.com/maps/place/?q=place_id:ChIJfdzVUHYnHjoRU23uq6slEqk,part_355,2026-09-20 20:18:17,3516
Imagine The Art Tattoo Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,https://www.imaginethearttattoostudio.store/,4.7,,"753J+7MR, Jaipur road, Jagatsinghpur, Odisha 754103",769002,20.2532471,86.18163709999999,ChIJX2QC8buBGToRG2GGscKdXn0,https://www.google.com/maps/place/?q=place_id:ChIJX2QC8buBGToRG2GGscKdXn0,part_355,2026-09-20 20:18:17,3517
Twelfth Kala Tattoo Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 98273 43437,https://www.twelfthkalatattoo.in/,4.9,,"1st Floor, Plot No - 03, Infocity Square, near All Time Fitness, Patia, Bhubaneswar, Odisha 751024",Patia,20.3430774,85.8106226,ChIJGdcz498JGToRg9EfvODXEgk,https://www.google.com/maps/place/?q=place_id:ChIJGdcz498JGToRg9EfvODXEgk,part_355,2026-09-20 20:18:17,3518
Rocky Tattooz Berhampur,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 70085 52340,N/A,4.9,,"Giri Road, Main road, in front of OCA computer institute, behind kruti coffee, Tata Benz Square, Brahmapur, Odisha 760005","Tata Benz Square, Ram Nagar",19.304957299999998,84.7995372,ChIJ_d8DWGJRPToRpqkMCc9HY6M,https://www.google.com/maps/place/?q=place_id:ChIJ_d8DWGJRPToRpqkMCc9HY6M,part_355,2026-09-20 20:18:17,3519
Wwe Tattoo Studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,"Tattoo and piercing shop, Portrait studio, Professional and hobby associations, Tattoo removal service, Tattoo shop, Training center",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 89174 65800,https://wwetattoostudio.in/,5.0,,"Barabhuja shopping complex, Khandagiri, Bhubaneswar, Odisha 751030",Khandagiri,20.2582627,85.7879232,ChIJHXeGdamnGToR5wE9wsQ4CHc,https://www.google.com/maps/place/?q=place_id:ChIJHXeGdamnGToR5wE9wsQ4CHc,part_355,2026-09-20 20:18:17,3520
Rocky Tattooz & Training School,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 73770 77655,http://www.rockytattooz.com/,4.9,,"1st Floor, Plot No: 475, opp. of Sbi Women’s Branch, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2884782,85.8459941,ChIJCUpUIPkJGToRipMOKjY06QU,https://www.google.com/maps/place/?q=place_id:ChIJCUpUIPkJGToRipMOKjY06QU,part_355,2026-09-20 20:18:17,3521
Egra ps tattoo,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 62966 08752,https://www.facebook.com/profile.php?id=100089147245754&mibextid=ZbWKwL,4.9,,"Patlaika Bazar, Kasaba, Egra, West Bengal 721429","Patlaika Bazar, Kasaba",21.8934976,87.53816429999999,ChIJ282pvyUrHToRr4477XFh9o8,https://www.google.com/maps/place/?q=place_id:ChIJ282pvyUrHToRr4477XFh9o8,part_355,2026-09-20 20:18:17,3522
La Nina Tattoos,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Artist, Body piercing shop, Permanent make-up clinic, Tattoo and piercing shop",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 96629 41966,http://www.laninatattoos.com/,4.8,,"A 203, Amrapali Lakeview, near Alpha One Mall, Vastrapur, Ahmedabad, Gujarat 380054",Vastrapur,23.039710799999998,72.5294448,ChIJCa8i4KWEXjkRlSYybzsfA24,https://www.google.com/maps/place/?q=place_id:ChIJCa8i4KWEXjkRlSYybzsfA24,part_355,2026-09-20 20:18:17,3523
